,score
0,720
1,260
2,594
3,0
4,924
5,220
6,612
7,466
8,490
9,0
10,712
11,600
12,476
13,382
14,442
15,996
16,1092
17,384
18,180
19,200
20,220
21,404
22,180
23,854
24,978
25,734
26,432
27,300
28,60
29,732
30,750
31,622
32,240
33,120
34,570
35,428
36,800
37,488
38,320
39,460
40,668
41,-40
42,406
43,670
44,468
45,720
46,420
47,-20
48,472
49,-80
50,-100
51,452
52,560
53,540
54,460
55,944
56,934
57,-40
58,380
59,826
60,0
61,160
62,512
63,612
64,40
65,100
66,640
67,826
68,240
69,240
70,896
71,520
72,610
73,532
74,432
75,480
76,60
77,924
78,692
79,320
80,240
81,120
82,180
83,220
84,400
85,442
86,472
87,586
88,120
89,900
90,890
91,640
92,60
93,800
94,488
95,826
96,722
97,918
98,0
99,446
100,452
101,792
102,864
103,908
104,180
105,962
106,498
107,462
108,622
109,280
110,542
111,930
112,630
113,764
114,534
115,160
116,200
117,702
118,536
119,770
120,60
121,1382
122,-80
123,0
124,120
125,624
126,-20
127,830
128,120
129,640
130,628
131,660
132,824
133,436
134,510
135,1084
136,610
137,516
138,998
139,572
140,422
141,414
142,120
143,464
144,540
145,554
146,1064
147,340
148,240
149,528
150,140
151,974
152,602
153,494
154,240
155,434
156,160
157,374
158,522
159,394
160,448
161,540
162,710
163,500
164,100
165,484
166,750
167,674
168,220
169,1120
170,440
171,376
172,-80
173,496
174,180
175,40
176,670
177,478
178,520
179,570
180,550
181,420
182,120
183,802
184,600
185,600
186,822
187,300
188,474
189,600
190,466
191,474
192,240
193,300
194,496
195,838
196,140
197,628
198,390
199,982
200,400
201,548
202,300
203,480
204,1226
205,40
206,1050
207,836
208,280
209,1232
210,300
211,662
212,484
213,352
214,508
215,876
216,160
217,260
218,482
219,688
220,554
221,706
222,80
223,240
224,796
225,584
226,924
227,100
228,506
229,508
230,280
231,460
232,140
233,456
234,1250
235,514
236,160
237,696
238,670
239,982
240,362
241,398
242,488
243,652
244,972
245,0
246,496
247,838
248,412
249,950
250,830
251,620
252,824
253,442
254,180
255,408
256,494
257,602
258,362
259,418
260,540
261,160
262,280
263,40
264,0
265,402
266,280
267,486
268,40
269,442
270,566
271,530
272,360
273,826
274,646
275,514
276,380
277,540
278,1188
279,384
280,280
281,320
282,524
283,808
284,400
285,470
286,556
287,544
288,434
289,554
290,936
291,856
292,240
293,420
294,856
295,180
296,660
297,786
298,320
299,628
300,360
301,740
302,414
303,764
304,360
305,-40
306,572
307,100
308,402
309,40
310,860
311,280
312,360
313,870
314,540
315,240
316,590
317,680
318,448
319,476
320,-100
321,636
322,430
323,808
324,-100
325,300
326,898
327,782
328,878
329,652
330,522
331,100
332,464
333,340
334,708
335,422
336,968
337,478
338,220
339,660
340,714
341,260
342,556
343,60
344,0
345,40
346,-20
347,654
348,498
349,750
350,480
351,478
352,846
353,0
354,1084
355,436
356,736
357,398
358,260
359,342
360,480
361,526
362,492
363,472
364,320
365,20
366,240
367,140
368,458
369,474
370,446
371,260
372,482
373,452
374,100
375,-40
376,462
377,60
378,0
379,1002
380,466
381,240
382,730
383,944
384,620
385,540
386,412
387,496
388,894
389,608
390,796
391,408
392,888
393,80
394,504
395,468
396,874
397,700
398,220
399,80
400,598
401,698
402,912
403,420
404,558
405,632
406,698
407,742
408,200
409,40
410,-20
411,900
412,808
413,772
414,40
415,408
416,526
417,722
418,-20
419,260
420,-100
421,474
422,0
423,1198
424,360
425,300
426,-60
427,440
428,380
429,790
430,728
431,450
432,680
433,438
434,420
