,score
0,760
1,640
2,-60
3,620
4,840
5,420
6,480
7,856
8,260
9,120
10,-60
11,1446
12,240
13,-20
14,902
15,1026
16,-20
17,100
18,804
19,340
20,760
21,480
22,650
23,300
24,60
25,1312
26,320
27,632
28,754
29,360
30,160
31,60
32,-20
33,898
34,300
35,540
36,676
37,420
38,-40
39,1262
40,540
41,1560
42,974
43,340
44,320
45,400
46,1494
47,1144
48,660
49,810
50,1274
51,520
52,1766
53,650
54,656
55,940
56,400
57,1152
58,520
59,680
60,380
61,1576
62,100
63,440
64,1288
65,20
66,862
67,160
68,300
69,1432
70,-20
71,300
72,1162
73,852
74,880
75,200
76,742
77,808
78,100
79,660
80,60
81,1084
82,240
83,-20
84,200
85,788
86,-40
87,1036
88,940
89,300
90,-60
91,1160
92,420
93,1240
94,-80
95,20
96,500
97,340
98,60
99,986
100,704
101,80
102,120
103,1620
104,1332
105,780
106,420
107,-20
108,600
109,-100
110,1212
111,540
112,300
113,714
114,1374
115,-80
116,280
117,868
118,1412
119,360
120,40
121,1054
122,640
123,400
124,40
125,380
126,180
127,862
128,1360
129,680
130,140
131,780
132,240
133,420
134,460
135,20
136,784
137,-20
138,926
139,360
140,1268
141,730
142,620
143,420
144,766
145,1504
146,1262
147,870
148,808
149,1200
150,220
151,1906
152,720
153,80
154,1060
155,960
156,340
157,180
158,300
159,260
160,260
161,940
162,668
163,400
164,920
165,240
166,696
167,300
168,722
169,200
170,790
171,380
172,240
173,1012
174,260
175,460
176,-20
177,600
178,820
179,1940
180,834
181,828
182,1314
183,600
184,688
185,400
186,772
187,1142
188,850
189,882
190,460
191,978
192,260
193,640
194,240
195,40
196,0
197,848
198,1174
199,-20
200,460
201,220
202,520
203,1590
204,560
205,902
206,500
207,760
208,-80
209,-80
210,772
211,280
212,806
213,-40
214,100
215,-100
216,60
217,828
218,908
219,560
220,1580
221,688
222,988
223,1382
224,704
225,726
226,700
227,808
228,1122
229,0
230,320
231,40
232,712
233,100
234,1396
235,850
236,200
237,40
238,400
239,-80
240,748
241,1120
242,662
243,400
244,1220
245,300
246,100
247,962
248,200
249,936
250,280
251,40
252,1770
253,200
254,748
255,1244
256,740
257,-80
258,914
259,580
260,560
261,674
262,0
263,820
264,680
265,480
266,674
267,766
268,1614
269,440
270,700
271,-40
272,280
273,380
274,160
275,680
276,-20
277,240
278,340
279,1452
280,160
281,934
282,220
283,140
284,160
285,0
286,840
287,460
288,540
289,580
290,-100
291,20
292,0
293,440
294,300
295,560
296,780
297,1120
298,848
299,520
300,828
301,540
302,696
303,850
304,-100
305,924
306,836
307,60
308,740
309,976
310,-60
311,680
312,440
313,900
314,1160
315,674
316,704
317,664
318,40
319,688
320,60
321,1042
322,902
323,-80
324,140
325,380
326,400
327,806
328,700
329,60
330,320
331,320
332,1022
333,880
334,1150
335,1232
336,160
337,40
338,1200
339,-20
340,742
341,520
342,1266
343,40
344,-80
345,1184
346,798
347,872
348,736
349,780
350,360
351,940
352,620
353,1070
354,540
355,300
356,780
357,1036
358,700
359,1332
360,60
361,730
362,180
363,40
364,992
365,180
366,300
367,420
368,876
369,240
370,140
371,-20
372,-100
373,460
374,180
375,100
376,600
377,160
378,-20
379,1338
380,60
381,900
382,1056
383,760
384,1096
385,60
386,320
387,-80
388,400
389,240
390,844
391,0
392,1420
393,500
394,40
395,60
396,690
397,200
398,902
399,826
400,1008
401,140
402,140
403,460
404,800
405,780
406,1720
407,862
408,-100
409,864
410,320
411,320
412,980
413,400
414,1160
415,200
416,880
417,40
418,820
419,1160
420,794
421,380
422,1576
423,1034
424,786
425,220
426,1590
427,1192
428,784
429,824
430,1120
431,-20
432,40
433,320
434,666
435,992
436,-40
437,480
438,220
439,60
440,898
441,872
442,100
443,856
444,500
445,-20
446,1296
447,746
448,680
449,746
450,1060
451,400
452,888
453,400
454,540
455,520
456,762
457,320
458,724
459,360
460,520
461,760
462,160
463,40
464,760
465,580
466,0
467,480
468,946
469,280
470,812
471,888
472,780
473,1296
474,806
475,1034
476,842
477,-80
478,340
479,-80
480,-80
481,1212
482,764
483,60
484,-60
485,1746
486,880
487,998
488,480
489,60
490,700
491,180
492,1358
493,580
494,1906
495,460
496,960
497,180
498,880
499,180
500,60
501,240
502,-80
503,808
504,-60
505,200
506,160
507,954
508,540
509,1256
510,764
511,758
512,900
513,1142
514,692
515,774
516,540
517,676
518,978
519,260
520,440
521,620
522,620
523,744
524,40
525,800
526,736
527,-100
528,560
529,858
530,380
531,686
532,580
533,40
534,140
535,940
536,782
537,940
538,1060
539,320
540,838
541,60
542,796
543,600
544,640
545,828
546,380
547,1268
548,240
549,754
550,580
551,300
552,360
553,742
554,600
555,480
556,1200
557,940
558,520
559,0
560,1298
561,1160
562,780
563,872
564,944
565,100
566,540
567,-20
568,1058
569,868
570,120
571,160
572,140
573,300
574,1240
575,600
576,-80
577,580
578,240
579,932
580,20
581,-100
582,220
583,160
584,620
585,760
586,420
587,700
588,1420
589,720
590,260
591,1204
592,0
593,1300
594,560
595,616
596,1094
597,680
598,440
599,838
600,320
601,500
602,100
603,900
604,1154
605,726
606,640
607,300
608,806
609,682
610,956
611,1220
612,700
613,1122
614,1452
615,654
616,40
617,400
618,640
619,260
620,420
621,836
622,100
623,360
624,1262
625,140
626,240
627,180
628,1916
629,40
630,702
631,-80
632,710
633,1328
634,660
635,1156
636,618
637,120
638,460
639,654
640,340
641,856
642,600
643,600
644,1080
645,640
646,1112
647,800
648,844
649,520
650,100
651,520
652,960
653,300
654,900
655,1078
656,280
657,680
658,140
659,1070
660,260
661,642
662,820
663,1016
664,600
665,1140
666,828
667,100
668,1180
669,900
670,300
671,420
672,718
673,1408
674,460
675,1220
676,880
677,1146
678,960
679,704
680,360
681,260
682,460
683,520
684,100
685,560
686,860
687,40
688,1060
689,648
690,930
691,890
692,876
693,1102
694,760
695,1046
696,1540
697,630
698,520
699,744
700,340
701,560
702,40
703,1324
704,1010
705,938
706,300
707,992
708,220
709,460
710,-20
711,360
712,840
713,240
714,924
715,1386
716,680
717,620
718,720
719,840
720,140
721,824
722,340
723,728
724,940
725,772
726,860
727,360
728,460
729,380
730,280
731,778
732,1060
733,640
734,100
735,1144
736,1130
737,580
738,1520
739,600
740,1486
741,1512
742,440
743,400
744,-20
745,200
746,928
747,1410
748,820
749,400
750,140
751,758
752,220
753,-20
754,240
755,720
756,922
757,120
758,-60
759,40
760,768
761,684
762,686
763,40
764,742
765,672
766,60
767,580
768,994
769,1240
770,540
771,340
772,840
773,784
774,520
775,340
776,980
777,180
778,300
779,240
780,840
781,340
782,-60
783,580
784,874
785,60
786,1408
787,780
788,480
789,1522
790,750
791,340
792,480
793,602
794,812
795,580
796,220
797,420
798,-60
799,860
800,600
801,20
802,1296
803,642
804,1486
805,1040
806,636
807,300
