,score
0,220
1,980
2,80
3,40
4,760
5,-80
6,240
7,260
8,-80
9,340
10,380
11,400
12,40
13,540
14,-80
15,300
16,940
17,1240
18,140
19,940
20,520
21,2100
22,380
23,2080
24,240
25,960
26,1360
27,860
28,280
29,1500
30,80
31,100
32,180
33,120
34,100
35,1200
36,1040
37,1366
38,1020
39,1420
40,1180
41,1380
42,1900
43,480
44,-60
45,240
46,-40
47,20
48,600
49,240
50,1340
51,180
52,540
53,40
54,0
55,-100
56,40
57,-60
58,-60
59,500
60,360
61,1446
62,340
63,1020
64,60
65,1180
66,0
67,140
68,660
69,40
70,60
71,740
72,520
73,900
74,440
75,180
76,460
77,-80
78,1260
79,100
80,2192
81,280
82,20
83,820
84,40
85,440
86,1140
87,780
88,1300
89,220
90,100
91,180
92,880
93,240
94,100
95,1400
96,1552
97,460
98,60
99,360
100,380
101,20
102,1100
103,-20
104,1342
105,1420
106,720
107,360
108,520
109,540
110,1260
111,1480
112,180
113,-40
114,720
115,200
116,820
117,620
118,-20
119,1760
120,60
121,180
122,3040
123,20
124,480
125,-80
126,620
127,700
128,920
129,160
130,660
131,220
132,60
133,2432
134,-40
135,100
136,-20
137,660
138,300
139,220
140,780
141,900
142,1000
143,2200
144,200
145,1080
146,760
147,220
148,240
149,220
150,1120
151,320
152,260
153,2020
154,320
155,100
156,-20
157,-20
158,-80
159,-20
160,260
161,1468
162,180
163,440
164,380
165,100
166,280
167,100
168,1200
169,1180
170,340
171,-20
172,1620
173,220
174,220
175,680
176,2340
177,-100
178,1280
179,820
180,1020
181,260
182,1850
183,100
184,480
185,300
186,-100
187,100
188,200
189,820
190,180
191,400
192,900
193,540
194,680
195,560
196,1180
197,1720
198,900
199,340
200,-20
201,480
202,-100
203,440
204,540
205,-80
206,360
207,60
208,240
209,560
210,780
211,1666
212,660
213,3352
214,1340
215,420
216,140
217,260
218,1360
219,140
220,160
221,40
222,-20
223,460
224,140
225,-80
226,40
227,560
228,120
229,140
230,180
231,1080
232,0
233,180
234,420
235,1560
236,800
237,940
238,1720
