,score
0,298
1,344
2,432
3,360
4,316
5,298
6,-20
7,536
8,652
9,234
10,336
11,422
12,-80
13,312
14,326
15,498
16,258
17,202
18,298
19,418
20,446
21,238
22,286
23,520
24,488
25,266
26,266
27,400
28,670
29,348
30,210
31,470
32,270
33,242
34,336
35,308
36,282
37,366
38,412
39,0
40,-80
41,324
42,280
43,436
44,422
45,198
46,440
47,304
48,282
49,586
50,318
51,264
52,384
53,324
54,350
55,246
56,242
57,414
58,218
59,590
60,202
61,284
62,254
63,316
64,254
65,216
66,260
67,506
68,100
69,368
70,406
71,-60
72,308
73,558
74,256
75,322
76,206
77,308
78,480
79,80
80,386
81,410
82,296
83,484
84,566
85,240
86,310
87,332
88,502
89,288
90,218
91,340
92,262
93,370
94,246
95,252
96,1020
97,378
98,368
99,300
100,310
101,506
102,474
103,398
104,246
105,120
106,394
107,514
108,608
109,280
110,366
111,380
112,452
113,490
114,340
115,484
116,340
117,100
118,252
119,340
120,312
121,212
122,478
123,60
124,60
125,288
126,314
127,216
128,344
129,628
130,272
131,666
132,260
133,260
134,302
135,484
136,492
137,388
138,40
139,354
140,594
141,244
142,534
143,464
144,278
145,480
146,348
147,654
148,276
149,186
150,480
151,470
152,384
153,278
154,236
155,318
156,270
157,300
158,1100
159,360
160,342
161,298
162,244
163,288
164,648
165,296
166,508
167,266
168,228
169,506
170,342
171,498
172,486
173,226
174,542
175,322
176,240
177,288
178,230
179,334
180,180
181,524
182,324
183,454
184,216
185,482
186,-40
187,388
188,304
189,522
190,210
191,282
192,702
193,266
194,296
195,264
196,312
197,184
198,286
199,304
200,194
201,310
202,270
203,366
204,246
205,316
206,-80
207,366
208,60
209,352
210,354
211,266
212,498
213,120
214,326
215,564
216,380
217,220
218,494
219,290
220,348
221,348
222,542
223,256
224,328
225,364
226,334
227,262
228,374
229,314
230,314
231,344
232,616
233,324
234,412
235,280
236,458
237,354
238,342
239,296
240,428
241,582
242,340
243,250
244,364
245,314
246,320
247,582
248,458
249,254
250,582
251,40
252,320
253,238
254,486
255,-20
256,60
257,222
258,266
259,-80
260,320
261,476
262,318
263,0
264,486
265,368
266,322
267,382
268,474
269,314
270,360
271,516
272,20
273,314
274,-60
275,280
276,248
277,420
278,498
279,-80
280,300
281,284
282,-20
283,540
284,230
285,462
286,360
287,100
288,584
289,674
290,300
291,292
292,80
293,300
294,200
295,320
296,420
297,410
298,300
299,352
300,358
301,304
302,560
303,464
304,698
305,234
306,60
307,282
308,242
309,-80
310,262
311,498
312,446
313,326
314,356
315,254
316,230
317,476
318,278
319,364
320,-40
321,430
322,426
323,474
324,240
325,280
326,354
327,510
328,220
329,530
330,314
331,598
332,518
333,388
334,302
335,478
336,460
337,468
338,408
339,236
340,258
341,246
342,284
343,284
344,440
345,-40
346,272
347,662
348,306
349,550
350,402
351,480
352,244
353,386
354,534
355,288
356,236
357,472
358,574
359,300
360,40
361,454
362,266
363,258
364,290
365,100
366,290
367,258
368,316
369,312
370,254
371,700
372,332
373,40
374,420
375,272
376,270
377,492
378,288
379,428
380,316
381,520
382,352
383,-20
384,422
385,510
386,514
387,314
388,476
389,288
390,286
391,318
392,320
393,260
394,288
395,358
396,694
397,298
398,462
399,236
400,380
401,532
402,382
403,266
404,276
405,262
406,244
407,416
408,650
409,306
410,160
411,562
412,586
413,464
414,278
415,460
416,406
417,232
418,436
419,378
420,366
421,396
422,512
423,356
424,302
425,448
426,458
427,324
428,342
429,334
430,160
431,368
432,0
433,268
434,284
435,300
436,100
437,274
438,308
439,120
440,306
441,318
442,688
443,462
444,370
445,266
446,252
447,330
448,522
449,340
450,260
451,388
452,306
453,214
454,246
455,320
456,404
457,672
458,266
459,526
460,192
461,348
462,280
463,350
464,80
465,220
466,244
467,188
468,238
469,314
470,306
471,1058
472,576
473,706
474,310
475,376
476,414
477,416
478,500
479,240
480,274
481,448
482,330
483,264
484,426
485,342
486,264
487,360
488,250
489,322
490,366
491,60
492,120
493,266
494,310
495,392
496,468
497,296
498,194
499,448
500,426
501,282
502,240
503,348
504,264
505,524
506,300
507,668
508,440
509,288
510,350
511,326
512,368
513,-80
514,316
515,432
516,478
517,290
518,308
519,500
520,448
521,240
522,420
523,344
524,80
525,260
526,310
527,464
528,328
529,270
530,582
531,414
532,382
533,304
534,292
535,538
536,366
537,188
538,452
539,292
540,348
541,278
542,300
543,670
544,234
545,374
546,294
547,276
548,254
549,180
550,256
551,444
552,402
553,482
554,252
555,304
556,272
557,306
558,476
559,544
560,434
561,244
562,686
563,312
564,414
565,594
566,494
567,120
568,370
569,546
570,582
571,694
572,440
573,260
574,380
575,578
576,392
577,244
578,510
579,496
580,480
581,506
582,284
583,644
584,398
585,250
586,344
587,466
588,360
589,140
590,290
591,252
592,368
593,-80
594,700
595,414
596,496
597,288
598,720
599,230
600,396
601,346
602,344
603,218
604,330
605,286
606,384
607,260
608,454
609,348
610,378
611,228
612,224
613,276
614,586
615,428
616,100
617,254
618,180
619,374
620,288
621,224
622,406
623,496
624,282
625,190
626,120
627,290
628,204
629,454
630,668
631,290
632,378
633,308
634,364
635,274
636,420
637,252
638,226
639,322
640,344
641,508
642,326
643,520
644,406
645,324
646,356
647,578
648,328
649,252
650,530
651,240
652,-80
653,464
654,294
655,274
656,470
657,686
658,374
659,364
660,700
661,244
662,-80
663,414
664,442
665,224
666,306
667,476
668,276
669,280
670,272
671,272
672,302
673,462
674,582
675,636
676,452
677,290
678,408
679,700
680,542
681,476
682,222
683,266
684,392
685,344
686,346
687,346
688,270
689,366
690,366
691,300
692,344
693,322
694,416
695,40
696,522
697,390
698,540
699,220
700,682
701,328
702,340
703,358
704,688
705,304
706,194
707,100
708,336
709,222
710,326
711,374
712,518
713,240
714,350
715,372
716,260
