,score
0,460
1,728
2,704
3,588
4,1364
5,428
6,444
7,444
8,900
9,360
10,808
11,676
12,976
13,844
14,524
15,732
16,1388
17,660
18,608
19,552
20,364
21,408
22,456
23,624
24,740
25,600
26,596
27,340
28,344
29,524
30,420
31,996
32,740
33,356
34,1048
35,352
36,424
37,480
38,428
39,760
40,436
41,964
42,512
43,348
44,532
45,420
46,416
47,596
48,868
49,636
50,544
51,548
52,564
53,784
54,740
55,524
56,304
57,372
58,356
59,980
60,484
61,348
62,372
63,544
64,560
65,576
66,540
67,592
68,388
69,452
70,548
71,456
72,784
73,660
74,456
75,632
76,500
77,732
78,452
79,456
80,412
81,652
82,684
83,540
84,460
85,1128
86,772
87,360
88,520
89,836
90,368
91,744
92,568
93,884
94,428
95,940
96,656
97,792
98,728
99,416
100,468
101,512
102,1008
103,712
104,624
105,788
106,120
107,860
108,544
109,400
110,672
111,320
112,1044
113,776
114,616
115,388
116,288
117,472
118,412
119,700
120,580
121,352
122,488
123,604
124,504
125,620
126,588
127,904
128,388
129,776
130,332
131,592
132,680
133,392
134,604
135,532
136,548
137,372
138,596
139,336
140,564
141,428
142,424
143,820
144,636
145,732
146,548
147,392
148,400
149,452
150,264
151,532
152,684
153,420
154,544
155,556
156,1508
157,384
158,668
159,492
160,460
161,688
162,388
163,760
164,816
165,708
166,480
167,612
168,492
169,548
170,364
171,756
172,512
173,404
174,836
175,664
176,320
177,476
178,492
179,760
180,452
181,552
182,440
183,768
184,404
185,740
186,532
187,764
188,552
189,496
190,872
191,412
192,476
193,968
194,588
195,388
196,780
197,512
198,368
199,920
200,492
201,556
202,380
203,1064
204,528
205,856
206,656
207,312
208,1016
209,684
210,896
211,756
212,448
213,464
214,348
215,668
216,592
217,536
218,576
219,680
220,424
221,564
222,932
223,528
224,760
225,604
226,712
227,356
228,636
229,676
230,444
231,596
232,496
233,520
234,460
235,664
236,400
237,772
238,728
239,544
240,420
241,600
242,336
243,404
244,408
245,388
246,680
247,720
248,564
249,1404
250,436
251,440
252,752
253,668
254,556
255,540
256,444
257,916
258,408
259,444
260,664
261,492
262,644
263,376
264,576
265,520
266,768
267,460
268,832
269,696
270,448
271,564
272,368
273,548
274,1076
275,1028
276,736
277,576
278,424
279,596
280,748
281,980
282,496
283,640
284,436
285,512
286,412
287,568
288,328
289,412
290,604
291,1204
292,440
293,1500
294,924
295,456
296,464
297,1008
298,976
299,644
300,592
301,468
302,500
303,648
304,580
305,368
306,420
307,620
308,504
309,672
310,672
311,904
312,632
313,624
314,432
315,828
316,432
317,368
318,524
319,660
320,360
321,464
322,448
323,440
324,300
325,1052
326,480
327,448
328,788
329,544
330,584
331,452
332,824
333,536
334,1072
335,692
336,500
337,668
338,484
339,668
340,492
341,748
342,592
343,616
344,420
345,980
346,488
347,616
348,592
349,292
350,756
351,280
352,308
353,840
354,500
355,472
356,924
357,772
358,476
359,332
360,1156
361,684
362,672
363,320
364,428
365,500
366,788
367,516
368,504
369,976
370,356
371,448
372,292
373,684
374,528
375,300
376,556
377,344
378,940
379,1220
380,540
381,552
382,448
383,516
384,412
385,484
386,672
387,432
388,348
389,360
390,576
391,1000
392,684
393,496
394,1656
395,632
396,732
397,664
398,380
399,372
400,704
401,400
402,452
403,596
404,604
405,864
406,416
407,1680
408,392
409,388
410,1048
411,396
412,600
413,360
414,372
415,444
416,676
417,376
418,456
419,608
420,332
421,452
422,1032
423,364
424,424
425,616
426,1056
427,396
428,388
429,756
430,496
431,744
432,384
433,1036
434,456
435,572
436,212
437,492
438,920
439,648
440,328
441,392
442,612
443,584
444,940
445,520
446,560
447,404
448,728
449,584
450,864
451,472
452,644
453,424
454,612
455,652
456,592
457,380
458,444
459,896
460,412
461,1148
462,776
463,528
464,364
465,408
466,296
467,984
468,672
469,548
470,632
471,1096
472,1088
473,460
474,748
475,560
476,704
477,768
478,348
479,292
480,748
481,1336
482,424
483,764
484,608
485,540
486,432
487,852
488,364
489,776
490,508
491,444
492,424
493,508
494,532
495,360
496,724
497,460
498,332
499,580
500,412
501,1252
502,912
503,436
504,536
505,680
506,732
507,412
508,644
509,824
510,760
511,528
512,556
513,356
514,336
515,528
516,852
517,520
518,428
519,420
520,520
521,448
522,564
523,460
524,676
525,412
526,784
527,504
528,612
529,592
530,392
531,632
532,644
533,324
534,336
535,800
536,884
537,740
538,712
539,368
540,512
541,784
542,360
543,640
544,1236
545,1396
546,508
547,524
548,720
549,464
550,532
551,568
552,396
553,316
554,508
555,548
556,624
557,856
558,1008
559,384
560,832
561,540
562,540
563,468
564,684
565,372
566,636
567,344
568,608
569,832
570,876
571,500
572,428
573,456
574,520
575,448
576,508
577,528
578,448
579,972
580,804
581,460
582,340
583,424
584,452
585,988
586,552
587,388
588,396
589,528
590,864
591,528
592,660
593,524
594,708
595,432
596,376
597,1008
598,308
599,520
600,456
601,984
602,660
603,332
604,520
605,508
606,912
607,380
608,456
609,940
610,404
611,524
612,756
613,688
614,480
615,480
616,384
617,644
618,348
619,288
620,700
621,724
622,736
623,384
624,1200
625,552
626,840
627,656
628,432
629,580
630,672
631,460
632,468
633,684
634,692
635,608
636,336
637,852
638,408
639,500
640,556
641,472
642,596
643,576
644,616
645,656
646,556
647,456
648,384
649,368
650,420
651,608
652,428
653,480
654,408
655,424
656,448
657,500
658,664
659,536
660,416
661,396
662,628
663,956
664,388
665,308
666,328
667,420
668,668
669,472
670,764
671,568
672,628
673,404
674,352
675,528
676,440
677,1004
678,476
679,536
680,768
681,344
682,708
683,476
684,564
685,460
686,568
687,520
688,440
689,412
690,1008
691,760
692,448
693,360
694,456
695,1076
696,408
697,696
698,516
699,504
700,460
701,336
702,296
703,552
704,616
705,404
706,588
707,412
708,540
709,396
710,968
711,356
712,712
713,376
714,524
715,664
716,1148
717,784
718,660
719,780
720,728
721,976
722,332
723,620
724,476
725,344
726,340
727,748
728,368
729,336
730,368
731,596
732,860
733,448
734,652
735,312
736,748
737,764
738,584
739,480
740,412
741,276
742,860
743,304
744,528
745,832
746,496
747,520
748,552
749,764
750,612
751,528
752,336
753,564
754,376
755,428
756,860
757,756
758,392
759,452
760,948
761,684
762,328
763,636
764,816
765,408
766,692
767,360
768,640
769,840
770,316
771,248
772,380
773,672
774,556
775,720
776,1204
777,564
778,428
779,608
780,428
781,424
782,572
783,1188
784,268
785,704
786,776
787,708
788,432
789,308
790,400
791,428
792,364
793,464
794,388
795,364
796,520
797,1424
798,928
799,344
800,560
801,576
802,356
803,468
804,460
805,308
806,752
807,1060
808,516
809,960
810,780
811,468
812,360
813,312
814,388
815,460
816,572
817,740
818,424
819,524
820,412
821,268
822,556
823,420
824,532
825,476
826,420
827,460
828,696
829,360
830,672
831,780
832,1024
833,992
834,776
835,472
836,744
837,688
838,916
839,780
840,340
841,416
842,516
843,572
844,696
845,504
846,676
847,904
848,732
849,360
850,512
851,424
852,372
853,564
854,404
855,608
856,740
857,400
858,764
859,340
860,864
861,720
862,368
863,976
864,648
865,788
866,432
867,700
868,796
869,520
870,284
871,640
872,348
873,660
874,688
875,728
876,536
877,1172
878,580
879,496
880,704
881,784
882,612
883,320
884,436
885,488
886,592
887,412
888,816
889,456
890,420
891,712
892,456
893,1208
894,340
895,464
896,700
897,312
898,836
899,692
900,524
901,480
902,368
903,592
904,524
905,1400
906,328
907,760
908,296
909,512
910,368
911,488
912,968
913,420
914,592
915,440
916,996
917,644
918,748
919,536
920,400
921,788
922,1400
923,924
924,676
925,460
926,680
927,532
928,528
929,612
930,768
931,984
932,360
933,664
934,408
935,492
936,492
937,328
938,544
939,696
940,676
941,420
942,880
943,608
944,684
945,576
946,760
947,416
948,532
949,604
950,456
951,848
952,560
953,428
954,340
955,824
956,1092
957,1404
958,868
959,1212
960,640
961,372
962,676
963,908
964,416
965,484
966,420
967,484
968,792
969,368
970,564
971,492
972,508
973,724
974,1268
975,880
976,644
977,648
978,780
979,756
980,332
981,580
982,372
983,380
984,620
985,440
986,848
987,1076
988,428
989,588
990,452
991,536
992,632
993,584
994,1976
995,456
996,536
997,380
998,452
999,496
