,score
0,-80
1,504
2,464
3,646
4,200
5,540
6,240
7,340
8,686
9,418
10,140
11,378
12,436
13,482
14,526
15,160
16,480
17,508
18,480
19,140
20,462
21,-80
22,542
23,40
24,772
25,280
26,-20
27,494
28,240
29,498
30,970
31,684
32,650
33,260
34,300
35,568
36,934
37,580
38,512
39,564
40,100
41,418
42,40
43,602
44,884
45,464
46,436
47,1184
48,888
49,180
50,416
51,522
52,658
53,506
54,600
55,220
56,80
57,728
58,510
59,300
60,738
61,526
62,600
63,846
64,1108
65,520
66,872
67,1126
68,340
69,760
70,1108
71,786
72,642
73,620
74,744
75,140
76,860
77,580
78,260
79,400
80,494
81,960
82,538
83,594
84,410
85,100
86,260
87,482
88,120
89,484
90,520
91,514
92,460
93,200
94,260
95,552
96,830
97,0
98,686
99,526
100,-20
101,300
102,710
103,40
104,852
105,646
106,300
107,418
108,636
109,368
110,180
111,662
112,40
113,946
114,660
115,530
116,820
117,448
118,494
119,458
120,862
121,836
122,582
123,120
124,484
125,942
126,474
127,794
128,240
129,624
130,926
131,40
132,460
133,180
134,180
135,974
136,422
137,576
138,510
139,512
140,606
141,120
142,364
143,468
144,782
145,720
146,1240
147,240
148,618
149,392
150,784
151,434
152,240
153,680
154,520
155,572
156,120
157,774
158,462
159,444
160,538
161,438
162,746
163,300
164,752
165,514
166,816
167,100
168,630
169,598
170,484
171,624
172,742
173,260
174,964
175,422
176,630
177,740
178,842
179,990
180,580
181,542
182,432
183,424
184,180
185,520
186,684
187,360
188,-20
189,572
190,812
191,472
192,616
193,520
194,220
195,352
196,848
197,796
198,180
199,692
200,632
201,460
202,564
203,426
204,-100
205,100
206,596
207,512
208,240
209,508
210,724
211,444
212,540
213,380
214,596
215,468
216,410
217,340
218,280
219,524
220,582
221,-80
222,566
223,428
224,476
225,220
226,440
227,160
228,0
229,612
230,582
231,580
232,60
233,1138
234,180
235,180
236,556
237,750
238,538
239,398
240,714
241,480
242,482
243,220
244,594
245,120
246,340
247,-80
248,380
249,924
250,960
251,724
252,758
253,488
254,320
255,434
256,220
257,846
258,100
259,280
260,240
261,40
262,1070
263,406
264,240
265,454
266,40
267,120
268,380
269,512
270,-80
271,442
272,80
273,384
274,664
275,1106
276,280
277,552
278,502
279,890
280,700
281,892
282,480
283,220
284,568
285,382
286,200
287,762
288,0
289,522
290,-100
291,40
292,280
293,660
294,516
295,220
296,60
297,140
298,694
299,692
300,360
301,904
302,120
303,510
304,888
305,664
306,500
307,672
308,496
309,200
310,520
311,526
312,814
313,1048
314,558
315,614
316,842
317,1244
318,160
319,140
320,760
321,622
322,220
323,0
324,480
325,638
326,260
327,672
328,590
329,-80
330,806
331,496
332,180
333,708
334,620
335,734
336,462
337,528
338,60
339,862
340,628
341,500
342,1140
343,464
344,506
345,378
346,644
347,1074
348,474
349,864
350,460
351,616
352,830
353,160
354,-20
355,646
356,380
357,400
358,680
359,576
360,616
361,1054
362,260
363,384
364,618
365,576
366,526
367,556
368,1248
369,280
370,1210
371,588
372,480
373,480
374,-60
375,320
376,586
377,558
378,606
379,534
380,674
381,838
382,934
383,724
384,280
385,410
386,140
387,390
388,658
389,624
390,530
391,806
392,476
393,814
394,-80
395,526
396,40
397,416
398,844
399,848
400,480
401,0
402,468
403,406
404,508
405,240
406,902
407,420
408,240
409,474
410,140
411,800
412,640
413,500
414,-80
415,812
416,320
417,640
418,458
419,704
420,552
421,-20
422,468
423,472
424,652
425,458
426,160
427,566
428,140
429,392
430,606
431,468
432,558
433,542
434,990
435,-20
436,260
437,524
438,990
439,912
440,598
441,532
442,220
443,664
444,472
445,586
446,826
447,714
448,1006
449,1180
450,220
451,794
452,440
453,468
454,596
455,438
456,414
457,460
458,748
459,914
460,360
461,280
462,180
463,660
464,692
465,414
466,800
467,140
468,562
469,334
470,444
471,600
472,750
473,140
474,260
475,80
476,390
477,-40
478,600
479,400
480,618
481,510
482,956
483,20
484,80
485,60
486,596
487,592
488,120
489,534
490,858
491,-100
492,474
493,400
494,760
495,604
496,800
497,300
498,398
499,556
500,480
501,476
502,630
503,480
504,360
505,750
506,674
507,356
508,810
509,808
510,568
511,600
512,200
513,0
514,490
515,876
516,100
517,522
518,684
519,340
520,812
521,740
522,1234
523,648
524,850
525,948
526,560
527,572
528,410
529,-40
530,1202
531,776
532,780
533,434
534,600
535,486
536,1092
537,2024
538,520
539,320
540,510
541,1224
542,544
543,1240
544,716
545,1326
546,926
547,736
548,0
549,640
550,888
551,716
552,200
553,120
554,640
555,544
556,944
557,560
558,240
559,768
560,542
561,968
562,524
563,504
564,472
565,756
566,300
567,20
568,240
569,502
570,506
571,448
572,1004
573,880
574,852
575,524
576,938
577,746
578,60
579,580
580,220
581,696
582,490
583,726
584,-20
585,660
586,1078
587,564
588,734
589,140
590,340
591,684
592,500
593,0
594,420
595,448
596,460
597,462
598,578
599,840
600,160
601,742
602,482
603,472
604,816
605,444
606,410
607,890
608,404
609,594
610,520
611,60
612,-80
613,592
614,280
615,828
616,654
617,694
618,506
619,-60
620,840
621,408
622,442
623,160
624,480
625,430
626,726
627,776
628,180
629,260
630,852
631,976
632,528
633,520
634,478
635,400
636,538
637,728
638,726
639,40
640,946
641,878
642,520
643,876
644,360
645,528
646,550
647,672
648,852
649,120
650,612
651,508
652,474
653,1110
654,702
655,300
656,-60
657,568
658,600
659,220
660,544
661,468
662,708
663,528
664,860
665,556
666,220
667,360
668,428
669,200
670,450
671,410
672,426
673,340
674,520
675,520
676,340
677,732
678,100
679,924
680,220
681,538
682,564
683,484
684,376
685,220
686,508
687,580
688,160
689,280
690,474
691,842
692,454
693,100
694,670
695,600
696,394
697,40
698,520
699,590
700,20
701,140
702,400
703,640
704,644
705,440
706,100
707,638
708,560
709,484
710,912
711,552
712,712
713,856
714,512
715,476
716,734
717,240
718,944
719,710
720,468
721,722
722,404
723,760
724,640
725,388
726,544
727,844
728,552
729,584
730,610
731,514
732,822
733,602
734,910
735,1060
736,420
737,1204
738,406
739,160
740,502
741,404
742,240
743,-20
744,776
745,480
746,526
747,540
748,556
749,674
750,-20
751,708
752,636
753,658
754,648
755,906
756,466
757,240
758,554
759,140
760,620
761,540
762,640
763,220
764,422
765,554
766,-60
767,280
768,160
769,1106
770,472
771,-100
772,414
773,-80
774,862
775,280
776,750
777,320
778,456
779,642
780,610
781,460
782,320
783,598
784,772
785,434
786,962
787,560
788,668
789,480
790,576
791,662
792,140
793,646
794,720
795,714
796,696
797,530
798,632
799,492
800,586
801,520
802,100
803,662
804,466
805,320
806,60
807,778
808,942
809,682
810,472
811,40
812,632
813,888
814,40
815,586
816,400
817,706
818,524
819,398
820,534
821,498
822,372
823,546
824,1102
825,670
826,962
827,550
828,986
829,554
830,1250
831,640
832,514
833,420
834,558
835,260
836,552
837,468
838,508
839,986
840,686
841,506
842,650
843,486
844,422
845,564
846,842
847,764
848,380
849,496
850,768
851,260
852,520
853,476
854,724
855,970
856,952
857,482
858,966
859,468
860,560
861,-100
862,714
863,434
864,220
865,576
866,1128
867,464
868,334
869,200
870,382
871,604
872,662
873,806
874,570
875,550
876,280
877,850
878,340
879,524
880,792
881,140
882,476
883,520
884,160
885,372
886,60
887,876
888,854
889,300
890,320
891,526
892,432
893,420
894,496
895,1052
896,300
897,954
898,1240
899,280
900,476
901,492
902,468
903,460
904,646
905,630
906,444
907,488
908,340
909,340
910,836
911,848
912,494
913,572
914,484
915,880
916,512
917,220
918,-80
919,510
920,60
921,240
922,668
923,260
924,622
925,362
926,902
927,530
928,400
929,260
930,466
931,1212
932,160
933,586
934,536
935,652
936,472
937,682
938,-20
939,424
940,966
941,180
942,468
943,492
944,956
945,710
946,340
947,532
948,400
949,464
950,444
951,614
952,440
953,578
954,368
955,428
956,478
957,774
958,810
959,620
960,690
961,394
962,476
963,622
964,410
965,642
966,468
967,826
968,400
969,180
970,544
971,424
972,664
973,416
974,1112
975,654
976,40
977,538
978,240
979,558
980,506
981,140
982,652
983,600
984,448
985,402
986,436
987,436
988,762
989,778
990,458
991,442
992,544
993,570
994,916
995,506
996,430
997,528
998,540
999,434
