,score
0,540
1,832
2,788
3,1128
4,200
5,400
6,300
7,780
8,540
9,-20
10,968
11,-20
12,440
13,748
14,320
15,480
16,360
17,874
18,1270
19,940
20,816
21,862
22,852
23,848
24,300
25,660
26,280
27,1132
28,400
29,240
30,814
31,980
32,200
33,80
34,672
35,160
36,960
37,660
38,918
39,-80
40,540
41,652
42,260
43,380
44,100
45,40
46,500
47,868
48,1540
49,804
50,856
51,580
52,240
53,1288
54,360
55,140
56,954
57,80
58,1580
59,260
60,640
61,-20
62,726
63,-100
64,180
65,858
66,680
67,60
68,540
69,-100
70,820
71,1098
72,660
73,600
74,800
75,460
76,280
77,706
78,930
79,340
80,700
81,100
82,620
83,300
84,1092
85,580
86,640
87,800
88,-20
89,746
90,560
91,460
92,400
93,460
94,720
95,1100
96,868
97,460
98,792
99,220
100,776
101,648
102,1386
103,480
104,780
105,686
106,840
107,912
108,-100
109,0
110,640
111,740
112,200
113,180
114,380
115,40
116,1120
117,260
118,1920
119,280
120,700
121,520
122,40
123,660
124,920
125,1164
126,220
127,480
128,600
129,540
130,-100
131,894
132,1040
133,1416
134,700
135,220
136,896
137,710
138,1278
139,1060
140,672
141,-40
142,662
143,700
144,680
145,780
146,540
147,280
148,634
149,540
150,650
151,644
152,778
153,200
154,686
155,40
156,928
157,802
158,400
159,700
160,1174
161,320
162,998
163,740
164,748
165,240
166,1482
167,40
168,634
169,100
170,686
171,1354
172,984
173,1732
174,260
175,540
176,920
177,460
178,260
179,-80
180,-20
181,580
182,660
183,240
184,640
185,540
186,606
187,954
188,180
189,60
190,-60
191,772
192,540
193,724
194,40
195,200
196,580
197,-60
198,100
199,920
200,140
201,1616
202,120
203,1060
204,1010
205,854
206,1566
207,1060
208,710
209,340
210,220
211,300
212,740
213,320
214,1492
215,740
216,460
217,1116
218,540
219,160
220,676
221,400
222,620
223,1162
224,1398
225,620
226,160
227,120
228,460
229,540
230,420
231,0
232,846
233,540
234,794
235,480
236,1338
237,660
238,1286
239,260
240,676
241,1520
242,1584
243,896
244,1222
245,800
246,60
247,640
248,1108
249,718
250,934
251,320
252,750
253,200
254,260
255,360
256,600
257,-20
258,20
259,660
260,1572
261,220
262,648
263,160
264,440
265,904
266,1140
267,420
268,280
269,1240
270,1048
271,678
272,360
273,40
274,782
275,920
276,600
277,540
278,680
279,600
280,640
281,220
282,260
283,788
284,1060
285,380
286,460
287,1964
288,-60
289,602
290,784
291,838
292,140
293,1606
294,140
295,140
296,100
297,60
298,912
299,60
300,954
301,720
302,1582
303,-100
304,-80
305,916
306,460
307,806
308,160
309,460
310,540
311,280
312,660
313,540
314,400
315,920
316,640
317,1912
318,360
319,460
320,-100
321,340
322,732
323,240
324,940
325,600
326,708
327,884
328,180
329,-80
330,1478
331,1100
332,340
333,718
334,844
335,720
336,320
337,640
338,660
339,692
340,1270
341,-100
342,780
343,1146
344,120
345,1276
346,160
347,660
348,1418
349,460
350,742
351,936
352,1338
353,748
354,300
355,786
356,976
357,580
358,180
359,0
360,730
361,-60
362,880
363,848
364,856
365,300
366,300
367,220
368,620
369,716
370,600
371,770
372,-20
373,860
374,240
375,460
376,860
377,300
378,1346
379,868
380,664
381,-100
382,-80
383,-80
384,220
385,668
386,120
387,400
388,440
389,-40
390,300
391,882
392,100
393,380
394,1280
395,890
396,280
397,730
398,890
399,260
400,580
401,862
402,460
403,420
404,740
405,940
406,220
407,1494
408,40
409,872
410,1448
411,816
412,520
413,40
414,340
415,954
416,260
417,240
418,300
419,832
420,1244
421,180
422,580
423,200
424,200
425,988
426,804
427,1726
428,-20
429,1960
430,1264
431,460
432,640
433,738
434,40
435,1238
436,820
437,896
438,980
439,672
440,320
441,340
442,678
443,660
444,1282
445,1182
446,1464
447,120
448,480
449,1016
450,300
451,20
452,1360
453,400
454,320
455,160
456,300
457,960
458,720
459,240
460,120
461,580
462,180
463,-20
464,1156
465,220
466,320
467,520
468,1310
469,762
470,600
471,520
472,720
473,668
474,1010
475,914
476,680
477,760
478,60
479,700
480,1132
481,400
482,540
483,1182
484,520
485,100
486,100
487,460
488,1274
489,706
490,800
491,420
492,890
493,764
494,660
495,480
496,1402
497,1094
498,1372
499,460
500,784
501,620
502,540
503,832
504,794
505,960
506,-20
507,660
508,-60
509,-80
510,808
511,100
512,740
513,300
514,1164
515,340
516,280
517,420
518,160
519,580
520,804
521,954
522,1286
523,420
524,608
525,1736
526,580
527,820
528,60
529,874
530,380
531,220
532,740
533,540
534,580
535,300
536,1050
537,480
538,560
539,980
540,160
541,280
542,340
543,40
544,786
545,-80
546,1566
547,300
548,0
549,180
550,1094
551,660
552,580
553,300
554,-40
555,60
556,840
557,990
558,1240
559,760
560,-100
561,260
562,1060
563,440
564,766
565,200
566,1268
567,40
568,100
569,1408
570,908
571,100
572,40
573,380
574,200
575,-80
576,580
577,60
578,600
579,664
580,860
581,1598
582,-20
583,820
584,828
585,0
586,580
587,-80
588,802
589,280
590,120
591,1064
592,1214
593,840
594,1244
595,720
596,1340
597,40
598,788
599,520
600,1120
601,810
602,60
603,1114
604,60
605,1056
606,630
607,602
608,180
609,820
610,140
611,1466
612,980
613,400
614,784
615,722
616,1074
617,420
618,960
619,280
620,20
621,-40
622,678
623,420
624,1248
625,1148
626,460
627,540
628,300
629,740
630,844
631,1084
632,260
633,160
634,460
635,400
636,1576
637,60
638,706
639,40
640,1324
641,662
642,1314
643,822
644,40
645,520
646,160
647,1060
648,60
649,1198
650,540
651,1248
652,1236
653,520
654,840
655,830
656,900
657,160
658,1240
659,660
660,180
661,340
662,-80
663,240
664,460
665,778
666,1226
667,794
668,520
669,140
670,40
671,956
672,1106
673,840
674,676
675,838
676,920
677,894
678,140
679,740
680,680
681,120
682,806
683,540
684,540
685,856
686,912
687,760
688,1308
689,1084
690,140
691,440
692,1062
693,40
694,610
695,40
696,1004
697,440
698,140
699,784
700,944
701,808
702,1040
703,834
704,220
705,-80
706,520
707,240
708,750
709,40
710,1060
711,660
712,766
713,640
714,-80
715,580
716,580
717,696
718,744
719,780
720,822
721,-20
722,280
723,560
724,1602
725,400
726,60
727,420
728,1138
729,440
730,660
731,650
732,600
733,480
734,666
735,824
736,730
737,1336
738,360
739,896
740,760
741,664
742,300
743,740
744,-20
745,0
746,600
747,790
748,-40
749,380
750,1100
751,200
752,440
753,0
754,640
755,100
756,940
757,320
758,710
759,760
760,1562
761,880
762,680
763,758
764,680
765,796
766,0
767,540
768,300
769,760
770,-40
771,740
772,300
773,160
774,700
775,840
776,660
777,682
778,560
779,1140
780,650
781,200
782,910
783,812
784,690
785,744
786,-100
787,668
788,580
789,100
790,700
791,260
792,120
793,640
794,990
795,1122
796,832
797,500
798,360
799,340
800,660
801,460
802,1542
803,746
804,40
805,760
806,300
807,1250
808,-40
809,908
810,682
811,60
812,40
813,660
814,1136
815,638
816,40
817,858
818,1216
819,220
820,-40
821,1100
822,1332
823,998
824,280
825,1428
826,1374
827,874
828,160
829,694
830,578
831,822
832,1182
833,580
834,760
835,1214
836,180
837,160
838,220
839,880
840,732
841,838
842,720
843,280
844,-100
845,340
846,940
847,1124
848,220
849,380
850,460
851,918
852,-80
853,660
854,1322
855,820
856,280
857,200
858,320
859,646
860,400
861,140
862,-80
863,240
864,656
865,750
866,440
867,100
868,1412
869,662
870,1282
871,1276
872,824
873,710
874,716
875,460
876,460
877,1020
878,80
879,400
880,140
881,-20
882,420
883,766
884,400
885,660
886,662
887,900
888,730
889,400
890,962
891,694
892,420
893,40
894,400
895,160
896,1756
897,794
898,946
899,734
900,280
901,540
902,640
903,340
904,770
905,696
906,400
907,600
908,1306
909,820
910,1058
911,700
912,300
913,1446
914,674
915,720
916,1150
917,728
918,1084
919,-20
920,620
921,1390
922,1060
923,540
924,1040
925,880
926,916
927,992
928,-80
929,-20
930,858
931,566
932,1408
933,860
934,200
935,1252
936,180
937,260
938,640
939,824
940,1254
941,940
942,0
943,-100
944,480
945,608
946,1266
947,100
948,260
949,600
950,838
951,1486
952,600
953,1594
954,180
955,740
956,820
957,634
958,300
959,540
960,698
961,780
962,578
963,830
964,40
965,600
966,140
967,804
968,260
969,744
970,600
971,738
972,700
973,500
974,660
975,1250
976,240
977,340
978,760
979,80
980,660
981,540
982,160
983,1008
984,360
985,240
986,700
987,624
988,520
989,1294
990,1260
991,1094
992,180
993,754
994,740
995,988
996,660
997,300
998,742
999,-60
