,score
0,286
1,494
2,288
3,352
4,302
5,266
6,674
7,306
8,468
9,304
10,80
11,352
12,498
13,40
14,336
15,254
16,262
17,478
18,264
19,508
20,252
21,536
22,-80
23,316
24,322
25,488
26,672
27,438
28,292
29,310
30,390
31,238
32,422
33,262
34,498
35,578
36,-80
37,316
38,284
39,180
40,302
41,466
42,416
43,512
44,302
45,272
46,278
47,354
48,320
49,226
50,240
51,518
52,570
53,172
54,264
55,282
56,434
57,204
58,316
59,344
60,40
61,380
62,518
63,524
64,492
65,204
66,260
67,206
68,296
69,206
70,308
71,686
72,342
73,-20
74,256
75,346
76,352
77,288
78,318
79,-100
80,324
81,414
82,320
83,244
84,260
85,694
86,20
87,336
88,632
89,248
90,420
91,342
92,-60
93,498
94,398
95,362
96,374
97,274
98,486
99,366
100,390
101,662
102,244
103,546
104,266
105,256
106,248
107,300
108,692
109,120
110,350
111,332
112,594
113,300
114,662
115,160
116,366
117,434
118,236
119,344
120,484
121,220
122,-40
123,246
124,600
125,288
126,534
127,280
128,380
129,314
130,272
131,60
132,328
133,238
134,456
135,358
136,302
137,328
138,242
139,256
140,244
141,198
142,330
143,318
144,464
145,436
146,366
147,532
148,290
149,378
150,216
151,284
152,278
153,340
154,330
155,356
156,364
157,284
158,422
159,234
160,422
161,160
162,630
163,288
164,364
165,388
166,532
167,384
168,294
169,308
170,252
171,514
172,314
173,270
174,310
175,546
176,502
177,246
178,274
179,460
180,438
181,436
182,308
183,460
184,246
185,308
186,342
187,456
188,432
189,120
190,302
191,492
192,512
193,426
194,414
195,320
196,270
197,188
198,230
199,394
200,274
201,332
202,464
203,470
204,260
205,-20
206,244
207,648
208,282
209,274
210,588
211,222
212,418
213,538
214,442
215,238
216,296
217,248
218,278
219,302
220,488
221,268
222,570
223,416
224,218
225,366
226,472
227,264
228,696
229,244
230,366
231,224
232,226
233,428
234,242
235,206
236,342
237,368
238,440
239,302
240,348
241,460
242,240
243,512
244,210
245,282
246,562
247,370
248,208
249,462
250,396
251,284
252,256
253,702
254,344
255,330
256,232
257,204
258,680
259,670
260,382
261,456
262,378
263,478
264,178
265,480
266,460
267,220
268,100
269,354
270,370
271,260
272,366
273,526
274,290
275,338
276,334
277,580
278,316
279,458
280,498
281,268
282,522
283,428
284,234
285,302
286,340
287,400
288,160
289,520
290,320
291,212
292,454
293,612
294,20
295,486
296,356
297,302
298,254
299,266
300,264
301,692
302,810
303,246
304,248
305,328
306,370
307,388
308,522
309,308
310,278
311,456
312,220
313,466
314,454
315,500
316,308
317,508
318,508
319,238
320,350
321,370
322,232
323,490
324,308
325,346
326,366
327,188
328,296
329,278
330,326
331,378
332,526
333,502
334,0
335,566
336,338
337,560
338,358
339,366
340,344
341,258
342,242
343,474
344,280
345,470
346,324
347,276
348,326
349,684
350,452
351,80
352,252
353,236
354,332
355,354
356,392
357,214
358,464
359,362
360,408
361,418
362,20
363,462
364,520
365,306
366,316
367,432
368,204
369,0
370,298
371,382
372,398
373,186
374,440
375,280
376,502
377,428
378,302
379,488
380,682
381,246
382,394
383,410
384,462
385,388
386,426
387,486
388,502
389,312
390,440
391,282
392,60
393,364
394,294
395,260
396,562
397,228
398,510
399,272
400,550
401,342
402,604
403,228
404,330
405,312
406,120
407,508
408,430
409,458
410,234
411,276
412,274
413,176
414,248
415,140
416,280
417,320
418,398
419,284
420,596
421,532
422,494
423,40
424,418
425,324
426,446
427,120
428,684
429,264
430,492
431,254
432,588
433,670
434,370
435,310
436,-100
437,466
438,236
439,412
440,120
441,206
442,358
443,410
444,206
445,412
446,344
447,680
448,424
449,278
450,484
451,266
452,354
453,588
454,260
455,350
456,292
457,606
458,320
459,220
460,388
461,354
462,320
463,268
464,518
465,398
466,492
467,254
468,412
469,422
470,310
471,406
472,176
473,512
474,240
475,316
476,480
477,270
478,360
479,120
480,314
481,524
482,378
483,322
484,330
485,300
486,214
487,290
488,238
489,276
490,452
491,698
492,254
493,256
494,446
495,296
496,412
497,348
498,486
499,314
500,324
501,512
502,-60
503,372
504,382
505,248
506,454
507,400
508,210
509,-20
510,482
511,322
512,382
513,278
514,452
515,324
516,296
517,288
518,310
519,424
520,364
521,488
522,284
523,396
524,256
525,502
526,358
527,292
528,228
529,264
530,326
531,256
532,292
533,314
534,286
535,298
536,294
537,328
538,268
539,322
540,516
541,438
542,500
543,302
544,256
545,514
546,232
547,478
548,274
549,464
550,432
551,434
552,294
553,254
554,272
555,360
556,336
557,320
558,262
559,298
560,274
561,20
562,276
563,306
564,814
565,238
566,282
567,238
568,464
569,378
570,480
571,406
572,452
573,348
574,502
575,486
576,526
577,380
578,304
579,292
580,310
581,246
582,268
583,0
584,100
585,274
586,266
587,208
588,586
589,272
590,320
591,260
592,408
593,442
594,258
595,216
596,290
597,226
598,120
599,474
600,314
601,310
602,368
603,296
604,266
605,346
606,330
607,232
608,594
609,522
610,436
611,288
612,466
613,466
614,40
615,346
616,374
617,286
618,276
619,482
620,346
621,300
622,382
623,352
624,238
625,506
626,284
627,334
628,350
629,300
630,220
631,280
632,240
633,268
634,120
635,-80
636,274
637,260
638,358
639,636
640,224
641,500
642,512
643,286
644,342
645,328
646,434
647,410
648,398
649,384
650,434
651,290
652,330
653,296
654,258
655,492
656,250
657,396
658,280
659,314
660,308
661,0
662,458
663,588
664,508
665,240
666,592
667,284
668,276
669,408
670,254
671,346
672,306
673,272
674,482
675,266
676,344
677,458
678,360
679,300
680,426
681,280
682,536
683,472
684,502
685,390
686,276
687,526
688,520
689,294
690,342
691,100
692,378
693,260
694,294
695,254
696,60
697,312
698,312
699,550
700,252
701,408
702,238
703,250
704,60
705,336
706,474
707,-20
708,216
709,276
710,348
711,246
712,360
713,284
714,538
715,240
716,266
717,226
718,292
719,518
720,208
721,280
722,308
723,364
724,270
725,406
726,392
727,410
728,-20
729,120
730,226
731,264
732,332
733,288
734,256
735,408
736,350
737,226
738,278
739,274
740,312
741,140
742,270
743,584
744,700
745,410
746,316
747,406
748,256
749,242
750,324
751,342
752,80
753,300
754,354
755,232
756,320
757,20
758,280
759,306
760,248
761,368
762,700
763,244
764,268
765,444
766,460
767,588
768,302
769,532
770,256
771,228
772,202
773,240
774,316
775,280
776,468
777,368
778,120
779,224
780,540
781,356
782,198
783,426
784,424
785,476
786,442
787,366
788,250
789,570
790,370
791,212
792,382
793,346
794,180
795,678
796,598
797,226
798,260
799,296
800,408
801,376
802,640
803,410
804,224
805,446
806,314
807,296
808,254
809,384
810,180
811,388
812,100
813,400
814,536
815,226
816,274
817,438
818,518
819,298
820,1066
821,354
822,330
823,306
824,264
825,160
826,696
827,520
828,300
829,474
