,score
0,-20
1,-60
2,0
3,-40
4,-40
5,-20
6,-20
7,-20
8,20
9,0
10,-20
11,-60
12,-40
13,-20
14,-40
15,-40
16,-60
17,0
18,0
19,-40
20,-80
21,-40
22,-80
23,-100
24,-80
25,-20
26,-20
27,0
28,-40
29,-40
30,-40
31,-20
32,0
33,-60
34,-40
35,-20
36,-40
37,-60
38,-20
39,-40
40,-20
41,-40
42,-20
43,-20
44,-40
45,-100
46,-40
47,0
48,-20
49,-20
50,0
51,-40
52,-40
53,-40
54,-60
55,-60
56,-40
57,-40
58,0
59,-40
60,-60
61,-20
62,-40
63,20
64,-40
65,-40
66,0
67,-60
68,20
69,-20
70,-40
71,-60
72,0
73,-60
74,-40
75,-40
76,-40
77,-40
78,0
79,-80
80,-40
81,-60
82,-60
83,-60
84,-60
85,-20
86,-20
87,20
88,-20
89,-60
90,-60
91,-60
92,-20
93,-40
94,-20
95,-40
96,-80
97,-20
98,-40
99,-20
100,-100
101,-20
102,-20
103,-40
104,-20
105,-40
106,0
107,-20
108,-40
109,-40
110,-20
111,0
112,-60
113,-60
114,-60
115,-20
116,-60
117,-60
118,0
119,-20
120,0
121,-40
122,20
123,-80
124,-80
125,-40
126,20
127,0
128,-60
129,-20
130,-60
131,0
132,-40
133,0
134,-60
135,-20
136,-20
137,0
138,-40
139,-80
140,-40
141,-40
142,-60
143,40
144,0
145,-40
146,-80
147,0
148,-60
149,-20
150,-80
151,40
152,-40
153,-60
154,-40
155,-20
156,-40
157,-40
158,-40
159,-40
160,-20
161,-80
162,-20
163,40
164,-40
165,20
166,-20
167,-80
168,0
169,-80
170,-40
171,-60
172,-20
173,-60
174,-80
175,0
176,-60
177,20
178,-20
179,0
180,-20
181,-40
182,-20
183,-20
184,-60
185,0
186,-20
187,-20
188,-20
189,-20
190,-40
191,0
192,-60
193,20
194,0
195,-60
196,0
197,0
198,0
199,-60
200,-60
201,-20
202,-20
203,-20
204,-80
205,-40
206,0
207,-40
208,-20
209,-60
210,-40
211,0
212,-60
213,-40
214,20
215,-40
216,-60
217,-40
218,-60
219,0
220,0
221,-20
222,-40
223,-40
224,-20
225,-60
226,-20
227,-60
228,-40
229,-20
230,-60
231,-60
232,-20
233,0
234,20
235,-20
236,0
237,-80
238,-80
239,-40
240,-40
241,-40
242,20
243,-20
244,0
245,-20
246,-20
247,20
248,-40
249,-80
250,-20
251,-60
252,-20
253,-60
254,20
255,-80
256,-60
257,-40
258,20
259,-20
260,-60
261,0
262,-40
263,-60
264,-40
265,20
266,-60
267,-60
268,-20
269,20
270,-60
271,20
272,-20
273,-20
274,0
275,-60
276,-60
277,-40
278,-20
279,0
280,-20
281,80
282,-20
283,0
284,-20
285,-60
286,0
287,-40
288,20
289,0
290,0
291,-100
292,-80
293,-20
294,-20
295,0
296,-80
297,-100
298,-40
299,-40
300,-20
301,-80
302,-40
303,-20
304,-20
305,-60
306,-40
307,-20
308,0
309,-60
310,-20
311,-40
312,-40
313,-20
314,0
315,20
316,-20
317,-40
318,-40
319,-60
320,-40
321,0
322,0
323,-40
324,-60
325,0
326,-20
327,-80
328,-20
329,-20
330,-40
331,-60
332,0
333,20
334,-40
335,0
336,0
337,-60
338,-20
339,0
340,-60
341,0
342,-40
343,20
344,-40
345,-20
346,0
347,-40
348,-40
349,-40
350,0
351,-20
352,0
353,-60
354,-80
355,0
356,-40
357,-80
358,-60
359,-20
360,0
361,-20
362,-60
363,-40
364,-20
365,0
366,20
367,-40
368,20
369,-40
370,-40
371,20
372,-60
373,-60
374,-20
375,0
376,-20
377,-60
378,-20
379,-40
380,-40
381,0
382,-80
383,-40
384,20
385,-20
386,0
387,-20
388,-40
389,-40
390,-40
391,-60
392,0
393,-20
394,-60
395,-60
396,-80
397,-20
398,0
399,-60
400,-20
401,20
402,-40
403,-20
404,0
405,-40
406,-60
407,-40
408,-80
409,-40
410,-60
411,-60
412,0
413,20
414,-60
415,20
416,-20
417,-60
418,-20
419,-20
420,-60
421,-60
422,-20
423,-20
424,0
425,-60
426,-20
427,-40
428,-20
429,-40
430,-20
431,-20
432,-20
433,0
434,0
435,-20
436,-20
437,-20
438,-40
439,-40
440,0
441,-80
442,-60
443,20
444,-40
445,-40
446,-40
447,20
448,-40
449,0
450,0
451,-60
452,20
453,-20
454,-20
455,-60
456,-60
457,0
458,-40
459,40
460,0
461,-40
462,-20
463,-100
464,20
465,0
466,-20
467,0
468,-20
469,-60
470,-20
471,-20
472,0
473,-60
474,-20
475,-20
476,20
477,-40
478,-40
479,-60
480,-80
481,20
482,-20
483,-20
484,20
485,0
486,20
487,-40
488,-20
489,-60
490,-20
491,-20
492,0
493,-60
494,-40
495,-60
496,20
497,-20
498,20
499,-40
500,-60
501,20
502,0
503,-60
504,-20
505,0
506,-80
507,-20
508,-40
509,-40
510,0
511,-80
512,-20
513,-60
514,0
515,-20
516,0
517,-20
518,-20
519,-20
520,-20
521,-20
522,-20
523,-20
524,-20
525,-60
526,0
527,-60
528,-40
529,-40
530,40
531,-40
532,-40
533,-60
534,20
535,-60
536,-80
537,-80
538,20
539,-40
540,-80
541,-40
542,20
543,-60
544,-40
545,20
546,-60
547,-40
548,-20
549,0
550,-40
551,-20
552,-40
553,-40
554,0
555,-20
556,-80
557,-40
558,-60
559,-60
560,40
561,-40
562,-40
563,-40
564,-40
565,-60
566,-40
567,0
568,-20
569,-40
570,-60
571,-20
572,20
573,0
574,-60
575,-60
576,-60
577,-20
578,-20
579,-20
580,-60
581,-20
582,0
583,-20
584,-20
585,20
586,-40
587,-60
588,-20
589,0
590,0
591,-40
592,-60
593,0
594,0
595,20
596,-60
597,20
598,-80
599,0
600,-40
601,20
602,-40
603,-40
604,-60
605,-20
606,-20
607,-60
608,-40
609,20
610,-40
611,0
612,-60
613,-40
614,-40
615,-60
616,-20
617,-80
618,-60
619,-20
620,0
621,-40
622,-80
623,-40
624,-60
625,-60
626,-60
627,20
628,-60
629,-40
630,-40
631,-20
632,0
633,-20
634,-60
635,-20
636,0
637,-20
638,20
639,-40
640,-20
641,20
642,0
643,-20
644,0
645,0
646,-40
647,20
648,20
649,-20
650,20
651,-20
652,20
653,-20
654,20
655,20
656,-20
657,0
658,0
659,-60
660,-20
661,-20
662,-20
663,-20
664,-60
665,-40
666,-40
667,-20
668,-60
669,-60
670,-20
671,-40
672,-80
673,-20
674,-80
675,40
676,20
677,-60
678,0
679,-80
680,0
681,-100
682,-20
683,-40
684,20
685,-60
686,-20
687,20
688,0
689,-60
690,-80
691,-40
692,0
693,20
694,20
695,20
696,-40
697,-80
698,-40
699,-20
700,-40
701,-80
702,20
703,-20
704,-40
705,-40
706,-60
707,20
708,-20
709,-40
710,0
711,0
712,0
713,-20
714,-20
715,0
716,-60
717,-40
718,-20
719,-60
720,-40
721,20
722,0
723,0
724,-40
725,-40
726,40
727,0
728,-80
729,-20
730,-40
731,-40
732,-20
733,-20
734,-20
735,-40
736,0
737,-40
738,40
739,-40
740,20
741,0
742,0
743,0
744,0
745,-40
746,-40
747,-40
748,-20
749,-20
750,-60
751,20
752,0
753,-20
754,0
755,0
756,-20
757,0
758,-40
759,-20
760,-20
761,0
762,0
763,-20
764,-40
765,20
766,20
767,-20
768,-40
769,20
770,20
771,-60
772,-80
773,-60
774,-20
775,20
776,-60
777,20
778,0
779,20
780,-40
781,-40
782,-20
783,20
784,20
785,-20
786,0
787,-80
788,-40
789,0
790,-40
791,-40
792,0
793,0
794,-60
795,-40
796,-60
797,-20
798,-60
799,-20
800,0
801,20
802,0
803,-20
804,-60
805,-20
806,-60
807,-60
808,-60
809,-40
810,-20
811,-60
812,-20
813,0
814,0
815,-20
816,40
817,-20
818,0
819,0
820,0
821,-60
822,20
823,20
824,0
825,-40
826,-80
827,-20
828,20
829,0
830,-20
831,-60
832,20
833,0
834,-20
835,-40
836,-20
837,-60
838,-20
839,-40
840,0
841,-20
842,-40
843,-40
844,-40
845,-40
846,-60
847,-60
848,-60
849,-40
850,-20
851,-40
852,-40
853,-20
854,0
855,-20
856,-20
857,-60
858,0
859,-20
860,-40
861,-40
862,40
863,-20
864,-20
865,40
866,-40
867,-20
868,-40
869,-40
870,-40
871,20
872,-40
873,-60
874,-40
875,-60
876,-20
877,-20
878,0
879,0
880,-40
881,-20
882,-20
883,20
884,20
885,0
886,0
887,0
888,20
889,-60
890,-20
891,-20
892,-60
893,0
894,0
895,-60
896,-40
897,-20
898,20
899,-40
900,0
901,0
902,-20
903,-20
904,-20
905,-80
906,20
907,0
908,-20
909,-20
910,-20
911,0
912,-60
913,-40
914,-80
915,0
916,-20
917,-20
918,-60
919,-20
920,0
921,20
922,-60
923,0
924,-60
925,0
926,0
927,0
928,0
929,40
930,-20
931,-40
932,-20
933,-40
934,-60
935,0
936,0
937,0
938,0
939,-40
940,-80
941,0
942,-40
943,-40
944,0
945,-20
946,-40
947,-20
948,-20
949,-20
950,0
951,-40
952,0
953,40
954,-20
955,20
956,-40
957,-20
958,40
959,0
960,-60
961,-60
962,20
963,20
964,-40
965,-20
966,-80
967,-20
968,-40
969,40
970,-20
971,-40
972,-20
973,-40
974,40
975,-40
976,-40
977,-20
978,40
979,-20
980,-20
981,-60
982,-40
983,0
984,40
985,-40
986,-60
987,-40
988,-40
989,40
990,-80
991,-40
992,-60
993,-60
994,-40
995,-20
996,20
997,-40
998,-60
999,0
