,score
0,-80
1,-20
2,-40
3,-40
4,-80
5,-40
6,-40
7,-20
8,-60
9,-40
10,0
11,20
12,-60
13,-80
14,-40
15,-40
16,0
17,-60
18,0
19,0
20,-40
21,-20
22,-20
23,0
24,-40
25,-40
26,-20
27,0
28,-20
29,20
30,-20
31,-40
32,-60
33,-60
34,-60
35,-20
36,-20
37,0
38,-60
39,-60
40,-40
41,20
42,-60
43,40
44,-40
45,-40
46,-60
47,-60
48,-100
49,20
50,-40
51,-40
52,-20
53,-60
54,-20
55,-40
56,-80
57,-60
58,-60
59,0
60,-60
61,-40
62,-20
63,-80
64,-40
65,-40
66,-40
67,-40
68,-60
69,-40
70,-100
71,-40
72,-40
73,20
74,-60
75,-40
76,20
77,0
78,-20
79,-20
80,-40
81,-40
82,-40
83,0
84,-60
85,0
86,-80
87,-20
88,-60
89,-60
90,-40
91,-40
92,-60
93,-60
94,-80
95,0
96,0
97,0
98,-20
99,20
100,-20
101,-40
102,-20
103,0
104,-20
105,-20
106,-60
107,-40
108,-20
109,-60
110,-60
111,-40
112,-60
113,-40
114,-20
115,-40
116,-20
117,-20
118,-40
119,-40
120,-80
121,-80
122,-20
123,-60
124,-20
125,-40
126,-60
127,20
128,-20
129,-60
130,0
131,-60
132,0
133,-20
134,20
135,-20
136,-60
137,-40
138,0
139,-20
140,0
141,40
142,-60
143,-40
144,40
145,-40
146,-80
147,-60
148,-80
149,20
150,-20
151,-40
152,-60
153,-20
154,-60
155,-80
156,-40
157,-40
158,-80
159,-20
160,0
161,-60
162,-40
163,-60
164,-80
165,-40
166,-40
167,-60
168,-40
169,-100
170,-40
171,20
172,20
173,-40
174,-40
175,-60
176,0
177,-80
178,-60
179,20
180,0
181,-80
182,-40
183,-40
184,-100
185,-20
186,-60
187,-20
188,-40
189,0
190,-40
191,-40
192,-80
193,-40
194,-20
195,-40
196,-40
197,-40
198,-40
199,-20
200,-20
201,-60
202,-60
203,-60
204,0
205,0
206,0
207,-40
208,-80
209,-80
210,-40
211,-60
