,score
0,0
1,-60
2,0
3,-20
4,0
5,-40
6,-60
7,-80
8,-40
9,0
10,-40
11,20
12,-20
13,0
14,-40
15,-80
16,0
17,-20
18,-40
19,0
20,-40
21,-40
22,-20
23,-60
24,-60
25,-20
26,-40
27,20
28,0
29,-40
30,0
31,-60
32,-40
33,-60
34,-40
35,0
36,-80
37,-40
38,-20
39,-80
40,-40
41,-20
42,-60
43,-60
44,-40
45,0
46,-100
47,-20
48,-40
49,-60
50,-40
51,-40
52,-40
53,0
54,-80
55,0
56,-60
57,-20
58,-40
59,-40
60,-40
61,0
62,0
63,-80
64,-60
65,-40
66,0
67,-60
68,-60
69,-60
70,-60
71,-20
72,-80
73,-20
74,-100
75,-20
76,0
77,-20
78,-40
79,-60
80,-40
81,-20
82,20
83,-60
84,-100
85,-40
86,40
87,-20
88,-40
89,0
90,-60
91,0
92,-20
93,-100
94,-20
95,-40
96,-60
97,-20
98,-60
99,-40
100,-60
101,-60
102,-60
103,0
104,-60
105,-60
106,-60
107,-60
108,-40
109,-20
110,20
111,-40
112,-20
113,0
114,-40
115,-20
116,-100
117,-80
118,-80
119,-60
120,-40
121,-20
122,-20
123,-20
124,-20
125,0
126,-60
127,-20
128,-60
129,40
130,-40
131,0
132,-60
133,-20
134,-80
135,20
136,0
137,-40
138,20
139,-100
140,0
141,0
142,0
143,-40
144,0
145,0
146,-60
147,-40
148,20
149,-40
150,-20
151,100
152,-40
153,-20
154,-60
155,0
156,-40
157,-100
158,-100
159,-20
160,40
161,-40
162,20
163,-60
164,0
165,-20
166,-60
167,-20
168,-20
169,-100
170,-80
171,-20
172,-20
173,0
174,-60
175,0
176,-100
177,-20
178,0
179,0
180,-60
181,-20
182,-60
183,-40
184,-60
185,-40
186,-20
187,-40
188,-60
189,-40
190,-40
191,0
192,0
193,0
194,-60
195,-40
196,-20
197,-20
198,-20
199,0
200,-60
201,-40
202,-20
203,-20
204,20
205,-40
206,-40
207,-40
208,-20
209,-60
210,-40
211,-40
212,60
213,20
214,-40
215,0
216,-20
217,-40
218,-60
219,-60
220,-40
221,-20
222,-60
223,20
224,-20
225,-20
226,0
227,-40
228,-60
229,-80
230,-80
231,-80
232,60
233,-80
234,-60
235,-20
236,-20
237,0
238,-40
239,-60
240,-20
241,-60
242,-40
243,-40
244,-20
245,0
246,0
247,-40
248,-100
249,-60
250,-80
251,-40
252,-60
253,-60
254,-60
255,40
256,-60
257,-60
258,60
259,-20
260,-40
261,-60
262,-80
263,-20
264,20
265,-100
266,-60
267,-40
268,-60
269,-60
270,-60
271,0
272,80
273,-60
274,-60
275,0
276,-40
277,0
278,-60
279,-40
280,-20
281,-40
282,-20
283,-20
284,-60
285,-60
286,-20
287,-40
288,-80
289,-60
290,20
291,-20
292,-60
293,-20
294,-80
295,40
296,0
297,-40
298,40
299,-40
300,0
301,0
302,-80
303,-40
304,-60
305,-20
306,40
307,-80
308,-60
309,-60
310,40
311,-60
312,-20
313,-20
314,-80
315,0
316,-60
317,-40
318,-60
319,-20
320,-60
321,-60
322,-40
323,-20
324,-60
325,-60
326,20
327,0
328,-40
329,-80
330,-40
331,-20
332,60
333,-20
334,-20
335,-60
336,0
337,-20
338,-40
339,0
340,-20
341,-60
342,-60
343,-60
344,-80
345,-80
346,-20
347,-80
348,-60
349,-60
350,-20
351,-80
352,-20
353,-80
354,-60
355,-40
356,-80
357,-40
358,-40
359,-20
360,0
361,-20
362,-80
363,-40
364,-40
365,-20
366,-40
367,-60
368,-20
369,-40
370,-40
371,20
372,0
373,-20
374,-40
375,-20
376,-40
377,-40
378,20
379,-20
380,-20
381,0
382,-80
383,-20
384,-20
385,-40
386,-20
387,0
388,-40
389,0
390,-40
391,0
392,-20
393,-40
394,-40
395,-20
396,-60
397,-20
398,-80
399,-40
400,20
401,-20
402,40
403,-20
404,-60
405,-40
406,0
407,-80
408,-40
409,-20
410,-40
411,-60
412,60
413,-80
414,-40
415,-20
416,-20
417,-60
418,-80
419,-40
420,-20
421,-20
422,-20
423,-60
424,-20
425,40
426,-60
427,-20
428,-80
429,-20
430,-40
431,-80
432,-40
433,-40
434,-40
435,-40
436,-100
437,-20
438,-40
439,0
440,-80
441,-20
442,40
443,-40
444,0
445,0
446,0
447,-40
448,60
449,-80
450,-60
451,0
452,0
453,-20
454,-20
455,0
456,-20
457,0
458,-40
459,0
460,-60
461,-80
462,-20
463,-40
464,0
465,-40
466,20
467,-20
468,-40
469,-80
470,-20
471,-40
472,40
473,-40
474,-60
475,-80
476,0
477,40
478,-60
479,-60
480,-20
481,-20
482,-80
483,-20
484,-40
485,-20
486,0
487,-80
488,40
489,-40
490,0
491,-20
492,-20
493,-40
494,-60
495,-60
496,-20
497,20
498,-40
499,-40
500,-80
501,-20
502,0
503,-60
504,-20
505,40
506,-40
507,-40
508,-60
509,-60
510,-40
511,-40
512,20
513,-20
514,-40
515,-40
516,-20
517,0
518,-20
519,-40
520,-60
521,-60
522,-60
523,-20
524,20
525,-60
526,-80
527,-60
528,-20
529,-100
530,0
531,-40
532,0
533,-40
534,20
535,-80
536,-20
537,-20
538,20
539,-80
540,-20
541,-40
542,-80
543,-80
544,-60
545,60
546,20
547,20
548,0
549,20
550,-80
551,-60
552,-20
553,-60
554,-20
555,-60
556,-60
557,-20
558,-20
559,40
560,-20
561,0
562,-20
563,-40
564,20
565,-60
566,-40
567,0
568,-20
569,-20
570,20
571,-20
572,-80
573,-20
574,-60
575,-60
576,-40
577,0
578,-20
579,0
580,-60
581,0
582,20
583,-40
584,-60
585,0
586,20
587,0
588,-60
589,0
590,0
591,-40
592,0
593,60
594,20
595,0
596,0
597,-40
598,0
599,20
600,-20
601,-60
602,-100
603,-40
604,0
605,-60
606,0
607,-60
608,-20
609,20
610,-40
611,-20
612,-100
613,-40
614,-40
615,-60
616,-60
617,-80
618,-20
619,-20
620,-40
621,-100
622,-20
623,0
624,20
625,-20
626,-20
627,-60
628,-60
629,-40
630,-20
631,-40
632,20
633,-20
634,-60
635,0
636,20
637,0
638,-60
639,-60
640,0
641,-40
642,-20
643,-60
644,-20
645,40
646,-60
647,-80
648,-60
649,20
650,-40
651,20
652,-40
653,-20
654,-40
655,-40
656,-60
657,0
658,-80
659,-40
660,0
661,20
662,0
663,-40
664,20
665,-60
666,0
667,-20
668,-40
669,-80
670,0
671,-20
672,0
673,-60
674,-80
675,20
676,0
677,0
678,-20
679,-20
680,-60
681,0
682,-80
683,-20
684,-80
685,-80
686,0
687,-20
688,-20
689,-100
690,-40
691,-40
692,-60
693,-40
694,-40
695,-20
696,0
697,-40
698,-40
699,-20
700,-20
701,-40
702,-40
703,-60
704,-20
705,40
706,-20
707,0
708,0
709,-100
710,-80
711,-20
712,-60
713,0
714,40
715,-60
716,-40
717,0
718,-40
719,-20
720,40
721,-80
722,-20
723,-40
724,20
725,-40
726,-20
727,-80
728,-40
729,-40
730,-20
731,-40
732,-60
733,0
734,-40
735,-20
736,-20
737,-80
738,20
739,-20
740,0
741,-40
742,-40
743,20
744,0
745,-80
746,0
747,-40
748,60
749,-60
750,-40
751,-40
752,20
753,20
754,-20
755,0
756,0
757,0
758,-40
759,-20
760,-60
761,-20
762,-20
763,-60
764,20
765,-20
766,0
767,20
768,0
769,-80
770,-20
771,40
772,0
773,-40
774,0
775,-20
776,-20
777,-40
778,-20
779,-20
780,-100
781,-20
782,-20
783,-20
784,-40
785,-40
786,-80
787,0
788,-60
789,-20
790,-40
791,-40
792,-40
793,-20
794,-40
795,0
796,-20
797,-20
798,-20
799,-20
800,-60
801,-60
802,-80
803,0
804,0
805,-40
806,-60
807,-40
808,-20
809,20
810,-20
811,20
812,0
813,0
814,-40
815,-60
816,-20
817,0
818,40
819,-60
820,40
821,-20
822,-20
823,20
824,0
825,-40
826,80
827,-60
828,-20
829,0
830,-60
831,-80
832,20
833,0
834,-40
835,-60
836,-40
837,-60
838,-40
839,-20
840,-100
841,-80
842,-20
843,20
844,-60
845,40
846,-20
847,-40
848,0
849,-20
850,-40
851,-20
852,-40
853,-40
854,-20
855,-40
856,-100
857,-80
858,-40
859,0
860,-80
861,20
862,-60
863,-40
864,0
865,0
866,-80
867,-60
868,-40
869,20
870,-60
871,-60
872,-80
873,0
874,-40
875,40
876,-80
877,-20
878,-20
879,0
880,0
881,-40
882,-40
883,-60
884,-20
885,20
886,0
887,-40
888,0
889,-60
890,-40
891,-20
892,-20
893,-20
894,-20
895,-80
896,-80
897,-20
898,-20
899,-60
900,0
901,-40
902,0
903,-40
904,-80
905,0
906,-20
907,-20
908,0
909,-20
910,80
911,0
912,-40
913,-20
914,-60
915,-100
916,-60
917,-60
918,-80
919,-60
920,0
921,20
922,-80
923,80
924,-20
925,20
926,-40
927,-20
928,-20
929,-20
930,-60
931,-20
932,60
933,-60
934,-80
935,0
936,40
937,-40
938,-40
939,-100
940,0
941,40
942,-40
943,-20
944,0
945,-20
946,20
947,-20
948,0
949,-60
950,-40
951,-20
952,-60
953,0
954,-20
955,-40
956,0
957,-60
958,-20
959,-20
960,-80
961,40
962,20
963,-40
964,-40
965,0
966,-60
967,-60
968,0
969,-20
970,-40
971,-20
972,-60
973,-20
974,-60
975,-40
976,20
977,20
978,20
979,-40
980,20
981,40
982,20
983,-20
984,-40
985,-20
986,0
987,0
988,0
989,-60
990,-20
991,-40
992,0
993,20
994,-40
995,-20
996,-80
997,-40
998,-80
999,0
