,score
0,-90
1,-120
2,-60
3,-120
4,-60
5,-60
6,-90
7,-30
8,-90
9,-120
10,0
11,-120
12,-60
13,-120
14,-90
15,-90
16,-120
17,-30
18,-90
19,-60
20,-60
21,-120
22,-30
23,-60
24,-90
25,-30
26,-90
27,-60
28,-60
29,-120
30,-60
31,117
32,0
33,-90
34,-90
35,0
36,-60
37,-120
38,-60
39,-30
40,-90
41,-60
42,-30
43,-60
44,0
45,0
46,0
47,-30
48,0
49,-30
50,-150
51,-30
52,-60
53,-60
54,-60
55,0
56,-60
57,-120
58,-120
59,-60
60,-30
61,-30
62,-90
63,-60
64,-120
65,-90
66,-90
67,0
68,-90
69,-60
70,-30
71,-150
72,-120
73,-120
74,-90
75,0
76,-30
77,0
78,-90
79,-120
80,-120
81,-60
82,-60
83,-120
84,-60
85,0
86,-30
87,-120
88,-60
89,-30
90,-90
91,-30
92,-60
93,-30
94,-90
95,-60
96,-30
97,-30
98,-90
99,-90
100,-60
101,-90
102,-120
103,-90
104,-90
105,-90
106,-120
107,-120
108,0
109,-90
110,-30
111,-150
112,-60
113,-30
114,0
115,-30
116,-60
117,-150
118,-30
119,-30
120,-120
121,-90
122,-120
123,-60
124,-120
125,-120
126,-120
127,-60
128,-60
129,-30
130,-90
131,66
132,-30
133,-90
134,-60
135,-60
136,-90
137,-120
138,102
139,30
140,-120
141,-90
142,-120
143,-90
144,-120
145,-90
146,0
147,-30
148,-120
149,-60
150,-60
151,0
152,-60
153,-30
154,-90
155,-60
156,-60
157,-60
158,-60
159,-90
160,-120
161,-90
162,-60
163,0
164,-90
165,-120
166,-60
167,-60
168,-60
169,-90
170,-60
171,-60
172,-90
173,-30
174,-60
175,-60
176,-60
177,-90
178,-150
179,-30
180,-120
181,0
182,-30
183,-60
184,-60
185,-150
186,-60
187,-30
188,-90
189,-90
190,-60
191,-120
192,-60
193,-30
194,-90
195,-120
196,-30
197,0
198,-60
199,-60
200,-120
201,-120
202,-30
203,-30
204,-120
205,-90
206,-60
207,-60
208,-90
209,-30
210,-60
211,-60
212,-120
213,-150
214,-30
215,-150
216,-90
217,0
218,-90
219,-90
220,-120
221,-90
222,-120
223,0
224,-90
225,0
226,-60
227,-90
228,-60
229,-90
230,-60
231,-60
232,-90
233,-60
234,-90
235,-30
236,-30
237,-90
238,-60
239,-120
240,-60
241,-90
242,-120
243,-90
244,-90
245,-120
246,-90
247,-60
248,-90
249,-60
250,-60
251,-90
252,0
253,-30
254,-60
255,-90
256,-60
257,-60
258,-120
259,-90
260,-60
261,-120
262,0
263,-90
264,-90
265,-120
266,-60
267,-30
268,-60
269,-60
270,-60
271,-30
272,-30
273,-60
274,0
275,-120
276,-90
277,-120
278,-90
279,-30
280,-120
281,-60
282,-60
283,-120
284,-90
285,-120
286,-90
287,-60
288,-30
289,-30
290,-60
291,-120
292,-30
293,-30
294,-60
295,-60
296,-90
297,-90
298,-90
299,-90
300,-30
301,0
302,-60
303,-30
304,-120
305,-120
306,-60
307,-60
308,-30
309,-120
310,-60
311,-90
312,0
313,-30
314,-60
315,-90
316,-120
317,-30
318,-90
319,-30
320,-60
321,-90
322,-30
323,-90
324,-30
325,0
326,0
327,-120
328,-60
329,36
330,-30
331,-60
332,-60
333,-60
334,-30
335,-60
336,-60
337,-90
338,-90
339,-90
340,-90
341,-90
342,-120
343,-90
344,-150
345,-60
346,-120
347,-30
348,-60
349,-60
350,-90
351,-60
352,-90
353,-120
354,-90
355,-60
356,-30
357,-90
358,-60
359,-90
360,-150
361,-60
362,-30
363,-90
364,-60
365,-120
366,-60
367,-30
368,-90
369,-60
370,-60
371,-90
372,-60
373,-60
374,-120
375,0
376,-120
377,-60
378,-30
379,-90
380,-60
381,-90
382,-60
383,-60
384,-60
385,-90
386,-90
387,-90
388,-30
389,-60
390,-60
391,-90
392,-60
393,-30
394,-60
395,-90
396,-120
397,-30
398,-150
399,-60
400,-90
401,-90
402,-60
403,-30
404,-150
405,-90
406,-90
407,-60
408,-90
409,-90
410,-60
411,-30
412,-120
413,-60
414,-150
415,-30
416,-60
417,-60
418,-90
419,-120
420,-30
421,-60
422,-60
423,-60
424,-90
425,0
426,-90
427,-90
428,-120
429,-120
430,-150
431,-120
432,0
433,-90
434,-90
435,-90
436,-30
437,-90
438,-90
439,-30
440,-90
441,-90
442,-120
443,-60
444,-60
445,-60
446,-120
447,-30
448,-120
449,-60
450,-90
451,-30
452,-150
453,-90
454,-90
455,-30
456,-60
457,-90
458,-60
459,-60
460,-90
461,-90
462,-60
463,-60
464,-60
465,-60
466,-60
467,-30
468,-120
469,-120
470,-60
471,-120
472,-90
473,-60
474,-90
475,-90
476,-120
477,-60
478,-150
479,-60
480,-120
481,-90
482,-90
483,-60
484,-90
485,-60
486,-60
487,-120
488,-60
489,-30
490,-90
491,-90
492,-30
493,-90
494,-60
495,-60
496,-30
497,-60
498,-90
499,-60
500,-60
501,-30
502,-60
503,-30
504,-60
505,-120
506,-60
507,-90
508,-30
509,-90
510,-90
511,-120
512,-90
513,-90
514,-90
515,-120
516,-60
517,-60
518,-60
519,-120
520,-90
521,-120
522,-30
523,-90
524,-30
525,-90
526,-60
527,-90
528,-30
529,-120
530,60
531,-120
532,-120
533,-60
534,0
535,-30
536,-90
537,-120
538,75
539,-90
540,-120
541,-90
542,-60
543,-90
544,-90
545,-60
546,-60
547,-90
548,0
549,-30
550,-60
551,-60
552,-60
553,-120
554,-90
555,-60
556,-30
557,-60
558,-150
559,-60
560,-90
561,-90
562,-90
563,-60
564,-90
565,-60
566,-30
567,-60
568,-90
569,-90
570,-90
571,0
572,-30
573,-60
574,-30
575,-60
576,-30
577,-120
578,-60
579,-120
580,-90
581,-60
582,-30
583,-30
584,-120
585,-60
586,-60
587,39
588,-30
589,-60
590,-60
591,-30
592,-30
593,-90
594,-30
595,-60
596,-30
597,-30
598,-30
599,-90
600,-60
601,-90
602,-30
603,-60
604,-120
605,0
606,0
607,-150
608,-120
609,-60
610,-90
611,0
612,-60
613,-60
614,-90
615,-60
616,-60
617,-60
618,-60
619,-60
620,-90
621,-60
622,-90
623,-60
624,-60
625,-60
626,-30
627,-30
628,-90
629,-60
630,-30
631,-90
632,0
633,-90
634,-120
635,-90
636,-60
637,-90
638,-90
639,-60
640,-60
641,-120
642,-30
643,-60
644,-120
645,0
646,-60
647,-60
648,0
649,-90
650,-90
651,-90
652,-60
653,-90
654,-30
655,-30
656,0
657,-90
658,-60
659,-90
660,-30
661,-120
662,-60
663,-30
664,-60
665,-60
666,-60
667,-60
668,-120
669,-60
670,-30
671,-90
672,-60
673,-90
674,0
675,-120
676,-120
677,-30
678,-90
679,-90
680,0
681,0
682,-90
683,-90
684,0
685,-30
686,0
687,-90
688,-30
689,-120
690,-90
691,-30
692,-90
693,0
694,-30
695,-90
696,-60
697,0
698,-60
699,-90
700,-60
701,-30
702,-60
703,0
704,-30
705,-90
706,-120
707,-120
708,-60
709,-90
710,-30
711,-30
712,-90
713,-60
714,-90
715,-60
716,-90
717,-90
718,-30
719,-60
720,-30
721,-90
722,0
723,-30
724,-30
725,-60
726,-60
727,0
728,-90
729,-60
730,-90
731,-120
732,-60
733,-30
734,-90
735,-90
736,-120
737,-90
738,-90
739,-90
740,-60
741,-60
742,-60
743,-120
744,-90
745,-30
746,117
747,-60
748,-90
749,-30
750,-120
751,0
752,-150
753,-60
754,-30
755,-30
756,-60
757,0
