,score
0,480
1,400
2,426
3,620
4,100
5,514
6,140
7,-60
8,916
9,510
10,952
11,1004
12,220
13,482
14,320
15,0
16,40
17,840
18,-60
19,998
20,674
21,492
22,696
23,428
24,866
25,472
26,830
27,646
28,754
29,464
30,526
31,656
32,340
33,360
34,440
35,588
36,436
37,140
38,910
39,446
40,568
41,-80
42,830
43,462
44,624
45,752
46,564
47,466
48,604
49,740
50,-80
51,588
52,820
53,300
54,-80
55,100
56,220
57,510
58,524
59,160
60,976
61,632
62,500
63,380
64,904
65,400
66,454
67,486
68,644
69,462
70,-80
71,458
72,478
73,426
74,764
75,-40
76,360
77,-80
78,594
79,352
80,574
81,522
82,400
83,864
84,320
85,838
86,-80
87,484
88,100
89,492
90,552
91,468
92,40
93,-20
94,408
95,20
96,712
97,542
98,-20
99,446
100,914
101,300
102,644
103,280
104,894
105,596
106,300
107,140
108,746
109,840
110,1088
111,914
112,1184
113,1214
114,610
115,852
116,436
117,1098
118,100
119,20
120,746
121,340
122,848
123,1046
124,732
125,1076
126,700
127,458
128,516
129,40
130,914
131,920
132,476
133,220
134,300
135,320
136,662
137,1192
138,592
139,40
140,180
141,220
142,482
143,568
144,578
145,320
146,454
147,-40
148,794
149,630
150,-20
151,384
152,868
153,934
154,820
155,548
156,610
157,160
158,760
159,280
160,574
161,528
162,568
163,594
164,500
165,388
166,240
167,516
168,382
169,100
170,398
171,696
172,260
173,-60
174,568
175,520
176,540
177,448
178,400
179,466
180,280
181,430
182,634
183,600
184,40
185,1212
186,-20
187,540
188,412
189,630
190,1052
191,760
192,480
193,280
194,100
195,240
196,434
197,526
198,938
199,200
200,-20
201,486
202,480
203,434
204,582
205,480
206,460
207,508
208,770
209,446
210,1010
211,496
212,832
213,-80
214,514
215,666
216,420
217,610
218,-20
219,566
220,982
221,764
222,548
223,826
224,570
225,140
226,706
227,400
228,844
229,548
230,916
231,548
232,60
233,648
234,868
235,180
236,600
237,426
238,220
239,632
240,430
241,464
242,850
243,646
244,1052
245,750
246,760
247,60
