,score
0,756
1,462
2,448
3,678
4,-80
5,894
6,-20
7,406
8,1064
9,590
10,828
11,580
12,280
13,604
14,460
15,810
16,682
17,490
18,60
19,564
20,428
21,140
22,40
23,508
24,538
25,160
26,872
27,448
28,762
29,580
30,770
31,778
32,876
33,1192
34,510
35,370
36,390
37,510
38,320
39,546
40,680
41,796
42,460
43,-100
44,1090
45,420
46,928
47,908
48,542
49,140
50,160
51,650
52,692
53,444
54,320
55,380
56,634
57,450
58,20
59,40
60,958
61,-60
62,460
63,424
64,200
65,60
66,730
67,516
68,1030
69,398
70,-80
71,280
72,0
73,478
74,814
75,502
76,320
77,240
78,418
79,362
80,520
81,496
82,400
83,180
84,540
85,764
86,438
87,488
88,220
89,-60
90,-80
91,490
92,360
93,600
94,1086
95,40
96,828
97,580
98,648
99,532
100,502
101,280
102,480
103,752
104,60
105,454
106,588
107,0
108,774
109,398
110,100
111,864
112,366
113,472
114,536
115,528
116,496
117,200
118,558
119,524
120,-20
121,656
122,536
123,512
124,610
125,482
126,790
127,450
128,940
129,80
130,770
131,240
132,708
133,652
134,412
135,60
136,220
137,944
138,488
139,558
140,-80
141,754
142,756
143,490
144,400
145,466
146,484
147,962
148,340
149,220
150,300
151,180
152,240
153,432
154,424
155,654
156,586
157,380
158,540
159,360
160,200
161,460
162,460
163,-40
164,732
165,986
166,370
167,482
168,700
169,438
170,616
171,546
172,514
173,696
174,586
175,180
176,380
177,650
178,578
179,-100
180,602
181,300
182,472
183,340
184,420
185,440
186,464
187,540
188,648
189,420
190,140
191,180
192,600
193,424
194,638
195,416
196,624
197,120
198,854
199,466
200,572
201,180
202,160
203,1014
204,380
205,370
206,750
207,360
208,100
209,554
210,696
211,658
212,428
213,952
214,718
215,400
216,20
217,572
218,380
219,300
220,674
221,360
222,900
223,540
224,794
225,40
226,660
227,40
228,398
229,-20
230,464
231,508
232,340
233,418
234,404
235,720
236,-60
237,-80
238,562
239,540
240,802
241,590
242,692
243,546
244,424
245,340
246,966
247,638
248,502
249,300
250,-80
251,500
252,804
253,520
254,40
255,466
256,180
257,1078
258,600
259,638
260,402
261,522
262,572
263,960
264,520
265,858
266,340
267,628
268,458
269,974
270,260
271,552
272,-20
273,418
274,476
275,994
276,614
277,60
278,422
279,400
280,538
281,522
282,426
283,220
284,602
285,560
286,752
287,602
288,888
289,556
290,588
291,-100
292,540
293,582
294,550
295,620
296,402
297,0
298,598
299,954
300,756
301,400
302,280
303,300
304,374
305,730
306,392
307,622
308,220
309,494
310,-20
311,400
312,-80
313,486
314,464
315,484
316,560
317,524
318,60
319,220
320,0
321,596
322,160
323,320
324,942
325,100
326,454
327,466
328,488
329,726
330,596
331,504
332,436
333,180
334,220
335,220
336,560
337,414
338,220
339,300
340,564
341,460
342,60
343,970
344,160
345,860
346,588
347,240
348,710
349,-20
350,478
351,790
352,464
353,558
354,484
355,458
356,1096
357,1000
358,636
359,632
360,-80
361,742
362,680
363,524
364,836
365,260
366,880
367,280
368,1236
369,40
370,542
371,750
372,590
373,434
374,604
375,432
376,458
377,360
378,546
379,820
380,966
381,754
382,740
383,40
384,384
385,822
386,-20
387,60
388,656
389,546
390,828
391,970
392,542
393,760
394,220
395,412
396,510
397,120
398,402
399,518
400,460
401,712
402,446
403,726
404,362
405,260
406,390
407,748
408,432
409,440
410,516
411,600
412,486
413,60
414,354
415,666
416,664
417,918
418,60
419,528
420,548
421,492
422,524
423,180
424,544
425,632
426,580
427,60
428,100
429,-60
430,580
431,592
432,160
433,554
434,458
435,240
436,40
437,476
438,502
439,452
440,890
441,390
442,420
443,724
444,670
445,100
446,480
447,592
448,444
449,820
450,140
451,280
452,60
453,456
454,642
455,300
456,140
457,870
458,746
459,598
460,40
461,260
462,490
463,414
464,300
465,498
466,812
467,952
468,406
469,526
470,992
471,448
472,592
473,968
474,494
475,504
476,1096
477,538
478,926
479,392
480,438
481,1044
482,978
483,844
484,792
485,444
486,552
487,40
488,432
489,360
490,420
491,480
492,428
493,1002
494,588
495,40
496,240
497,240
498,504
499,280
500,436
501,394
502,834
503,562
504,380
505,448
506,160
507,644
508,616
509,466
510,558
511,798
512,512
513,518
514,826
515,556
516,460
517,560
518,380
519,1100
520,180
521,1042
522,-100
523,674
524,482
525,618
526,764
527,408
528,526
529,438
530,906
531,160
532,40
533,60
534,120
535,-80
536,948
537,386
538,690
539,430
540,574
541,980
542,514
543,500
544,320
545,470
546,20
547,644
548,956
549,436
550,260
551,660
552,424
553,300
554,506
555,564
556,970
557,420
558,364
559,388
560,220
561,-60
562,160
563,60
564,532
565,454
566,718
567,538
568,604
569,746
570,500
571,744
572,826
573,772
574,552
575,440
576,400
577,604
578,642
579,550
580,416
581,220
582,580
583,80
584,904
585,742
586,730
587,474
588,744
589,760
590,100
591,496
592,580
593,580
594,60
595,460
596,388
597,260
598,748
599,610
600,660
601,426
602,634
603,830
604,798
605,780
606,494
607,876
608,524
609,710
610,526
611,500
612,582
613,448
614,524
615,540
616,724
617,658
618,614
619,768
620,552
621,456
622,518
623,0
624,100
625,520
626,664
627,718
628,690
629,220
630,806
631,866
632,640
633,488
634,408
635,480
636,-80
637,540
638,100
639,538
640,808
641,832
642,730
643,696
644,504
645,624
646,626
647,524
648,412
649,964
650,300
651,380
652,240
653,528
654,458
655,594
656,512
657,160
658,460
659,708
660,120
661,466
662,160
663,754
664,468
665,400
666,468
667,560
668,220
669,766
670,520
671,466
672,346
