,score
0,46
1,64
2,-20
3,26
4,-14
5,-22
6,34
7,6
8,84
9,-26
10,78
11,-6
12,-100
13,2
14,92
15,40
16,84
17,66
18,-2
19,-100
20,46
21,82
22,-28
23,56
24,-58
25,38
26,70
27,-18
28,28
29,-8
30,42
31,32
32,12
33,62
34,-2
35,16
36,-30
37,50
38,-12
39,58
40,26
41,70
42,-26
43,92
44,12
45,78
46,-80
47,84
48,-26
49,-14
50,2
51,-60
52,98
53,34
54,38
55,24
56,18
57,-48
58,22
59,18
60,58
61,-82
62,84
63,44
64,58
65,-76
66,74
67,-34
68,44
69,12
70,12
71,-30
72,74
73,62
74,58
75,16
76,40
77,4
78,128
79,-6
80,-30
81,88
82,-26
83,-18
84,80
85,56
86,-52
87,18
88,44
89,-46
90,94
91,76
92,-20
93,-22
94,88
95,-24
96,-22
97,44
98,86
99,-6
100,-66
101,30
102,10
103,28
104,16
105,6
106,128
107,14
108,-24
109,80
110,90
111,88
112,-46
113,46
114,-80
115,66
116,20
117,-6
118,58
119,80
120,22
121,28
122,82
123,22
124,78
125,108
126,-28
127,-86
128,48
129,-36
130,50
131,-26
132,64
133,84
134,40
135,10
136,-24
137,80
138,10
139,-40
140,44
141,-2
142,100
143,14
144,106
145,-56
146,52
147,42
148,-8
149,90
150,58
151,-10
152,76
153,102
154,-28
155,14
156,-22
157,28
158,82
159,6
160,44
161,60
162,18
163,-12
164,-14
165,-54
166,-64
167,34
168,60
169,-16
170,106
171,14
172,58
173,-30
174,10
175,-26
176,66
177,84
178,48
179,10
180,48
181,76
182,106
183,26
184,8
185,22
186,96
187,76
188,26
189,72
190,12
191,90
192,50
193,52
194,-40
195,98
196,4
197,42
198,-4
199,18
200,-36
201,0
202,-88
203,-46
204,56
205,30
206,74
207,18
208,50
209,80
210,-16
211,30
212,-14
213,74
214,-38
215,12
216,50
217,68
218,78
219,-100
220,78
221,84
222,14
223,-40
224,42
225,22
226,78
227,18
228,72
229,-20
230,26
231,44
232,-30
233,-10
234,-14
235,-8
236,2
237,34
238,54
239,-50
240,58
241,-8
242,-10
243,-80
244,74
245,26
246,-20
247,-22
248,48
249,82
250,22
251,36
252,42
253,36
254,138
255,26
256,84
257,-12
258,80
259,68
260,-56
261,90
262,10
263,28
264,-50
265,84
266,-62
267,84
268,78
269,68
270,10
271,28
272,-24
273,16
274,80
275,44
276,46
277,24
278,28
279,50
280,28
281,46
282,-28
283,-40
284,-56
285,30
286,0
287,26
288,66
289,38
290,-32
291,12
292,-28
293,50
294,-80
295,-26
296,72
297,96
298,94
299,4
300,58
301,82
302,76
303,20
304,6
305,32
306,-6
307,46
308,28
309,-16
310,50
311,60
312,-10
313,-16
314,-56
315,-8
316,36
317,40
318,14
319,26
320,8
321,-68
322,76
323,-10
324,16
325,-8
326,36
327,72
328,26
329,44
330,-24
331,6
332,22
333,84
334,46
335,12
336,42
337,26
338,26
339,-46
340,96
341,-2
342,0
343,-20
344,22
345,102
346,62
347,-40
348,-86
349,20
350,40
351,28
352,10
353,-14
354,-8
355,6
356,18
357,64
358,22
359,18
360,66
361,56
362,-80
363,64
364,30
365,-54
366,30
367,78
368,0
369,24
370,58
371,66
372,-46
373,18
374,-50
375,50
376,28
377,-18
378,-18
379,36
380,-24
381,-64
382,104
383,-34
384,0
385,-20
386,58
387,18
388,10
389,44
390,-48
391,124
392,48
393,68
394,30
395,-20
396,-6
397,-20
398,22
399,-22
400,-94
401,100
402,-62
403,18
404,70
405,-12
406,44
407,74
408,14
409,-30
410,118
411,38
412,36
413,58
414,20
415,40
416,54
417,52
418,-40
419,26
420,80
421,38
422,16
423,-18
424,112
425,-40
426,84
427,40
428,-60
429,-20
430,42
431,-46
432,32
433,90
434,100
435,-8
436,36
437,100
438,-32
439,-26
440,-50
441,-14
442,-42
443,88
444,22
445,20
446,-80
447,58
448,56
449,82
450,-48
451,12
452,8
453,26
454,-20
455,-48
456,64
457,-26
458,44
459,40
460,80
461,36
462,68
463,102
464,0
