,score
0,300
1,966
2,260
3,540
4,800
5,1438
6,60
7,500
8,0
9,940
10,1422
11,934
12,-40
13,680
14,890
15,240
16,320
17,100
18,782
19,1112
20,100
21,280
22,0
23,-100
24,640
25,580
26,1080
27,1160
28,200
29,540
30,280
31,760
32,1574
33,988
34,40
35,626
36,804
37,540
38,800
39,1040
40,80
41,100
42,1732
43,400
44,40
45,690
46,500
47,590
48,220
49,680
50,746
51,480
52,160
53,20
54,60
55,440
56,1474
57,900
58,1050
59,40
60,180
61,800
62,440
63,280
64,360
65,240
66,160
67,-100
68,1168
69,700
70,0
71,320
72,60
73,900
74,120
75,1116
76,400
77,896
78,-20
79,620
80,686
81,300
82,758
83,1014
84,100
85,1220
86,1012
87,700
88,500
89,60
90,280
91,300
92,560
93,1220
94,1060
95,1606
96,1286
97,1068
98,790
99,40
100,260
101,280
102,160
103,-20
104,1270
105,0
106,746
107,946
108,220
109,400
110,100
111,1382
112,-100
113,20
114,776
115,160
116,20
117,-60
118,844
119,880
120,0
121,810
122,1062
123,800
124,240
125,240
126,140
127,60
128,200
129,760
130,740
131,-20
132,300
133,1040
134,120
135,820
136,20
137,520
138,20
139,778
140,580
141,380
142,900
143,708
144,764
145,986
146,160
147,1258
148,944
149,180
150,772
151,1742
152,680
153,0
154,1130
155,240
156,40
157,360
158,1128
159,120
160,948
161,-20
162,380
163,-80
164,220
165,1750
166,20
167,260
168,1442
169,360
170,240
171,300
172,760
173,1002
174,-80
175,846
176,1146
177,120
178,-80
179,420
180,1474
181,460
182,300
183,624
184,586
185,600
186,60
187,460
188,928
189,0
190,904
191,240
192,380
193,380
194,1036
195,540
196,60
197,480
198,-20
199,-20
200,844
201,952
202,300
203,360
204,0
205,1268
206,880
207,760
208,880
209,520
210,694
211,0
212,940
213,140
214,1060
215,1388
216,540
217,984
218,260
219,420
220,1446
221,820
222,260
223,600
224,800
225,824
226,180
227,0
228,1076
229,120
230,640
231,100
232,340
233,1066
234,320
235,160
236,-60
237,724
238,890
239,120
240,-100
241,846
242,260
243,340
244,1140
245,180
246,940
247,708
248,500
249,240
250,806
251,616
252,700
253,60
254,320
255,160
256,220
257,300
258,-100
259,300
260,480
261,656
262,-20
263,964
264,724
265,918
266,1182
267,40
268,796
269,1070
270,844
271,20
272,-20
273,662
274,776
275,300
276,680
277,160
278,702
279,1060
280,1442
281,300
282,620
283,460
284,1314
285,60
286,40
287,-80
288,300
289,160
290,40
291,500
292,768
293,180
294,682
295,1752
296,672
297,986
298,650
299,-60
300,540
301,280
302,640
303,-100
304,692
305,520
306,884
307,180
308,756
309,1430
310,758
311,900
312,826
313,320
314,784
315,480
316,400
317,878
318,480
319,520
320,400
321,1180
322,-20
323,400
324,540
325,1580
326,840
327,660
328,580
329,100
330,876
331,420
332,1260
333,40
334,260
335,1204
336,560
337,640
338,-20
339,660
340,160
341,260
342,180
343,1130
344,340
345,240
346,420
347,1280
348,662
349,340
350,1016
351,80
352,1732
353,720
354,420
355,660
356,580
357,460
358,660
359,240
360,80
361,1090
362,634
363,630
364,220
365,860
366,400
367,0
368,1276
369,300
370,480
371,940
372,-60
373,40
374,60
375,760
376,618
377,-80
378,1068
379,600
380,700
381,520
382,460
383,360
384,824
385,60
386,898
387,760
388,1270
389,480
390,754
391,1044
392,-20
393,260
394,280
395,-20
396,720
397,240
398,380
399,896
400,360
401,100
402,160
403,460
404,668
405,-80
406,872
407,1246
408,600
409,400
410,520
411,700
412,950
413,940
414,1638
415,798
416,700
417,1116
418,950
419,-40
420,1380
421,606
422,220
423,620
424,730
425,100
426,220
427,-20
428,1376
429,420
430,646
431,500
432,260
433,748
434,580
435,856
436,784
437,898
438,1116
439,440
440,580
441,-20
442,1410
443,80
444,1038
445,180
446,-40
447,620
448,120
449,1166
450,746
451,460
452,940
453,770
454,740
455,1396
456,726
457,1312
458,280
459,540
460,520
461,632
462,1104
463,1256
464,-40
465,1302
466,1160
467,800
468,540
469,714
470,960
471,380
472,160
473,840
474,580
475,758
476,760
477,718
478,1100
479,1206
480,180
481,620
482,918
483,260
484,400
485,1040
486,40
487,400
488,720
489,920
490,900
491,762
492,600
493,-40
494,856
495,1060
496,-80
497,-40
498,922
499,-20
500,500
501,600
502,360
503,540
504,940
505,824
506,1314
507,1000
508,280
509,1748
510,842
511,1242
512,160
513,900
514,800
515,180
516,0
517,80
518,640
519,580
520,568
521,40
522,680
523,848
524,-80
525,740
526,580
527,1332
528,360
529,400
530,-20
531,260
532,918
533,668
534,280
535,912
536,420
537,874
538,120
539,810
540,40
541,1472
542,-100
543,-20
544,1190
545,1104
546,1240
547,60
548,220
549,380
550,1300
551,1072
552,-20
553,902
554,520
555,1180
556,520
557,1202
558,240
559,200
560,876
561,180
562,460
563,700
564,896
565,100
566,600
567,380
568,900
569,740
570,1100
571,80
572,684
573,1928
574,600
575,60
576,840
577,-80
578,120
579,1012
580,820
581,480
582,460
583,760
584,918
585,900
586,810
587,280
588,760
589,500
590,766
591,1270
592,0
593,-20
594,180
595,754
596,1294
597,580
598,964
599,882
600,940
601,240
602,1280
603,766
604,1392
605,700
606,840
607,1140
608,652
609,782
610,380
611,698
612,480
613,1140
614,-20
615,140
616,808
617,60
618,540
619,620
620,440
621,702
622,740
623,240
624,-60
625,540
626,1570
627,420
628,500
629,640
630,698
631,1436
632,1104
633,864
634,40
635,716
636,960
637,680
638,1440
639,800
640,-100
641,1770
642,922
643,140
644,340
645,220
646,160
647,640
648,400
649,-40
650,814
651,1422
652,680
653,-80
654,1070
655,1106
656,380
657,40
658,1316
659,914
660,1072
661,960
662,100
663,60
664,400
665,546
666,440
667,-80
668,260
669,814
670,610
671,60
672,580
673,640
674,1188
675,220
676,260
677,734
678,-100
679,832
680,1362
681,1284
682,862
683,220
684,820
685,160
686,380
687,520
688,160
689,20
690,-80
691,360
692,682
693,80
694,584
695,736
696,520
697,360
698,140
699,940
700,964
701,80
702,1060
703,0
704,220
705,660
706,540
707,380
708,1410
709,610
710,140
711,1344
712,858
713,-40
714,874
715,480
716,770
717,0
718,440
719,780
720,960
721,1344
722,320
723,884
724,300
725,900
726,20
727,460
728,620
729,640
730,716
731,460
732,1590
733,160
734,776
735,460
736,660
737,0
738,40
739,660
740,660
741,780
742,80
743,140
744,540
745,180
746,320
747,680
748,420
749,460
750,540
751,480
752,60
753,100
754,1210
755,500
756,1240
757,320
758,320
759,612
760,680
761,1308
762,1064
763,240
764,300
765,680
766,540
767,520
768,968
769,580
770,840
771,640
772,120
773,638
774,814
775,1278
776,1360
777,780
778,1384
779,1086
780,600
781,80
782,180
783,1424
784,600
785,160
786,380
787,220
788,626
789,-60
790,714
791,984
792,1768
793,934
794,786
795,1254
796,480
797,694
798,794
799,1040
800,500
801,160
802,862
803,650
804,1060
805,1590
806,420
807,790
808,688
809,1326
810,80
811,160
812,860
813,1124
814,620
815,160
816,886
817,938
818,620
819,1090
820,798
821,300
822,1052
823,788
824,-20
825,1002
826,-20
827,420
828,260
829,1040
830,760
831,684
832,460
833,1262
834,100
835,320
836,-60
837,680
838,40
839,1058
840,40
841,686
842,80
843,620
844,120
845,986
846,820
847,722
848,658
849,940
850,1082
851,950
852,678
853,1250
854,340
855,966
856,784
857,916
858,760
859,680
860,520
861,260
862,786
863,40
864,40
865,280
866,1034
867,1406
868,906
869,640
870,780
871,340
872,1578
873,700
874,634
875,480
876,1104
877,140
878,868
879,1116
880,960
881,680
882,600
883,960
884,220
885,1134
886,40
887,40
888,360
889,100
890,762
891,200
892,982
893,360
894,1134
895,80
896,952
897,780
898,660
899,440
900,420
901,826
902,920
903,828
904,500
905,698
906,540
907,280
908,672
