,score
0,396
1,268
2,428
3,406
4,306
5,120
6,372
7,424
8,278
9,326
10,202
11,306
12,0
13,180
14,576
15,242
16,560
17,316
18,624
19,40
20,532
21,290
22,468
23,378
24,252
25,490
26,510
27,-80
28,404
29,378
30,422
31,460
32,506
33,308
34,252
35,202
36,546
37,408
38,160
39,222
40,584
41,256
42,462
43,462
44,604
45,474
46,476
47,356
48,278
49,-60
50,310
51,264
52,282
53,216
54,330
55,470
56,222
57,586
58,348
59,330
60,304
61,458
62,40
63,272
64,452
65,252
66,100
67,278
68,350
69,216
70,508
71,160
72,318
73,384
74,290
75,514
76,264
77,506
78,174
79,406
80,396
81,160
82,466
83,356
84,362
85,242
86,280
87,212
88,438
89,460
90,0
91,-60
92,-40
93,522
94,340
95,180
96,374
97,594
98,270
99,284
100,490
101,704
102,342
103,264
104,426
105,40
106,-80
107,446
108,280
109,300
110,188
111,360
112,354
113,268
114,368
115,506
116,314
117,444
118,434
119,598
120,-80
121,362
122,370
123,248
124,416
125,494
126,288
127,326
128,240
129,274
130,-80
131,348
132,278
133,326
134,242
135,190
136,286
137,268
138,510
139,472
140,304
141,326
142,160
143,404
144,268
145,214
146,140
147,518
148,-20
149,480
150,580
151,242
152,402
153,350
154,252
155,300
156,500
157,414
158,262
159,574
160,278
161,60
162,498
163,228
164,538
165,282
166,452
167,244
168,288
169,268
170,308
171,140
172,374
173,344
174,260
175,360
176,380
177,452
178,284
179,444
180,40
181,356
182,224
183,100
184,426
185,282
186,290
187,160
188,610
189,266
190,236
191,252
192,226
193,-100
194,394
195,294
196,256
197,590
198,40
199,220
200,244
201,568
202,520
203,120
204,278
205,398
206,220
207,382
208,412
209,340
210,466
211,336
212,332
213,234
214,264
215,1084
216,262
217,212
218,182
219,300
220,358
221,212
222,524
223,240
224,422
225,298
226,220
227,326
228,140
229,502
230,448
231,294
232,370
233,236
234,522
235,434
236,328
237,314
238,328
239,548
240,334
241,220
242,436
243,-60
244,302
245,420
246,258
247,246
248,342
249,80
250,226
251,494
252,426
253,522
254,266
255,370
256,474
257,-80
258,680
259,238
260,316
261,460
262,344
263,350
264,274
265,60
266,480
267,382
268,310
269,348
270,310
271,346
272,374
273,266
274,220
275,358
276,276
277,220
278,314
279,214
280,294
281,510
282,412
283,298
284,284
285,100
286,386
287,454
288,280
289,298
290,384
291,298
292,160
293,60
294,364
295,364
296,268
297,140
298,304
299,306
300,60
301,306
302,688
303,520
304,292
305,342
306,578
307,188
308,192
309,300
310,-40
311,0
312,340
313,376
314,292
315,428
316,486
317,246
318,336
319,364
320,280
321,434
322,40
323,320
324,284
325,378
326,292
327,516
328,286
329,480
330,264
331,360
332,140
333,-20
334,292
335,274
336,504
337,336
338,370
339,362
340,248
341,380
342,354
343,272
344,322
345,340
346,250
347,338
348,446
349,626
350,296
351,302
352,140
353,422
354,302
355,302
356,254
357,262
358,326
359,238
360,408
361,296
362,520
363,260
364,332
365,504
366,282
367,60
368,258
369,280
370,450
371,412
372,270
373,100
374,188
375,240
376,546
377,464
378,546
379,250
380,234
381,284
382,418
383,342
384,-60
385,352
386,388
387,0
388,338
389,622
390,234
391,448
392,40
393,416
394,272
395,232
396,230
397,294
398,306
399,314
400,312
401,476
402,340
403,296
404,322
405,406
406,348
407,374
408,252
409,282
410,406
411,502
412,424
413,306
414,334
415,274
416,272
417,310
418,376
419,340
420,284
421,678
422,406
423,180
424,234
425,254
426,60
427,278
428,216
429,340
430,476
431,256
432,256
433,224
434,492
435,302
436,336
437,272
438,474
439,100
440,288
441,256
442,242
443,342
444,324
445,226
446,350
447,468
448,340
449,212
450,242
451,140
452,394
453,338
454,100
455,214
456,688
457,524
458,386
459,266
460,40
461,278
462,514
463,226
464,300
465,688
466,238
467,200
468,408
469,424
470,420
471,346
472,310
473,360
474,378
475,286
476,280
477,266
478,140
479,306
480,322
481,530
482,244
483,196
484,428
485,278
486,384
487,316
488,456
489,402
490,120
491,240
492,40
493,508
494,566
495,284
496,40
497,378
498,308
499,268
500,448
501,492
502,470
503,270
504,384
505,334
506,280
507,528
508,654
509,484
510,512
511,594
512,318
513,454
514,398
515,284
516,372
517,344
518,238
519,478
520,404
521,706
522,596
523,358
524,306
525,222
526,282
527,498
528,468
529,450
530,580
531,486
532,294
533,256
534,444
535,220
536,296
537,234
538,248
539,244
540,196
541,260
542,318
543,300
544,458
545,282
546,514
547,506
548,328
549,302
550,422
551,466
552,424
553,526
554,446
555,398
556,520
557,488
558,226
559,-20
560,450
561,286
562,282
563,502
564,290
565,198
566,356
567,294
568,856
569,570
570,320
571,502
572,510
573,420
574,596
575,540
576,344
577,442
578,388
579,446
580,240
581,272
582,294
583,204
584,260
585,338
586,404
587,250
588,404
589,444
590,518
591,190
592,498
593,318
594,196
595,200
596,434
597,250
598,460
599,288
600,230
601,362
602,236
603,100
604,348
605,412
606,432
607,280
608,660
609,222
610,418
611,224
612,232
613,308
614,306
615,238
616,318
617,264
618,318
619,218
620,374
621,234
622,304
623,320
624,502
625,160
626,598
627,700
628,364
629,290
630,590
631,424
632,606
633,258
634,372
635,80
636,198
637,490
638,664
639,240
640,314
641,414
642,344
643,-100
644,300
645,598
646,228
647,310
648,428
649,592
650,372
651,276
652,270
653,674
654,430
655,120
656,270
657,432
658,296
659,544
660,362
661,324
662,580
663,254
664,336
665,286
666,512
667,-60
668,280
669,416
670,514
671,578
672,366
673,210
674,216
675,502
676,490
677,302
678,120
679,338
680,302
681,256
682,430
683,298
684,238
685,120
686,316
687,210
688,312
689,290
690,480
691,236
692,-20
693,362
694,276
695,532
696,352
697,442
698,410
699,376
700,268
701,500
702,474
703,478
704,294
705,348
706,318
707,408
708,212
709,562
710,486
711,250
712,518
713,310
714,334
715,446
716,324
717,0
718,496
719,260
720,298
721,472
722,272
723,236
724,422
725,708
726,324
727,264
728,40
729,270
730,404
731,320
732,456
733,334
734,308
735,332
736,280
737,332
738,296
739,364
740,242
741,260
742,562
743,284
744,518
745,402
746,230
747,288
748,226
749,334
750,276
751,250
752,326
753,444
754,390
755,240
756,274
757,296
758,314
759,296
760,-60
761,358
762,262
763,230
764,338
765,382
766,382
767,494
768,318
769,242
770,292
771,376
772,206
773,308
774,290
775,470
776,336
777,294
778,222
779,486
780,530
781,434
782,254
783,356
784,534
785,242
786,214
787,546
788,414
789,398
790,330
791,282
792,330
793,300
794,708
795,586
796,288
797,280
798,370
799,100
800,294
801,354
802,246
803,502
804,332
805,200
806,226
807,284
808,438
809,346
810,388
811,524
812,298
813,370
814,404
815,276
816,464
817,230
818,232
819,478
820,240
821,692
822,428
823,334
824,314
825,166
826,338
827,400
828,468
829,390
830,262
831,244
832,556
833,594
834,366
835,424
836,268
837,450
838,450
839,496
840,302
841,370
842,246
843,398
844,40
845,316
846,464
847,424
848,284
849,582
850,488
851,520
852,382
853,266
854,462
855,506
856,274
857,216
858,266
859,230
860,586
861,172
862,202
863,328
864,350
865,288
866,338
867,466
868,494
869,168
870,236
871,436
872,232
873,218
874,316
875,480
876,320
877,450
878,460
879,300
880,100
881,100
882,274
883,322
884,300
885,326
886,406
887,306
888,350
889,298
890,398
891,262
892,294
893,408
894,640
895,304
896,384
897,250
898,268
899,418
900,306
901,412
902,276
903,306
904,484
905,442
906,336
907,474
908,424
909,382
910,414
911,332
912,384
913,230
914,340
915,240
916,294
917,312
918,480
919,272
920,400
921,592
922,196
923,288
924,366
925,358
926,308
927,520
928,370
929,210
930,496
931,344
932,350
933,306
934,308
935,414
936,424
937,322
938,496
939,262
940,230
941,356
942,342
943,100
944,422
945,234
946,338
947,240
948,462
949,500
950,236
951,356
952,442
953,512
954,662
955,378
956,300
957,314
958,20
959,324
960,272
961,700
962,376
963,80
964,416
965,268
966,292
967,438
968,594
969,412
970,486
971,370
972,212
973,372
974,332
975,462
976,442
977,372
978,238
979,242
980,466
981,366
982,422
983,356
984,490
985,218
986,308
987,392
988,248
989,356
990,700
991,304
992,294
993,436
994,470
995,206
996,678
997,288
998,304
999,254
