,score
0,116
1,68
2,260
3,84
4,140
5,100
6,128
7,96
8,112
9,208
10,20
11,144
12,196
13,180
14,144
15,76
16,-72
17,-4
18,296
19,16
20,204
21,92
22,0
23,92
24,-16
25,60
26,184
27,16
28,44
29,200
30,-52
31,176
32,136
33,148
34,120
35,180
36,148
37,44
38,72
39,56
40,192
41,44
42,152
43,56
44,-12
45,120
46,80
47,108
48,88
49,108
50,92
51,96
52,72
53,176
54,-64
55,204
56,28
57,64
58,104
59,144
60,64
61,92
62,104
63,44
64,96
65,88
66,108
67,176
68,12
69,-44
70,136
71,184
72,-72
73,140
74,164
75,280
76,188
77,28
78,48
79,-56
80,72
81,164
82,88
83,80
84,168
85,192
86,56
87,40
88,180
89,200
90,136
91,152
92,120
93,136
94,212
95,24
96,128
97,80
98,68
99,208
100,12
101,16
102,68
103,152
104,180
105,136
106,72
107,84
108,344
109,-8
110,176
111,180
112,-12
113,176
114,80
115,-24
116,56
117,96
118,152
119,116
120,-72
121,-48
122,32
123,56
124,164
125,196
126,140
127,140
128,88
129,68
130,96
131,168
132,60
133,144
134,180
135,44
136,28
137,136
138,172
139,136
140,156
141,184
142,200
143,188
144,104
145,100
146,180
147,152
148,100
149,288
150,60
151,240
152,116
153,148
154,124
155,12
156,76
157,144
158,20
159,120
160,224
161,168
162,148
163,60
164,84
165,20
166,84
167,228
168,-32
169,192
170,180
171,-4
172,20
173,80
174,108
175,92
176,24
177,132
178,132
179,136
180,112
181,184
182,196
183,-32
184,140
185,136
186,100
187,4
188,144
189,8
190,-8
191,212
192,160
193,104
194,164
195,188
196,112
197,104
198,100
199,68
200,72
201,64
202,148
203,188
204,0
205,36
206,108
207,24
208,-20
209,88
210,164
211,104
212,-24
213,164
214,136
215,144
216,48
217,268
218,300
219,144
220,96
221,-64
222,-32
223,20
224,112
225,164
226,196
227,220
228,92
229,192
230,24
231,76
232,216
233,20
234,80
235,196
236,84
237,-64
238,212
239,132
240,184
241,136
242,140
243,68
244,136
245,192
246,148
247,108
248,64
249,60
250,84
251,68
252,-132
253,84
254,104
255,-16
256,96
257,-36
258,192
259,104
260,72
261,148
262,56
263,92
264,8
265,168
266,132
267,64
268,28
269,168
270,4
271,36
272,104
273,128
274,192
275,172
276,16
277,108
278,108
279,24
280,180
281,208
282,12
283,216
284,184
285,184
286,164
287,216
288,12
289,96
290,60
291,44
292,356
293,-116
294,64
295,-12
296,256
297,168
298,76
299,64
300,16
301,128
302,176
303,204
304,136
305,224
306,204
307,56
308,148
309,-60
310,-24
311,92
312,8
313,48
314,36
315,192
316,200
317,104
318,120
319,12
320,88
321,164
322,-24
323,260
324,152
325,84
326,184
327,-8
328,128
329,208
330,76
331,148
332,140
333,0
334,144
335,116
336,48
337,148
338,260
339,264
340,64
341,224
342,36
343,176
344,176
345,16
346,36
347,124
348,28
349,216
350,216
351,20
352,124
353,192
354,144
355,156
356,100
357,-12
358,204
359,136
360,108
361,-8
362,24
363,-64
364,160
365,152
366,184
367,100
368,136
369,132
370,168
371,192
372,28
373,100
374,164
375,128
376,140
377,92
378,112
379,168
380,84
381,60
382,56
383,220
384,156
385,28
386,-96
387,224
388,192
389,116
390,68
391,140
392,184
393,112
394,172
395,28
396,-108
397,216
398,112
399,16
400,-52
401,8
402,272
403,116
404,232
405,204
406,220
407,92
408,88
409,168
410,4
411,184
412,28
413,168
414,168
415,228
416,76
417,200
418,36
419,88
420,128
421,4
422,52
423,184
424,176
425,64
426,92
427,228
428,84
429,184
430,200
431,80
432,-12
433,-44
434,32
435,140
436,84
437,60
438,-96
439,132
440,40
441,180
442,72
443,-20
444,80
445,48
446,144
447,124
448,208
449,168
450,76
451,184
452,84
453,164
454,136
455,-24
456,96
457,-32
458,16
459,128
460,132
461,-120
462,188
463,260
464,32
465,192
466,20
467,-4
468,136
469,208
470,44
471,164
472,-24
473,68
474,196
475,92
476,220
477,88
478,220
479,220
480,100
481,-68
482,-16
483,176
484,32
485,88
486,20
487,220
488,-76
489,180
490,108
491,-68
492,8
493,180
494,220
495,-24
496,92
497,-48
498,136
499,92
500,184
501,132
502,92
503,208
504,200
505,80
506,164
507,64
508,0
509,224
510,228
511,228
512,52
513,-144
514,124
515,136
516,180
517,192
518,140
519,96
520,68
521,120
522,172
523,192
524,180
525,132
526,160
527,172
528,108
529,60
530,52
531,196
532,136
533,128
534,40
535,0
536,148
537,180
538,104
539,160
540,168
541,-72
542,148
543,48
544,248
545,136
546,164
547,216
548,172
549,152
550,120
551,216
552,40
553,72
554,180
555,196
556,216
557,68
558,172
559,124
560,12
561,224
562,20
563,136
564,64
565,96
566,268
567,180
568,176
569,180
570,-28
571,204
572,-80
573,180
574,224
575,92
576,204
577,128
578,108
579,-48
580,192
581,92
582,0
583,212
584,8
585,116
586,116
587,184
588,128
589,36
590,52
591,100
592,60
593,224
594,112
595,144
596,152
597,212
598,-36
599,-20
600,412
601,84
602,76
603,116
604,12
605,196
606,40
607,180
608,144
609,160
610,112
611,148
612,136
613,112
614,144
615,172
616,340
617,152
618,-44
619,208
620,-24
621,156
622,188
623,204
624,44
625,192
626,168
627,56
628,140
629,84
630,160
631,244
632,216
633,108
634,48
635,168
636,8
637,84
638,220
639,-16
640,176
641,60
642,224
643,136
644,200
645,96
646,64
647,140
648,160
649,96
650,24
651,244
652,48
653,60
654,60
655,120
656,20
657,-4
658,72
659,56
660,-20
661,256
662,224
663,216
664,84
665,120
666,12
667,228
668,88
669,100
670,172
671,24
672,196
673,24
674,132
675,212
676,136
677,204
678,188
679,212
680,156
681,16
682,64
683,148
684,172
685,140
686,140
687,84
688,-36
689,40
690,180
691,140
692,40
693,208
694,-36
695,28
696,68
697,192
698,228
699,132
700,24
701,60
702,8
703,128
704,108
705,208
706,56
707,192
708,176
709,132
710,104
711,60
712,212
713,48
714,112
715,188
716,192
717,292
718,64
719,44
720,104
721,104
722,264
723,184
724,40
725,32
726,132
727,112
728,64
729,224
730,132
731,212
732,164
733,148
734,168
735,8
736,160
737,216
738,44
739,100
740,208
741,-44
742,220
743,-28
744,184
745,220
746,80
747,216
748,60
749,4
750,172
751,44
752,176
753,4
754,28
755,112
756,128
757,204
758,108
759,-20
760,40
761,136
762,120
763,176
764,116
765,196
766,136
767,96
768,180
769,-28
770,108
771,40
772,136
773,180
774,-140
775,300
776,-48
777,92
778,152
779,56
780,192
781,116
782,140
783,40
784,104
785,180
786,224
787,48
788,100
789,-8
790,192
791,112
792,152
793,220
794,64
795,268
796,-16
797,132
798,184
799,72
800,60
801,104
802,-28
803,36
804,180
805,100
806,212
807,188
808,184
809,88
810,208
811,148
812,-8
813,148
814,172
815,20
816,88
817,108
818,140
819,156
820,208
821,144
822,136
823,268
824,-200
825,4
826,136
827,96
828,292
829,188
830,56
831,104
832,192
833,212
834,144
835,84
836,148
837,196
838,548
839,56
840,20
841,88
842,116
843,-40
844,80
845,176
846,144
847,124
848,208
849,220
850,64
851,92
852,176
853,8
854,212
855,140
856,96
857,180
858,-44
859,12
860,36
861,-36
862,212
863,128
864,176
865,24
866,224
867,168
868,216
869,144
870,16
871,216
872,128
873,164
874,176
875,12
876,212
877,108
878,28
879,140
880,0
881,48
882,276
883,124
884,96
885,240
886,140
887,-20
888,44
889,124
890,80
891,204
892,84
893,124
894,-32
895,104
896,12
897,104
898,176
899,148
900,216
901,404
902,136
903,-48
904,148
905,-48
906,140
907,148
908,80
909,100
910,140
911,24
912,176
913,224
914,228
915,16
916,104
917,48
918,60
919,-32
920,200
921,120
922,96
923,148
924,104
925,172
926,180
927,-32
928,140
929,132
930,-20
931,140
932,112
933,-16
934,180
935,180
936,148
937,76
938,220
939,264
940,216
941,136
942,208
943,-40
944,148
945,224
946,224
947,136
948,140
949,216
950,4
951,76
952,92
953,304
954,140
955,76
956,-12
957,96
958,212
959,176
960,52
961,8
962,100
963,116
964,192
965,140
966,92
967,216
968,148
969,164
970,112
971,124
972,232
973,116
974,36
975,208
976,96
977,-4
978,32
979,136
980,96
981,12
982,112
983,140
984,220
985,200
986,220
987,68
988,168
989,64
990,-28
991,148
992,104
993,24
994,200
995,88
996,164
997,104
998,60
999,116
1000,108
1001,156
1002,188
1003,16
1004,160
1005,240
1006,-8
1007,200
1008,56
1009,60
1010,52
1011,20
1012,76
1013,228
1014,12
1015,72
1016,24
1017,172
1018,196
1019,52
1020,220
1021,8
1022,48
1023,156
1024,28
1025,104
1026,44
1027,92
1028,0
1029,184
1030,156
1031,100
1032,-40
1033,148
1034,-80
1035,128
1036,92
1037,180
1038,176
1039,24
1040,184
1041,200
1042,220
1043,100
1044,-40
1045,64
1046,260
1047,188
1048,84
1049,140
1050,152
1051,32
1052,16
1053,188
1054,104
1055,112
1056,192
1057,44
1058,220
1059,92
1060,52
1061,16
1062,192
1063,132
1064,144
1065,148
1066,116
1067,140
1068,84
1069,180
1070,212
1071,196
1072,168
1073,0
1074,100
1075,-32
1076,204
1077,60
1078,88
1079,20
1080,-20
1081,-4
1082,64
1083,-56
1084,48
1085,92
1086,96
1087,-32
1088,276
1089,104
1090,108
1091,148
1092,96
1093,56
1094,164
1095,144
1096,112
1097,176
1098,220
1099,64
1100,44
1101,48
1102,92
1103,324
1104,60
1105,92
1106,132
1107,-20
1108,52
1109,92
1110,96
1111,76
1112,4
1113,92
1114,8
1115,176
1116,104
1117,180
1118,208
1119,104
1120,84
1121,60
1122,220
1123,48
1124,144
1125,256
1126,184
1127,104
1128,188
1129,164
1130,260
1131,148
1132,112
1133,188
1134,136
1135,236
1136,196
1137,132
1138,0
1139,28
1140,240
1141,136
1142,88
1143,116
1144,148
1145,92
1146,180
1147,164
1148,192
1149,-32
1150,144
1151,176
1152,52
1153,112
1154,172
1155,80
1156,-44
1157,116
1158,56
1159,216
1160,172
1161,100
1162,160
1163,40
1164,24
1165,140
1166,220
1167,176
1168,140
1169,16
1170,92
1171,20
1172,204
1173,4
1174,192
1175,-16
1176,88
1177,76
1178,96
1179,296
1180,172
1181,8
1182,124
1183,144
1184,128
1185,24
1186,176
1187,68
1188,160
1189,184
1190,96
1191,208
1192,76
1193,260
1194,76
1195,212
1196,204
1197,-20
1198,176
1199,-28
1200,176
1201,156
1202,-56
1203,88
1204,220
1205,224
1206,100
1207,140
1208,8
1209,184
1210,204
1211,140
1212,96
1213,244
1214,164
1215,92
1216,192
1217,184
1218,60
1219,160
1220,28
1221,92
1222,100
1223,160
1224,128
1225,180
1226,60
1227,156
1228,132
1229,12
1230,0
1231,56
1232,172
1233,300
1234,208
1235,0
1236,128
1237,0
1238,104
1239,32
1240,48
1241,144
1242,172
1243,60
1244,-20
1245,92
1246,40
1247,128
1248,84
1249,120
1250,144
1251,56
1252,28
1253,200
1254,80
1255,60
1256,-20
1257,188
1258,100
1259,144
1260,100
1261,128
1262,80
1263,36
1264,100
1265,188
1266,92
1267,60
1268,20
1269,16
1270,140
1271,168
1272,168
1273,96
1274,216
1275,68
1276,304
1277,148
1278,192
1279,84
1280,-36
1281,280
1282,20
1283,132
1284,304
1285,208
1286,96
1287,-20
1288,-76
1289,36
1290,4
1291,-24
1292,148
1293,220
1294,124
1295,20
1296,20
1297,132
1298,0
1299,368
1300,188
1301,92
1302,16
1303,44
1304,60
1305,92
1306,192
1307,64
1308,220
1309,184
1310,144
1311,32
1312,192
1313,60
1314,96
1315,44
1316,-12
1317,180
1318,172
1319,276
1320,88
1321,224
1322,168
1323,76
1324,136
1325,180
1326,52
1327,184
1328,140
1329,148
1330,60
1331,96
1332,224
1333,180
1334,132
1335,60
1336,224
1337,216
1338,140
1339,-36
1340,204
1341,176
1342,56
1343,48
1344,88
1345,132
1346,-12
1347,180
1348,-80
1349,88
1350,148
1351,144
1352,196
1353,12
1354,100
1355,136
1356,104
1357,108
1358,196
1359,168
1360,20
1361,120
1362,200
1363,104
1364,336
1365,224
1366,216
1367,208
1368,28
1369,120
1370,148
1371,220
1372,-8
1373,64
1374,76
1375,216
1376,4
1377,56
1378,180
1379,184
1380,8
1381,108
1382,200
1383,-24
1384,148
1385,60
1386,40
1387,16
1388,136
1389,212
1390,124
1391,16
1392,76
1393,140
1394,200
1395,80
1396,104
1397,68
1398,208
1399,92
1400,88
1401,176
1402,-40
1403,164
1404,104
1405,140
1406,60
1407,128
1408,84
1409,172
1410,172
1411,216
1412,124
1413,56
1414,140
1415,172
1416,12
1417,-20
1418,228
1419,68
1420,52
1421,188
1422,-28
1423,148
1424,-96
1425,116
1426,48
1427,152
1428,292
1429,88
1430,52
1431,160
1432,112
1433,40
1434,144
1435,84
1436,20
1437,132
1438,44
1439,116
1440,148
1441,100
1442,152
1443,24
1444,28
1445,20
1446,36
1447,204
1448,92
1449,172
1450,68
1451,264
1452,128
1453,-4
1454,136
1455,156
1456,-8
1457,188
1458,12
1459,68
1460,136
1461,124
1462,172
1463,252
1464,-64
1465,-8
1466,132
1467,124
1468,-20
1469,44
1470,-20
1471,160
1472,120
1473,192
1474,368
1475,-16
1476,28
1477,88
1478,224
1479,252
1480,204
1481,116
1482,148
1483,76
1484,280
1485,-36
1486,296
1487,204
1488,184
1489,224
1490,52
1491,96
1492,60
1493,108
1494,104
1495,180
1496,320
1497,4
1498,56
1499,180
1500,100
1501,180
1502,136
1503,148
1504,68
1505,-8
1506,36
1507,220
1508,8
1509,-32
1510,204
1511,212
1512,232
1513,-32
1514,96
1515,200
1516,132
1517,12
1518,216
1519,-36
1520,128
1521,188
1522,232
1523,164
1524,180
1525,148
1526,152
1527,104
1528,212
1529,176
1530,64
1531,100
1532,184
1533,48
1534,-28
1535,160
1536,184
1537,160
1538,64
1539,140
1540,188
1541,148
1542,156
1543,120
1544,52
1545,296
1546,408
1547,152
1548,164
1549,172
1550,196
1551,56
1552,160
1553,148
1554,228
1555,136
1556,164
1557,60
1558,156
1559,168
1560,-56
1561,-16
1562,60
1563,132
1564,56
1565,136
1566,212
1567,140
1568,124
1569,168
1570,228
1571,-24
1572,152
1573,264
1574,272
1575,76
1576,116
1577,96
1578,-56
1579,164
1580,20
1581,108
1582,224
1583,100
1584,148
1585,48
1586,176
1587,144
1588,212
1589,80
1590,64
1591,144
1592,156
1593,112
1594,120
1595,56
1596,12
1597,116
1598,196
1599,104
1600,140
1601,36
1602,140
1603,28
1604,124
1605,96
1606,184
1607,184
1608,96
1609,52
1610,136
1611,384
1612,-20
1613,84
1614,64
1615,12
1616,208
1617,208
1618,196
1619,196
1620,-4
1621,84
1622,152
1623,36
1624,104
1625,88
1626,136
1627,212
1628,236
1629,152
1630,192
1631,28
1632,116
1633,184
1634,124
1635,124
1636,216
1637,-20
1638,88
1639,216
1640,60
1641,212
1642,160
1643,136
1644,180
1645,148
1646,172
1647,220
1648,112
1649,40
1650,44
1651,172
1652,100
1653,64
1654,156
1655,212
1656,184
1657,188
1658,208
1659,96
1660,136
1661,136
1662,4
1663,68
1664,44
1665,272
1666,228
1667,-4
1668,40
1669,56
1670,176
1671,176
1672,128
1673,184
1674,52
1675,188
1676,-24
1677,68
1678,144
1679,204
1680,92
1681,48
1682,104
1683,144
1684,44
1685,4
1686,216
1687,-24
1688,4
1689,180
1690,148
1691,108
1692,212
1693,28
1694,180
1695,44
1696,44
1697,172
1698,124
1699,24
1700,152
1701,132
1702,136
1703,56
1704,24
1705,0
1706,68
1707,128
1708,180
1709,176
1710,124
1711,148
1712,60
1713,300
1714,116
1715,72
1716,156
1717,4
1718,148
1719,216
1720,4
1721,88
1722,40
1723,48
1724,160
1725,68
1726,144
1727,156
1728,176
1729,132
1730,144
1731,212
1732,144
1733,24
1734,188
1735,140
1736,48
1737,212
1738,0
1739,60
1740,-32
1741,64
1742,208
1743,224
1744,128
1745,128
1746,136
1747,172
1748,52
1749,184
1750,216
1751,160
1752,84
1753,208
1754,60
1755,208
1756,92
1757,124
1758,-20
1759,148
1760,112
1761,144
1762,44
1763,140
1764,148
1765,184
1766,180
1767,140
1768,76
1769,124
1770,60
1771,188
1772,60
1773,68
1774,-36
1775,116
1776,220
1777,56
1778,108
1779,128
1780,216
1781,104
1782,104
1783,36
1784,136
1785,-32
1786,192
1787,252
1788,16
1789,208
1790,64
1791,176
1792,8
1793,176
1794,72
1795,104
1796,56
1797,116
1798,140
1799,-8
1800,16
1801,12
1802,104
1803,208
1804,-32
1805,160
1806,0
1807,104
1808,172
1809,196
1810,92
1811,148
1812,164
1813,164
1814,188
1815,68
1816,132
1817,260
1818,200
1819,-8
1820,260
1821,152
1822,-60
1823,168
1824,88
1825,48
1826,224
1827,276
1828,108
1829,20
1830,16
1831,180
1832,80
1833,16
1834,204
1835,148
