Episodes,Reward
0,-20
200,-20
400,-20
600,-60
800,-80
1000,-60
1200,-40
1400,-20
1600,-20
1800,0
2000,40
2200,-60
2400,-100
2600,0
2800,20
3000,40
3200,-40
3400,-20
3600,0
3800,0
4000,-20
4200,-20
4400,20
4600,-40
4800,-40
5000,-40
5200,-20
5400,-20
5600,0
5800,-40
6000,-20
6200,40
6400,0
6600,40
6800,0
7000,-80
7200,-60
7400,-40
7600,40
7800,-20
8000,-20
8200,0
8400,-60
8600,-40
8800,-40
9000,0
9200,20
9400,-20
9600,20
9800,40
10000,-40
10200,20
10400,0
10600,0
10800,0
11000,-60
11200,92
11400,40
11600,20
11800,0
12000,20
12200,0
12400,20
12600,-40
12800,0
13000,-40
13200,40
13400,0
13600,40
13800,0
14000,20
14200,0
14400,-40
14600,-60
14800,-60
15000,-40
15200,20
15400,20
15600,40
15800,20
16000,0
16200,-20
16400,0
16600,-20
16800,40
17000,20
17200,-60
17400,20
17600,-40
17800,0
18000,0
18200,-60
18400,40
18600,-20
18800,20
19000,20
19200,-20
19400,20
19600,-60
19800,-20
20000,40
20200,-40
20400,-80
20600,0
20800,-60
21000,-60
21200,-40
21400,0
21600,20
21800,40
22000,-80
22200,-40
22400,-60
22600,20
22800,0
23000,20
23200,0
23400,40
23600,20
23800,-20
24000,0
24200,-60
24400,70
24600,20
24800,-40
25000,20
25200,-20
25400,20
25600,-20
25800,0
26000,20
26200,-80
26400,0
26600,20
26800,0
27000,-20
27200,0
27400,20
27600,40
27800,40
28000,-20
28200,20
28400,20
28600,-20
28800,20
29000,40
29200,20
29400,0
29600,-40
29800,0
30000,0
30200,40
30400,40
30600,0
30800,-60
31000,0
31200,20
31400,-20
31600,0
31800,-20
32000,-20
32200,-60
32400,0
32600,0
32800,76
33000,40
33200,0
33400,20
33600,20
33800,84
34000,-20
34200,20
34400,62
34600,66
34800,-40
35000,70
35200,0
35400,-60
35600,94
35800,20
36000,74
36200,40
36400,0
36600,40
36800,20
37000,40
37200,20
37400,110
37600,40
37800,20
38000,-40
38200,-20
38400,86
38600,20
38800,0
39000,0
39200,-20
39400,0
39600,-20
39800,40
40000,20
40200,90
40400,0
40600,0
40800,102
41000,72
41200,80
41400,40
41600,82
41800,20
42000,-20
42200,0
42400,-40
42600,0
42800,0
43000,40
43200,20
43400,108
43600,-20
43800,40
44000,-20
44200,-40
44400,0
44600,92
44800,40
45000,-40
45200,0
45400,40
45600,66
45800,62
46000,20
46200,76
46400,86
46600,108
46800,20
47000,40
47200,40
47400,20
47600,60
47800,92
48000,40
48200,60
48400,104
48600,90
48800,114
49000,20
49200,20
49400,20
49600,96
49800,126
