,score
0,-60
1,-20
2,-60
3,-80
4,-20
5,-20
6,-20
7,-60
8,0
9,-20
10,-40
11,-40
12,-20
13,-20
14,-40
15,-40
16,-40
17,-60
18,-40
19,-60
20,-80
21,-20
22,-60
23,0
24,-60
25,-60
26,-20
27,-40
28,-40
29,-40
30,-60
31,-40
32,-40
33,-60
34,0
35,-60
36,-60
37,-80
38,-20
39,-20
40,-40
41,-20
42,-20
43,-60
44,-60
45,-60
46,-40
47,-40
48,0
49,-20
50,-20
51,-20
52,-60
53,-40
54,-80
55,-40
56,-40
57,-40
58,-60
59,-60
60,-40
61,-60
62,-60
63,-20
64,0
65,0
66,-20
67,-40
68,-40
69,-40
70,-20
71,-20
72,-20
73,-40
74,44
75,-40
76,-20
77,-20
78,-80
79,-40
80,-40
81,-40
82,-40
83,-60
84,-80
85,-60
86,-20
87,-60
88,-40
89,-20
90,-80
91,-40
92,0
93,-40
94,-80
95,-20
96,-60
97,-60
98,-100
99,64
100,-20
101,-40
102,-40
103,-60
104,-60
105,-40
106,-20
107,-20
108,-80
109,-60
110,-60
111,-40
112,-20
113,0
114,-60
115,28
116,-80
117,0
118,-40
119,-60
120,-40
121,-100
122,0
123,-40
124,-60
125,-80
126,0
127,-60
128,-60
129,-40
130,0
131,-40
132,-60
133,-80
134,-60
135,-40
136,-40
137,-20
138,-60
139,-40
140,-40
141,-80
142,-60
143,-60
144,-60
145,-20
146,-20
147,-40
148,-60
149,-20
150,-40
151,-60
152,-40
153,0
154,-40
155,-40
156,0
157,-60
158,-40
159,-40
160,0
161,-40
162,-80
163,-20
164,-20
165,-20
166,-40
167,-20
168,-20
169,0
170,-20
171,-80
172,-60
173,30
174,-40
175,0
176,-60
177,-20
178,62
179,-20
180,-40
181,-20
182,-40
183,-60
184,0
185,-60
186,-20
187,-20
188,-40
189,-40
190,-20
191,0
192,-20
193,-40
194,-20
195,-40
196,-40
197,-20
198,-40
199,-20
200,-40
201,-40
202,48
203,-40
204,0
205,-80
206,-40
207,-80
208,-80
209,-40
210,-40
211,-20
212,-60
213,-20
214,-20
215,-40
216,-20
217,-20
218,-60
219,-60
220,-20
221,-60
222,-20
223,-20
224,-40
225,-60
226,-20
227,-40
228,0
229,-40
230,-40
231,-20
232,0
233,-40
234,-40
235,0
236,-40
237,-80
238,-20
239,-60
240,-40
241,-40
242,-40
243,-80
244,-40
245,0
246,-80
247,-40
248,28
249,-40
250,0
251,0
252,-40
253,-20
254,-60
255,-20
256,-20
257,-60
258,-20
259,-20
260,-40
261,-60
262,-20
263,-60
264,-60
265,0
266,-40
267,-40
268,-40
269,-60
270,-20
271,-40
272,-40
273,-40
274,-60
275,-20
276,-20
277,-40
278,-40
279,-20
280,-20
281,-40
282,-20
283,-80
284,-40
285,-60
286,-40
287,-60
288,-60
289,-60
290,-40
291,-80
292,-40
293,-40
294,0
295,0
296,-80
297,0
298,-40
299,-80
300,-60
301,-60
302,-40
303,0
304,-40
305,-20
306,-20
307,-80
308,-20
309,0
310,-40
311,0
312,-20
313,-60
314,0
315,-40
316,-40
317,-60
318,-20
319,0
320,-20
321,-40
322,-40
323,-80
324,-60
325,-80
326,-20
327,-20
328,-20
329,-60
330,-20
331,-80
332,0
333,-60
334,0
335,-20
336,-40
337,-20
338,-20
339,-40
340,-20
341,-40
342,-20
343,-20
344,-40
345,-40
346,-20
347,-60
348,-40
349,-20
350,44
351,-60
352,-60
353,-20
354,-40
355,-60
356,-20
357,0
358,-60
359,-20
360,-40
361,-60
362,-20
363,-80
364,-60
365,-100
366,-40
367,-20
368,0
369,-20
370,-60
371,-20
372,-40
373,-40
374,-60
375,-20
376,-20
377,-20
378,-60
379,-40
380,-40
381,-20
382,-80
383,0
384,-20
385,-60
386,-60
387,-20
388,-40
389,0
390,46
391,-20
392,-60
393,-60
394,-40
395,0
396,-60
397,-20
398,-60
399,-80
400,-20
401,-20
402,-60
403,0
404,-20
405,-60
406,-20
407,0
408,-80
409,-60
410,0
411,-40
412,-40
413,-40
414,-40
415,-20
416,-40
417,-40
418,-20
419,0
420,-20
421,-80
422,-80
423,-40
424,-40
425,-40
426,-40
427,-60
428,0
429,-40
430,-40
431,-60
432,-20
433,0
434,-60
435,-80
436,-40
437,-80
438,-20
439,-20
440,-40
441,-20
442,-40
443,-40
444,-40
445,-80
446,-40
447,-40
448,-40
449,-20
450,0
451,-60
452,-20
453,0
454,-60
455,-80
456,-20
457,0
458,-80
459,-20
460,-20
461,-40
462,-40
463,-40
464,28
465,-20
466,-40
467,-60
468,-20
469,-40
470,-40
471,-40
472,-60
473,-40
474,-40
475,-20
476,-60
477,-20
478,-40
479,-20
480,-20
481,-20
482,-40
483,-40
484,-20
485,-80
486,-40
487,-60
488,-40
489,0
490,-80
491,-20
492,0
493,-60
494,-20
495,0
496,0
497,-40
498,-20
499,-100
500,-60
501,26
502,-20
503,-20
504,-20
505,-60
506,-20
507,-60
508,-80
509,-40
510,-60
511,-20
512,-100
513,-60
514,-80
515,22
516,-20
517,0
518,-40
519,-40
520,-20
521,0
522,-40
523,-40
524,0
525,-60
526,0
527,-40
528,-20
529,-20
530,-20
531,-20
532,-40
533,-60
534,-40
535,-20
536,-60
537,-40
538,-40
539,0
540,-20
541,0
542,0
543,-20
544,-60
545,-60
546,-40
547,-60
548,-20
549,-60
550,-60
551,-60
552,-60
553,-60
554,-60
555,-20
556,-60
557,-40
558,-40
559,-40
560,-20
561,-40
562,0
563,0
564,-40
565,-40
566,-60
567,-80
568,-40
569,0
570,-20
571,-20
572,-40
573,-40
574,-60
575,0
