,score
0,-40
1,-120
2,-120
3,-160
4,-160
5,-160
6,-160
7,-120
8,-80
9,-40
10,-160
11,-160
12,-80
13,-160
14,-120
15,-120
16,-160
17,-160
18,-80
19,-80
20,-40
21,-80
22,-160
23,-120
24,-160
25,-120
26,-160
27,-200
28,-160
29,-80
30,-120
31,-200
32,-80
33,-120
34,-80
35,-80
36,-120
37,-160
38,-120
39,-120
40,-160
41,-120
42,-160
43,-80
44,-80
45,-120
46,-120
47,-80
48,0
49,-80
50,-120
51,-120
52,-120
53,-200
54,-80
55,-120
56,-120
57,-120
58,-120
59,-120
60,-160
61,-120
62,-200
63,-80
64,-80
65,-120
66,-120
67,-40
68,-120
69,-80
70,-80
71,-80
72,-80
73,-80
74,-80
75,-80
76,-120
77,-40
78,-80
79,-80
80,-160
81,-120
82,-120
83,-40
84,-40
85,-80
86,-120
87,-80
88,-160
89,-80
90,-80
91,-120
92,-120
93,-120
94,-120
95,-80
96,-40
97,-40
98,-40
99,-160
100,-120
101,-160
102,-120
103,-80
104,-40
105,-80
106,-120
107,-40
108,-80
109,-40
110,-80
111,0
112,-80
113,-40
114,-160
115,-160
116,-160
117,-160
118,-120
119,-40
120,-120
121,-120
122,-120
123,-80
124,-120
125,-160
126,-80
127,-40
128,-40
129,-80
130,-160
131,-120
132,-80
133,-200
134,-120
135,-200
136,-40
137,-80
138,-80
139,-40
140,-200
141,-160
142,-160
143,-120
144,-80
145,-120
146,-120
147,-80
148,-160
149,-160
150,-80
151,-200
152,-120
153,-80
154,-80
155,-40
156,-160
157,-160
158,-120
159,-120
160,-80
161,-80
162,-120
163,-40
164,-80
165,-80
166,-80
167,-160
168,-80
169,-160
170,-120
171,-160
172,-120
173,-160
174,-120
175,-200
176,-160
177,-160
178,-160
179,-120
180,-160
181,-80
182,-80
183,-160
184,-160
185,-120
186,-80
187,-120
188,-120
189,-80
190,-120
191,-160
192,-80
193,-160
194,-120
195,-120
196,-200
197,-80
198,-120
199,-120
200,-120
201,-80
202,-120
203,-80
204,-160
205,-120
206,-40
207,-80
208,-40
209,-120
210,-160
211,-40
212,-160
213,-80
214,-40
215,-40
216,-120
217,-80
218,-120
219,-160
220,-80
221,-120
222,-120
223,-120
224,-120
225,-80
226,-80
227,-200
228,-200
229,-40
230,-160
231,-200
232,-120
233,-80
234,-120
235,-120
236,0
237,-120
238,-120
239,-80
240,-120
241,-120
242,-160
243,-120
244,-40
245,-40
246,-80
247,-160
248,-120
249,-160
250,-120
251,-120
252,-80
253,-120
254,-160
255,-160
256,-40
257,-80
258,-80
259,-200
260,-80
261,-160
262,-80
263,-160
264,-120
265,-120
266,-80
267,-80
268,-80
269,-40
270,-80
271,-120
272,-160
273,-160
274,-120
275,-120
276,-120
277,-40
278,-80
279,-80
280,-40
281,-200
282,-120
283,-40
284,-80
285,-80
286,-40
287,-160
