Episodes,Reward
0,90
200,0
400,20
600,0
800,94
1000,82
1200,62
1400,0
1600,40
1800,-20
2000,70
2200,90
2400,-60
2600,-60
2800,0
3000,40
3200,72
3400,20
3600,20
3800,20
4000,20
4200,20
4400,126
4600,-20
4800,66
5000,98
5200,68
5400,70
5600,0
5800,80
6000,114
6200,124
6400,-60
6600,98
6800,86
7000,64
7200,0
7400,110
7600,100
7800,40
8000,40
8200,112
8400,20
8600,74
8800,80
9000,62
9200,118
9400,0
9600,-40
9800,102
10000,96
10200,90
10400,40
10600,40
10800,96
11000,100
11200,40
11400,114
11600,40
11800,96
12000,110
12200,78
12400,0
12600,72
12800,90
13000,108
13200,116
13400,-40
13600,86
13800,94
14000,100
14200,106
14400,66
14600,86
14800,40
15000,64
15200,40
15400,20
15600,68
15800,116
16000,94
16200,0
16400,114
16600,120
16800,118
17000,98
17200,116
17400,128
17600,118
17800,72
18000,94
18200,82
18400,40
18600,86
18800,88
19000,126
19200,86
19400,120
19600,130
19800,0
20000,98
20200,100
20400,90
20600,94
20800,112
21000,40
21200,-60
21400,90
21600,110
21800,114
22000,112
22200,110
22400,130
22600,112
22800,90
23000,132
23200,82
23400,104
23600,106
23800,90
24000,116
24200,40
24400,114
24600,126
24800,76
