,score
0,4
1,86
2,-60
3,-100
4,102
5,20
6,-60
7,48
8,74
9,-66
10,46
11,16
12,-56
13,74
14,102
15,-80
16,46
17,-12
18,-56
19,102
20,-100
21,94
22,110
23,78
24,34
25,-60
26,0
27,-80
28,122
29,114
30,42
31,-20
32,26
33,70
34,-100
35,-60
36,-80
37,-40
38,0
39,-80
40,10
41,-78
42,-8
43,0
44,72
45,36
46,-60
47,16
48,16
49,46
50,0
51,-60
52,-40
53,112
54,-60
55,84
56,-80
57,40
58,98
59,-100
60,30
61,-40
62,-20
63,104
64,-2
65,-14
66,94
67,42
68,0
69,100
70,46
71,0
72,76
73,-100
74,6
75,64
76,-28
77,58
78,-22
79,160
80,-52
81,60
82,-80
83,20
84,-40
85,-64
86,-100
87,104
88,-50
89,-40
90,74
91,-20
92,-100
93,-48
94,-18
95,82
96,20
97,20
98,108
99,-20
100,48
101,90
102,-100
103,-26
104,62
105,-4
106,-100
107,98
108,0
109,-48
110,-72
111,-28
112,-20
113,-40
114,64
115,92
116,90
117,-2
118,82
119,72
120,8
121,20
122,-100
123,68
124,-80
125,-4
126,-22
127,-40
128,62
129,-12
130,42
131,48
132,100
133,-80
134,46
135,-60
136,-56
137,28
138,76
139,-22
140,102
141,-34
142,120
143,28
144,-20
145,84
146,102
147,64
148,34
149,-6
150,-48
151,0
152,64
153,16
154,-30
155,-72
156,-32
157,86
158,88
159,40
160,26
161,44
162,10
163,88
164,54
165,48
166,-100
167,-70
168,20
169,-74
170,66
171,46
172,70
173,-20
174,92
175,-80
176,102
177,-100
178,-54
179,6
180,-80
181,28
182,-64
183,-80
184,96
185,78
186,94
187,-100
188,36
189,-20
190,-18
191,-18
192,-8
193,96
194,-40
195,-80
196,74
197,-24
198,50
199,110
200,48
201,26
202,62
203,50
204,-100
205,8
206,-86
207,-46
208,20
209,-16
210,-14
211,54
212,82
213,-36
214,-38
215,24
216,-66
217,24
218,116
219,-40
220,26
221,-34
222,-40
223,-62
224,54
225,80
226,72
227,-100
228,-22
229,4
230,92
231,-100
232,142
233,72
234,-42
235,-60
236,42
237,-54
238,46
239,-2
240,106
241,78
242,52
243,0
244,90
245,-20
246,0
247,34
248,70
249,72
250,108
251,-100
252,-100
253,112
254,132
255,134
256,10
257,46
258,94
259,-2
260,-48
261,-20
262,128
263,8
264,-12
265,94
266,82
267,54
268,-32
269,128
270,-32
271,40
272,50
273,-36
274,194
275,-56
276,122
277,70
278,62
279,98
280,32
281,-60
282,-28
283,-80
284,-60
285,48
286,0
287,-40
288,86
289,-40
290,56
291,-14
292,40
293,-22
294,72
295,38
296,34
297,-34
298,8
299,42
300,78
301,0
302,-40
303,58
304,6
305,42
306,-46
307,-20
308,-62
309,-6
310,56
311,-80
312,32
313,-4
314,-20
315,-20
316,-80
317,-8
318,-10
319,70
320,60
321,-10
322,100
323,88
324,20
325,-100
326,80
327,76
328,70
329,98
