,score
0,-18
1,-12
2,28
3,80
4,20
5,28
6,132
7,14
8,2
9,20
10,78
11,-20
12,-80
13,-52
14,-60
15,14
16,74
17,96
18,56
19,-98
20,-100
21,-30
22,62
23,102
24,54
25,-2
26,40
27,-20
28,18
29,-52
30,-8
31,38
32,-6
33,160
34,76
35,0
36,64
37,62
38,-20
39,46
40,104
41,-50
42,20
43,-56
44,66
45,-76
46,-70
47,14
48,124
49,-100
50,-100
51,38
52,-28
53,106
54,70
55,-40
56,0
57,134
58,72
59,112
60,-20
61,-40
62,56
63,46
64,68
65,80
66,-60
67,-80
68,-100
69,20
70,-20
71,50
72,-92
73,-6
74,136
75,-100
76,134
77,-10
78,-34
79,-40
80,92
81,-6
82,38
83,66
84,-80
85,102
86,134
87,50
88,54
89,76
90,136
91,-20
92,-80
93,-100
94,-100
95,-18
96,-14
97,78
98,-6
99,4
100,-32
101,-60
102,-4
103,44
104,74
105,66
106,-60
107,130
108,60
109,-60
110,90
111,-26
112,26
113,-60
114,2
115,-80
116,40
117,94
118,-100
119,86
120,58
121,42
122,-58
123,40
124,-100
125,-60
126,16
127,86
128,78
129,140
130,-6
131,32
132,82
133,-48
134,-100
135,84
136,-28
137,-100
138,-100
139,-70
140,78
141,30
142,100
143,-30
144,38
145,-60
146,32
147,56
148,-20
149,-40
150,98
151,44
152,120
153,-24
154,20
155,20
156,58
157,-22
158,64
159,84
160,-26
161,50
162,60
163,-100
164,104
165,120
166,-30
167,120
168,106
169,62
170,58
171,-46
172,2
173,-80
174,60
175,40
176,-100
177,18
178,2
179,-100
180,48
181,54
182,-80
183,24
184,80
185,48
186,-8
187,-60
188,12
189,44
190,-100
191,46
192,120
193,120
194,98
195,66
196,-40
197,10
198,120
199,-42
200,-56
201,48
202,2
203,-60
204,20
205,10
206,40
207,-80
208,112
209,-40
210,72
211,-18
212,-62
213,-12
214,20
215,116
216,0
217,114
218,-48
219,-44
220,-70
221,-80
222,-80
223,88
224,70
225,4
226,40
227,-62
228,-40
229,40
230,-80
231,100
232,0
233,94
234,-22
235,116
236,-60
237,-2
238,84
239,20
240,74
241,-20
242,-100
243,-34
244,26
245,-80
246,-42
247,56
248,98
249,120
250,-40
251,-4
252,-34
253,-60
254,-84
255,10
256,46
257,-40
258,38
259,24
260,-40
261,156
262,-2
263,-40
264,88
265,54
266,74
267,58
268,-20
269,-66
270,136
271,124
272,98
273,-60
274,-48
275,-20
276,32
277,-100
278,124
279,-40
280,-80
281,66
282,-28
283,84
284,-96
285,-60
286,118
287,-54
288,18
289,-80
290,-100
291,124
292,70
293,0
294,-80
295,-8
296,26
297,76
298,-60
299,90
300,-28
301,42
302,24
303,10
304,-58
305,-54
306,88
307,-100
308,-38
309,38
310,52
311,50
312,-34
313,12
314,-40
315,44
316,92
317,0
318,76
319,-32
320,-20
321,10
322,-16
323,36
324,114
325,-14
326,6
327,82
328,-22
329,92
330,26
331,-20
332,-62
333,-60
334,-24
335,-20
336,20
337,48
338,20
339,-6
340,-60
341,132
342,-30
343,24
344,-12
345,146
346,0
347,122
348,108
349,-72
350,-28
351,-40
352,-40
353,78
354,-40
355,10
356,-40
357,-72
358,8
359,100
360,-20
361,-80
362,-40
363,32
364,-100
365,-22
366,-8
367,-100
368,36
369,62
370,-100
371,22
372,64
373,10
374,92
375,104
376,-60
377,-78
378,94
379,-80
380,-18
381,-40
382,20
383,36
384,90
385,102
386,-8
387,-4
388,-60
389,126
390,-28
391,62
392,22
393,-20
394,40
395,50
396,130
397,-80
398,-60
399,54
400,126
401,66
402,-6
403,-12
404,38
405,58
406,90
407,-20
408,110
409,62
410,-80
411,-38
412,24
413,104
414,-80
415,-80
416,120
417,-20
418,38
419,66
420,-60
421,44
422,26
423,30
424,-48
425,-40
426,44
427,44
428,-100
429,92
430,-58
431,62
432,-46
433,-80
434,90
435,116
436,92
437,20
438,98
439,120
440,54
441,-34
442,-40
443,8
444,-22
445,66
446,40
447,40
448,-44
449,-2
450,86
451,-10
452,8
453,126
454,122
455,56
456,-20
457,-40
458,-76
459,-54
460,-100
461,84
462,-10
463,86
464,24
465,20
466,88
467,-20
468,60
469,72
470,94
471,-60
472,-22
473,30
474,118
475,34
476,66
477,114
478,-60
479,68
480,34
481,18
482,-70
483,76
484,-8
485,20
486,86
487,90
488,-6
489,-2
490,-40
491,62
492,72
493,18
494,128
495,-60
496,44
497,42
498,38
499,-10
500,-62
501,-28
502,-38
503,58
504,38
505,92
506,-20
507,-50
508,0
509,-40
510,-26
511,-20
512,-100
513,-80
514,118
515,76
516,-58
517,46
518,34
519,-80
520,-20
521,14
522,-16
523,98
524,50
525,76
526,-16
527,0
528,116
529,6
530,-8
531,34
532,72
533,56
534,-70
535,8
536,102
537,-10
538,70
539,-20
540,94
541,68
542,0
543,138
544,-80
545,-60
546,52
547,-80
548,40
549,-56
550,104
551,-74
552,42
553,28
554,-6
555,-66
556,72
557,-60
558,36
559,104
560,66
561,118
562,44
563,40
564,-100
565,-32
566,104
567,-100
568,80
569,-40
570,-100
571,134
572,102
573,-66
574,10
575,-2
576,-52
577,88
578,50
579,20
580,-14
581,-18
582,10
583,0
584,16
585,50
586,26
587,60
588,-38
589,82
590,100
591,114
592,-50
593,-20
594,20
595,-8
596,-28
597,-100
598,12
599,-60
600,34
601,66
602,-4
603,86
604,98
605,0
606,-38
607,10
608,-40
609,-60
610,0
611,58
612,-40
613,122
614,-20
615,-40
616,-36
617,-46
618,18
619,26
620,30
621,34
622,30
623,-20
624,-76
625,26
626,104
627,-16
628,64
629,-36
630,-20
631,16
632,-100
633,0
634,-10
635,0
636,22
637,0
638,100
639,-80
640,-10
641,-48
642,-60
643,40
644,-24
645,-20
646,118
647,-60
648,-60
649,122
650,12
651,114
652,34
653,20
654,-40
655,-80
656,-34
657,0
658,20
659,74
660,100
661,114
662,-60
663,0
664,134
665,52
666,98
667,122
668,108
669,110
670,8
671,48
672,30
673,-16
674,60
675,-18
676,4
677,-80
678,72
679,64
680,62
681,-40
682,44
683,10
684,20
685,124
686,116
687,66
688,-58
689,40
690,0
691,4
692,44
693,-60
694,-40
695,-12
696,40
697,-80
698,100
699,8
700,106
701,26
702,-38
703,86
704,0
705,46
706,-60
707,142
708,14
709,-80
710,20
711,6
712,26
713,72
714,-14
715,126
716,50
717,60
718,-6
719,-52
720,244
721,-80
722,126
723,-20
724,84
725,-40
726,20
727,86
728,96
729,126
730,2
731,44
732,38
733,-12
734,-20
735,-18
736,-28
737,-20
738,-20
739,0
740,54
741,-38
742,-20
743,10
744,42
745,-78
746,20
747,54
748,60
749,-100
750,-36
751,140
752,40
753,64
754,2
755,0
756,-2
757,-20
758,-26
759,-48
760,-100
761,-20
762,22
763,42
764,26
765,40
766,-80
767,98
768,6
769,6
770,-8
771,100
772,34
773,-100
774,54
775,72
776,50
777,-78
778,-40
779,98
780,-50
781,-60
782,40
783,-26
784,110
785,-30
786,-20
787,20
788,82
789,80
790,28
791,96
792,-4
793,54
794,-100
795,-80
796,-80
797,-80
798,24
799,2
800,112
801,-64
802,-20
803,38
804,12
805,40
806,54
807,-20
808,74
809,106
810,56
811,0
812,36
813,22
814,68
815,58
816,26
817,52
818,72
819,94
820,-22
821,40
822,4
823,86
824,102
825,-60
826,96
827,-18
828,-54
829,2
830,32
831,108
832,114
833,108
834,30
835,-60
836,52
837,-58
838,72
839,0
840,42
841,30
842,96
843,40
844,100
845,-80
846,96
847,-40
848,48
849,126
850,14
851,144
852,90
853,-28
854,-20
855,4
856,58
857,64
858,-100
859,-100
860,88
861,0
862,68
863,22
864,36
865,104
866,94
867,74
868,100
869,108
870,68
871,-80
872,-36
873,72
874,-40
875,24
876,0
877,68
878,10
879,-62
880,-48
881,26
882,0
883,4
884,36
885,142
886,12
887,72
888,-74
889,0
890,58
891,-60
892,40
893,140
894,-60
895,-8
896,36
897,122
898,38
899,-58
900,94
901,74
902,-40
903,0
904,20
905,40
906,-60
907,56
908,4
909,104
910,-34
911,8
912,88
913,102
914,124
915,22
916,78
917,-42
918,-100
919,-80
920,-40
921,30
922,-40
923,36
924,-60
925,14
926,14
927,-48
928,8
929,70
930,-4
931,0
932,18
933,96
934,98
935,64
936,16
937,-20
938,20
939,78
940,12
941,84
942,80
943,-16
944,32
945,52
946,-38
947,46
948,-20
949,126
950,60
951,78
952,-32
953,100
954,38
955,22
956,104
957,58
958,-60
959,20
960,20
961,0
962,90
963,-24
964,32
965,166
966,-42
967,40
968,62
969,84
970,48
971,24
972,-40
973,26
974,48
975,0
976,130
977,-26
978,-10
979,-20
980,44
981,-100
982,88
983,6
984,-32
985,-72
986,60
987,-60
988,78
989,58
990,56
991,-36
992,-20
993,118
994,10
995,134
996,124
997,42
998,88
999,-36
