,score
0,8
1,-60
2,-60
3,42
4,36
5,-40
6,16
7,114
8,10
9,40
10,98
11,-8
12,-100
13,68
14,106
15,58
16,-100
17,80
18,-100
19,-88
20,-20
21,-20
22,30
23,134
24,0
25,-56
26,-60
27,70
28,112
29,-20
30,68
31,-60
32,78
33,48
34,124
35,-20
36,-60
37,-100
38,24
39,-2
40,28
41,-100
42,-2
43,112
44,-40
45,22
46,50
47,-80
48,-20
49,90
50,50
51,-10
52,-12
53,132
54,-64
55,-80
56,-8
57,20
58,70
59,24
60,104
61,32
62,-14
63,-4
64,54
65,-14
66,-54
67,70
68,106
69,8
70,42
71,-78
72,56
73,104
74,-30
75,48
76,106
77,102
78,50
79,-42
80,-62
81,-68
82,-60
83,-20
84,52
85,-80
86,8
87,92
88,74
89,48
90,62
91,72
92,116
93,-38
94,-80
95,2
96,-4
97,130
98,108
99,48
100,74
101,-98
102,72
103,108
104,-98
105,-60
106,-100
107,48
108,102
109,-8
110,94
111,38
112,-40
113,-20
114,-54
115,-12
116,-20
117,-100
118,18
119,24
120,-86
121,26
122,16
123,82
124,40
125,-46
126,38
127,72
128,-100
129,-44
130,0
131,6
132,60
133,6
134,58
135,66
136,16
137,-40
138,-12
139,-40
140,104
141,18
142,96
143,-16
144,66
145,114
146,92
147,-50
148,-22
149,54
150,-100
151,88
152,-20
153,58
154,12
155,-40
156,24
157,12
158,-32
159,66
160,64
161,108
162,8
163,-80
164,0
165,52
166,52
167,84
168,56
169,66
170,44
171,-60
172,116
173,126
174,64
175,70
176,52
177,16
178,42
179,-20
180,-80
181,16
182,26
183,34
184,-46
185,42
186,22
187,-60
188,-14
189,16
190,-60
191,-6
192,-40
193,102
194,2
195,-100
196,70
197,50
198,20
199,-22
200,98
201,54
202,-60
203,60
204,-80
205,-100
206,32
207,86
208,-60
209,-40
210,48
211,80
212,114
213,80
214,-40
215,34
216,-40
217,54
218,4
219,-100
220,-40
221,-10
222,-2
223,-18
224,40
225,-24
226,-4
227,-42
228,28
229,-20
230,52
231,10
232,-80
233,128
234,-40
235,114
236,38
237,-60
238,78
239,36
240,-58
241,114
242,10
243,-58
244,0
245,-54
246,-100
247,-8
248,84
249,-20
250,108
251,42
252,-40
253,64
254,-16
255,114
256,12
257,-38
258,66
259,-42
260,52
261,160
262,-40
263,-40
264,88
265,50
266,-100
267,-26
268,68
269,-34
270,20
271,62
272,-24
273,126
274,-60
275,46
276,80
277,86
278,76
279,64
280,54
281,74
282,118
283,-14
284,-80
285,10
286,-100
287,74
288,82
289,16
290,84
291,70
292,64
293,-40
294,6
295,20
296,34
297,58
298,-12
299,50
300,-20
301,74
302,70
303,-100
304,-40
305,72
306,-20
307,-34
308,-14
309,46
310,-68
311,-80
312,-38
313,8
314,102
315,-68
316,90
317,128
318,-6
319,122
320,110
321,116
322,10
323,26
324,0
325,-2
326,-24
327,58
328,28
329,54
330,-80
331,122
332,52
333,-80
334,-56
335,0
336,-40
337,-100
338,46
339,-8
340,-72
341,0
342,-16
343,-64
344,20
345,-20
346,-68
347,84
348,86
349,-16
350,-44
351,48
352,100
353,20
354,116
355,-80
356,36
357,12
358,-40
359,88
360,14
361,20
362,-100
363,-6
364,84
365,60
366,40
367,-60
368,24
