,score
0,112
1,90
2,2
3,36
4,-44
5,-56
6,-48
7,-34
8,-68
9,-32
10,-6
11,-100
12,20
13,-22
14,-100
15,-30
16,-58
17,-60
18,-62
19,10
20,-12
21,-28
22,-92
23,52
24,4
25,-32
26,-22
27,-70
28,74
29,-52
30,-8
31,-18
32,-100
33,-22
34,-24
35,100
36,36
37,-50
38,-68
39,-40
40,68
41,-44
42,-32
43,-58
44,42
45,98
46,-42
47,-52
48,-66
49,26
50,-48
51,102
52,34
53,-56
54,478
55,-48
56,24
57,62
58,-30
59,-24
60,-40
61,-24
62,-26
63,134
64,18
65,-32
66,-20
67,-8
68,-56
69,-26
70,-72
71,-24
72,-58
73,-52
74,-100
75,-4
76,28
77,-80
78,-100
79,-94
80,128
81,-54
82,-44
83,-44
84,-40
85,-92
86,-22
87,-10
88,-100
89,0
90,-58
91,80
92,0
93,38
94,-14
95,32
96,64
97,28
98,6
99,-24
100,90
101,18
102,-100
103,-18
104,24
105,106
106,-36
107,-50
108,-38
109,2
110,-50
111,-32
112,6
113,-28
114,-72
115,56
116,-60
117,40
118,68
119,-14
120,-60
121,-80
122,-72
123,-24
124,20
125,22
126,-82
127,-20
128,-46
129,-100
130,20
131,62
132,28
133,-22
134,-18
135,-46
136,58
137,14
138,58
139,-14
140,2
141,-20
142,-80
143,-42
144,-2
145,-80
146,-28
147,-6
148,-66
149,12
150,48
151,68
152,-16
153,-24
154,-92
155,6
156,-20
157,-80
158,-22
159,0
160,-80
161,-38
162,-20
163,-24
164,-22
165,50
166,74
167,-30
168,136
169,98
170,-100
171,-46
172,-48
173,28
174,94
175,-66
176,-68
177,-80
178,-70
179,-48
180,-46
181,-26
182,96
183,-14
184,-84
185,-66
186,-40
187,-100
188,-8
189,22
190,12
191,22
192,-42
193,-30
194,-46
195,-22
196,-18
197,-56
198,-64
199,-66
200,0
201,78
202,2
203,-72
204,58
205,-10
206,-100
207,-12
208,-40
209,-100
210,-70
211,80
212,-60
213,-40
214,122
215,-100
216,-80
217,-20
218,-22
219,-24
220,104
221,44
222,-64
223,-68
224,-16
225,2
226,-38
227,-8
228,-100
229,-76
230,0
231,-2
232,12
233,-40
234,-10
235,-32
236,-48
237,-28
238,-60
239,-24
240,-2
241,-100
242,-12
243,-66
244,-2
245,-76
246,-14
247,-100
248,-22
249,-32
250,82
251,4
252,-74
253,18
254,54
255,-18
256,-34
257,-2
258,50
259,-44
260,10
261,-42
262,-22
263,-10
264,72
265,14
266,-100
267,-54
268,-88
269,80
270,-24
271,-42
272,-44
273,-64
274,-4
275,-14
276,-34
277,94
278,-12
279,260
280,-20
281,-20
282,-100
283,-100
284,-100
285,4
286,-62
287,-22
288,-80
289,-76
290,-50
291,140
292,12
293,-82
294,-32
295,-8
296,-42
297,-42
298,-74
299,34
300,16
301,12
302,8
303,-16
304,-100
305,-26
306,50
307,-80
308,2
309,94
310,38
311,-32
312,-18
313,-100
314,-62
315,20
316,-40
317,-26
318,-20
319,0
320,-68
321,-80
322,-80
323,-4
324,-46
325,-16
326,-20
327,-18
328,0
329,-26
330,-34
331,-62
332,4
333,-10
334,62
335,-32
336,-30
337,-8
338,-26
339,4
340,36
341,-2
342,-100
343,-22
344,-6
345,-20
346,-32
347,-100
348,-32
349,-74
350,100
351,-46
352,114
353,-26
354,-42
355,136
356,-10
357,-24
358,-60
359,-46
360,-100
361,-12
362,96
363,-80
364,-24
365,20
366,-24
367,4
368,-80
369,-12
370,98
371,8
372,-30
373,-80
374,74
375,-24
376,-38
377,102
378,-80
379,140
380,-52
381,-32
382,-64
383,-40
384,26
385,-54
386,-24
387,-72
388,-48
389,-40
390,4
391,-4
392,0
393,-72
394,-30
395,-54
396,-2
397,-10
398,98
399,40
400,-100
401,46
402,38
403,-100
404,90
405,-22
406,-28
407,-20
408,28
409,-32
410,-84
411,-2
412,-60
413,-100
414,42
415,-36
416,-78
417,-42
418,-10
419,-64
420,26
421,-60
422,-62
423,-18
424,-16
425,-30
426,-54
427,-70
428,118
429,106
430,-100
431,-88
432,-12
433,-12
434,52
435,22
436,-20
437,-6
438,-6
439,-10
440,-34
441,98
