,score
0,56
1,14
2,62
3,90
4,8
5,32
6,52
7,-56
8,88
9,40
10,-14
11,24
12,98
13,22
14,-10
15,-22
16,22
17,102
18,74
19,18
20,-60
21,76
22,-12
23,28
24,30
25,-18
26,-6
27,60
28,-12
29,68
30,26
31,66
32,66
33,44
34,-40
35,24
36,2
37,-8
38,74
39,22
40,20
41,58
42,-10
43,52
44,-18
45,8
46,44
47,-30
48,30
49,26
50,10
51,-6
52,10
53,66
54,-6
55,-62
56,-66
57,60
58,80
59,14
60,-26
61,18
62,0
63,18
64,-54
65,-54
66,102
67,-18
68,98
69,68
70,-16
71,30
72,6
73,72
74,42
75,-18
76,-26
77,-18
78,40
79,4
80,98
81,0
82,94
83,-44
84,-14
85,-12
86,72
87,6
88,-16
89,12
90,96
91,40
92,32
93,22
94,-12
95,94
96,-14
97,0
98,18
99,-20
100,-60
101,72
102,-34
103,4
104,-30
105,50
106,2
107,-36
108,-2
109,-56
110,70
111,-46
112,12
113,84
114,-6
115,14
116,-34
117,54
118,52
119,104
120,8
121,28
122,-26
123,104
124,-6
125,30
126,-64
127,50
128,18
129,-48
130,10
131,52
132,2
133,64
134,12
135,56
136,-8
137,50
138,82
139,8
140,-100
141,-44
142,108
143,96
144,44
145,108
146,120
147,36
148,68
149,50
150,52
151,-28
152,26
153,-56
154,-32
155,-2
156,-90
157,-40
158,-20
159,18
160,38
161,60
162,54
163,18
164,40
165,-6
166,-58
167,-18
168,-8
169,-20
170,86
171,12
172,26
173,54
174,138
175,28
176,-6
177,-32
178,34
179,0
180,62
181,-26
182,100
183,-2
184,50
185,84
186,30
187,66
188,14
189,-20
190,80
191,40
192,-80
193,14
194,98
195,92
196,74
197,58
198,22
199,32
200,56
201,28
202,6
203,-54
204,-22
205,48
206,-78
207,0
208,104
209,68
210,-32
211,-2
212,26
213,76
214,-6
215,102
216,118
217,24
218,26
219,-8
220,-6
221,54
222,80
223,-74
224,14
225,-16
226,90
227,70
228,74
229,62
230,0
231,-44
232,50
233,32
234,-6
235,8
236,80
237,46
238,54
239,94
240,-24
241,2
242,92
243,-48
244,-20
245,94
246,-20
247,78
248,102
249,-14
250,42
251,-40
252,8
253,78
254,40
255,94
256,40
257,-2
258,4
259,-36
260,-100
261,-8
262,-34
263,-18
264,40
265,-60
266,48
267,4
268,70
269,-18
270,88
271,60
272,140
273,44
274,6
275,72
276,28
277,14
278,76
279,38
280,70
281,82
282,-60
283,78
284,20
285,-80
286,2
287,-90
288,92
289,-26
290,54
291,-26
292,104
293,-38
294,90
295,-2
296,-60
297,94
298,56
299,66
300,-70
301,28
302,20
303,62
304,50
305,-20
306,22
307,32
308,76
309,-20
310,40
311,12
312,-46
313,-8
