,score
0,-40
1,-80
2,-100
3,140
4,-60
5,-60
6,20
7,-40
8,40
9,-20
10,20
11,0
12,-80
13,40
14,-80
15,-100
16,60
17,-60
18,-40
19,40
20,0
21,0
22,60
23,-100
24,-80
25,20
26,-40
27,-20
28,40
29,-80
30,60
31,-20
32,20
33,0
34,-40
35,0
36,-20
37,60
38,-100
39,-80
40,0
41,-100
42,192
43,-80
44,-60
45,0
46,40
47,-40
48,80
49,-20
50,-60
51,-80
52,40
53,40
54,-60
55,-60
56,0
57,184
58,-60
59,0
60,-100
61,-60
62,60
63,20
64,100
65,110
66,-40
67,-40
68,100
69,-100
70,-80
71,20
72,-40
73,-100
74,-40
75,-40
76,-100
77,40
78,-80
79,80
80,-60
81,-20
82,120
83,40
84,-20
85,8
86,-40
87,-80
88,60
89,60
90,-100
91,-40
92,-20
93,60
94,-40
95,-40
96,20
97,-100
98,-60
99,-80
100,-60
101,-20
102,-80
103,0
104,-40
105,0
106,80
107,-100
108,40
109,20
110,-40
111,-40
112,78
113,60
114,40
115,-100
116,140
117,-40
118,-100
119,-40
120,-100
121,-40
122,-80
123,40
124,-20
125,-80
126,-100
127,40
128,-80
129,60
130,40
131,-80
132,-100
133,104
134,-60
135,-40
136,-60
137,92
138,-20
139,-80
140,122
141,60
142,20
143,140
144,120
145,0
146,40
147,-80
148,86
149,-100
150,-60
151,100
152,-100
153,0
154,0
155,-60
156,-40
157,140
158,-100
159,120
160,120
161,20
162,-40
163,-80
164,140
165,80
166,0
167,40
168,40
169,-100
170,-80
171,80
172,20
173,80
174,-40
175,-100
176,0
177,-20
178,-60
179,-20
180,-40
181,-40
182,-100
183,0
184,0
185,-20
186,-40
187,120
188,0
189,-40
190,182
191,-20
192,-60
193,-100
194,-20
195,-20
196,-80
197,-60
198,40
199,-20
200,20
201,80
202,120
203,-40
204,132
205,20
206,140
207,-60
208,20
209,-20
210,-80
211,100
212,120
213,40
214,60
215,120
216,-100
217,-60
218,-40
219,80
220,-60
221,150
222,-60
223,-20
224,0
225,140
226,60
227,-40
228,20
229,-60
230,-40
231,-100
232,60
233,-60
234,-100
235,-40
236,60
237,-80
238,20
239,-100
240,-40
241,-80
242,-40
243,60
244,-20
245,-100
246,-80
247,20
248,120
249,-40
250,52
251,40
252,100
253,20
254,120
255,0
256,20
257,-80
258,-40
259,-80
260,100
261,60
262,-20
263,60
264,-100
265,100
266,20
267,-20
268,0
269,-100
270,20
271,80
272,0
273,160
274,-80
275,80
276,20
277,-40
278,-20
279,-60
280,-40
281,-80
282,160
283,-20
284,-100
285,78
286,-60
287,-20
