,score
0,129
1,93
2,114
3,60
4,132
5,99
6,42
7,135
8,219
9,153
10,54
11,-81
12,111
13,81
14,-96
15,159
16,153
17,54
18,84
19,-36
20,102
21,-54
22,30
23,-24
24,132
25,105
26,9
27,33
28,72
29,-63
30,150
31,96
32,84
33,12
34,-18
35,54
36,51
37,81
38,45
39,6
40,78
41,81
42,117
43,78
44,-24
45,36
46,30
47,-72
48,114
49,108
50,27
51,117
52,-36
53,9
54,87
55,66
56,54
57,174
58,-12
59,-15
60,33
61,51
62,165
63,63
64,102
65,-12
66,3
67,-3
68,-27
69,54
70,60
71,117
72,210
73,123
74,69
75,-36
76,168
77,153
78,12
79,180
80,9
81,57
82,0
83,72
84,-120
85,42
86,84
87,-33
88,30
89,0
90,78
91,-24
92,18
93,129
94,180
95,102
96,144
97,42
98,33
99,84
100,129
101,129
102,-15
103,135
104,111
105,30
106,120
107,105
108,-27
109,-78
110,-21
111,102
112,120
113,-12
114,78
115,72
116,18
117,12
118,138
119,-30
120,93
121,159
122,-24
123,69
124,51
125,30
126,99
127,-60
128,27
129,-93
130,-24
131,63
132,78
133,102
134,117
135,135
136,21
137,84
138,0
139,84
140,141
141,-24
142,138
143,30
144,60
145,93
146,120
147,165
148,147
149,159
150,-45
151,105
152,66
153,105
154,54
155,126
156,150
157,54
158,21
159,90
160,51
161,-114
162,90
163,75
164,30
165,-21
166,-3
167,111
168,21
169,111
170,63
171,117
172,153
173,-3
174,138
175,6
176,132
177,87
178,147
179,3
180,72
181,72
182,219
183,42
184,63
185,87
186,114
187,54
188,84
189,57
190,78
191,-3
192,51
193,69
194,132
195,90
196,204
197,6
198,159
199,48
200,105
201,33
202,33
203,42
204,75
205,219
206,72
207,33
208,-63
209,33
210,99
211,66
212,102
213,51
214,117
215,117
216,117
217,135
218,57
219,141
220,84
221,102
222,84
223,57
224,126
225,15
226,3
227,138
228,-9
229,63
230,132
231,6
232,15
233,15
234,-6
235,21
236,-42
237,141
238,72
239,69
240,72
241,75
242,93
243,48
244,81
245,69
246,192
247,168
248,114
249,-30
250,-15
251,84
252,18
253,45
254,-24
255,87
256,39
257,117
258,171
259,-30
260,102
261,114
262,-27
263,84
264,6
265,66
266,42
267,33
268,105
269,57
270,69
271,-21
272,51
273,123
274,-21
275,135
276,57
277,75
278,108
279,-36
280,162
281,24
282,6
283,75
284,126
285,-24
286,117
287,-30
288,141
289,93
290,147
291,-6
292,-18
293,72
294,78
295,63
296,21
297,141
298,3
299,39
300,6
301,159
302,54
303,36
304,6
305,126
306,75
307,-42
308,-18
309,60
310,141
311,141
312,0
313,27
314,81
315,117
316,102
317,51
318,168
319,87
320,66
321,33
322,21
323,-48
324,36
325,87
326,177
327,-18
328,99
329,126
330,105
331,156
332,126
333,48
334,99
335,0
336,30
337,267
338,69
339,3
340,63
341,129
342,36
343,21
344,-51
345,81
346,69
347,-27
348,48
349,123
350,111
351,153
352,-24
353,42
354,-36
355,66
356,60
357,-9
358,72
359,12
360,75
361,6
362,117
363,12
364,-30
365,45
366,72
367,6
368,21
369,93
370,93
371,117
372,147
373,-3
374,87
375,48
376,-45
377,12
378,36
379,111
380,81
381,45
382,108
383,96
384,-57
385,129
386,132
387,-15
388,-24
389,111
390,15
391,63
392,105
393,111
394,75
395,-36
396,42
397,99
398,102
399,-3
400,0
401,48
402,111
403,-54
404,105
405,33
406,162
407,150
408,51
409,39
410,150
411,-66
412,117
413,33
414,-18
415,66
416,-18
417,51
418,-21
419,72
420,93
421,144
422,171
423,87
424,69
425,132
426,48
427,111
428,102
429,60
430,-39
431,69
432,252
433,-6
434,63
435,189
436,129
437,75
438,12
439,51
440,96
441,-15
442,141
443,42
444,-30
445,54
446,39
447,6
448,132
449,-6
450,69
451,108
452,48
453,9
454,111
455,150
456,102
457,96
458,81
459,-39
460,96
461,-39
462,189
463,153
464,171
465,-3
466,27
467,66
468,9
469,117
470,6
471,126
472,153
473,96
474,45
475,-21
476,0
477,123
478,90
479,45
480,18
481,30
482,63
483,-39
484,24
485,66
486,27
487,90
488,135
489,117
490,33
491,-18
492,36
493,45
494,-51
495,180
496,6
497,120
498,-90
499,3
500,54
501,99
502,78
503,48
504,-42
505,192
506,153
507,90
508,-36
509,-15
510,141
511,15
512,132
513,-48
514,30
515,105
516,105
517,225
518,24
519,27
520,42
521,120
522,27
523,168
524,18
525,96
526,63
527,27
528,33
529,147
530,-6
531,54
532,99
533,39
534,63
535,162
536,12
537,84
538,42
539,27
540,129
541,36
542,-9
543,39
544,57
545,84
546,-45
547,69
548,57
549,18
550,114
551,39
552,69
553,27
554,15
555,12
556,87
557,42
558,90
559,66
560,-39
561,81
562,-12
563,63
564,30
565,93
566,45
567,183
568,-48
569,-18
570,81
571,99
572,6
573,72
574,57
575,84
576,57
577,159
578,150
579,126
580,66
581,42
582,-9
583,123
584,114
585,132
586,54
587,48
588,138
589,90
590,51
591,129
592,66
593,114
594,141
595,102
596,69
597,6
598,147
599,21
600,120
601,141
602,192
603,27
604,45
605,123
606,-6
607,24
608,66
609,132
610,147
611,-96
612,135
613,132
614,51
615,138
616,120
617,-33
618,153
619,99
620,135
621,111
622,45
623,45
624,36
625,129
626,159
627,-12
628,42
629,135
630,129
631,-117
632,21
633,165
634,99
635,39
636,78
637,-21
638,138
639,-36
640,120
641,36
642,129
643,132
644,144
645,-15
646,33
647,60
648,57
649,75
650,117
651,63
652,123
653,123
654,12
655,72
656,120
657,117
658,90
659,78
660,93
661,-30
662,132
663,135
664,45
665,57
666,75
667,141
668,6
669,15
670,138
671,162
672,30
673,84
674,87
675,216
676,24
677,-30
678,60
679,57
680,42
681,135
682,123
683,54
684,33
685,-12
686,3
687,84
688,75
689,57
690,120
691,15
692,0
693,-9
694,42
695,36
696,-60
697,42
698,-42
699,-24
700,105
701,114
702,93
703,66
704,78
705,9
706,21
707,-39
708,54
709,0
710,114
711,-33
712,93
713,96
714,-84
715,96
716,42
717,9
718,12
719,30
720,120
721,108
722,21
723,105
724,-42
725,15
726,18
727,15
728,108
729,-24
730,111
731,66
732,90
733,-12
734,108
735,-36
736,33
737,111
738,0
739,24
740,111
741,153
742,39
743,57
744,108
745,120
746,93
747,15
748,123
749,75
750,-90
751,57
752,168
753,0
754,159
755,-36
756,-3
757,93
758,-30
759,123
760,60
761,-30
762,177
763,102
764,153
765,87
766,105
767,3
768,21
769,135
770,87
771,138
772,96
773,48
774,72
775,30
776,24
777,120
778,93
779,111
780,6
781,30
782,81
783,126
784,69
785,93
786,48
787,144
788,51
789,117
790,-39
791,81
792,12
793,0
794,48
795,81
796,153
797,132
798,39
799,105
800,6
801,111
802,75
803,42
804,66
805,3
806,114
807,15
808,153
809,135
810,-33
811,15
812,60
813,12
814,48
815,147
816,51
817,135
818,213
819,72
820,-33
821,84
822,78
823,9
824,60
825,168
826,96
827,21
828,105
829,132
830,99
831,165
832,81
833,132
834,-45
835,111
836,15
837,15
838,33
839,-45
840,48
841,129
842,-36
843,174
844,48
845,159
846,45
847,108
848,0
849,126
850,99
851,75
852,-18
853,63
854,126
855,-39
856,33
857,135
858,6
859,156
860,129
861,6
862,93
863,3
864,3
865,-9
866,84
867,117
868,153
869,42
870,60
871,9
872,54
873,96
874,27
875,102
876,-24
877,45
878,141
879,12
880,90
881,168
882,24
883,69
884,-18
885,63
886,141
887,129
888,39
889,63
890,135
891,-33
892,21
893,99
894,153
895,153
896,24
897,6
898,87
899,84
900,120
901,-21
902,12
903,114
904,75
905,150
906,150
907,117
908,51
909,156
910,75
911,99
912,78
913,-120
914,141
915,135
916,-12
917,105
918,45
919,132
920,-48
921,129
922,117
923,78
924,72
925,174
926,153
927,237
928,141
929,0
930,66
931,-3
932,9
933,75
934,12
935,3
936,66
937,168
938,36
939,192
940,69
941,78
942,-39
943,75
944,168
945,84
946,6
947,-6
948,54
949,-36
950,6
951,-54
952,153
953,-9
954,0
955,138
956,78
957,9
958,126
959,45
960,-36
961,144
962,27
963,42
964,63
965,78
966,33
967,93
968,78
969,-15
970,153
971,105
972,186
973,51
974,72
975,-15
976,12
977,21
978,192
979,24
980,132
981,171
982,177
983,162
984,72
985,99
986,153
987,87
988,129
989,90
990,12
991,27
992,99
993,108
994,84
995,-39
996,24
997,147
998,132
999,0
1000,66
1001,150
1002,3
1003,-6
1004,30
1005,69
1006,45
1007,93
1008,108
1009,-30
1010,-6
1011,33
1012,168
1013,-42
1014,6
1015,33
1016,-57
1017,90
1018,12
1019,39
1020,9
1021,-21
1022,156
1023,54
1024,240
1025,147
1026,15
1027,-33
1028,102
1029,105
1030,-27
1031,78
1032,198
1033,15
1034,-21
1035,108
1036,273
1037,81
1038,-54
1039,153
1040,159
1041,-72
1042,12
1043,150
1044,33
1045,36
1046,75
1047,114
1048,54
1049,-84
1050,-24
1051,63
1052,114
1053,156
1054,75
1055,51
1056,141
1057,33
1058,36
1059,126
1060,3
1061,72
1062,-9
1063,-15
1064,174
1065,126
1066,-3
1067,-72
1068,72
1069,123
1070,75
1071,0
1072,159
1073,0
1074,72
1075,105
1076,72
1077,123
1078,135
1079,78
1080,138
1081,57
1082,81
1083,18
1084,33
1085,-18
1086,174
1087,87
1088,30
1089,48
1090,102
1091,78
1092,117
1093,261
1094,162
1095,12
1096,93
1097,9
1098,-27
1099,-9
1100,15
1101,129
1102,9
1103,-9
1104,87
1105,0
1106,105
1107,159
1108,24
1109,120
1110,111
1111,-51
1112,204
1113,60
1114,126
1115,123
1116,75
1117,3
1118,-30
1119,21
1120,147
1121,84
1122,27
1123,78
1124,150
1125,42
1126,-39
1127,-12
1128,162
1129,81
1130,-18
1131,114
1132,-9
1133,144
1134,45
1135,27
1136,156
1137,96
1138,138
1139,33
1140,51
1141,96
1142,132
1143,45
1144,3
1145,105
1146,-6
1147,108
1148,144
1149,99
1150,57
1151,108
1152,51
1153,33
1154,129
1155,78
1156,153
1157,-6
1158,33
1159,84
1160,108
1161,81
1162,-15
1163,12
1164,93
1165,72
1166,144
1167,144
1168,213
1169,126
1170,-21
1171,105
1172,81
1173,111
1174,120
1175,132
1176,171
1177,21
1178,105
1179,102
1180,147
1181,0
1182,147
1183,102
1184,144
1185,48
1186,90
1187,153
1188,36
1189,129
