,score
0,6
1,117
2,96
3,111
4,63
5,126
6,-33
7,123
8,111
9,-30
10,51
11,84
12,-3
13,33
14,-21
15,33
16,57
17,66
18,66
19,-6
20,57
21,180
22,45
23,-9
24,165
25,72
26,120
27,75
28,114
29,54
30,114
31,69
32,108
33,168
34,39
35,9
36,303
37,-42
38,-6
39,36
40,147
41,-9
42,66
43,72
44,93
45,168
46,12
47,-27
48,153
49,30
50,147
51,63
52,75
53,9
54,-3
55,15
56,177
57,153
58,-27
59,39
60,21
61,135
62,-57
63,0
64,33
65,-3
66,75
67,105
68,39
69,48
70,126
71,84
72,36
73,-9
74,75
75,24
76,-42
77,189
78,246
79,141
80,-51
81,33
82,21
83,-27
84,186
85,126
86,30
87,120
88,111
89,168
90,84
91,165
92,132
93,-21
94,132
95,66
96,36
97,120
98,48
99,30
100,129
101,129
102,111
103,75
104,69
105,-12
106,57
107,96
108,99
109,126
110,48
111,3
112,102
113,126
114,120
115,129
116,-6
117,105
118,9
119,51
120,93
121,147
122,99
123,87
124,150
125,-84
126,54
127,123
128,105
129,-96
130,129
131,141
132,114
133,99
134,-21
135,72
136,-12
137,-75
138,3
139,138
140,15
141,174
142,126
143,144
144,159
145,147
146,153
147,-6
148,-21
149,60
150,81
151,60
152,39
153,81
154,27
155,69
156,15
157,48
158,-75
159,-105
160,141
161,63
162,117
163,69
164,117
165,117
166,-9
167,-6
168,93
169,138
170,21
171,60
172,159
173,-18
174,-45
175,48
176,48
177,33
178,150
179,-66
180,45
181,504
182,108
183,33
184,63
185,-45
186,-12
187,78
188,42
189,18
190,120
191,0
192,45
193,9
194,126
195,75
196,150
197,36
198,36
199,138
200,93
201,84
202,120
203,153
204,114
205,45
206,18
207,3
208,57
209,-12
210,93
211,150
212,111
213,-51
214,33
215,3
216,-27
217,-24
218,117
219,156
220,129
221,51
222,27
223,66
224,15
225,48
226,93
227,0
228,126
229,30
230,-21
231,-24
232,36
233,165
234,-123
235,45
236,30
237,45
238,195
239,36
240,60
241,132
242,168
243,144
244,102
245,72
246,174
247,93
248,69
249,18
250,57
251,9
252,78
253,36
254,36
255,57
256,81
257,144
258,87
259,114
260,141
261,159
262,135
263,78
264,132
265,15
266,96
267,69
268,-81
269,168
270,-21
271,51
272,21
273,72
274,-24
275,15
276,39
277,75
278,159
279,96
280,138
281,15
282,-27
283,135
284,-3
285,-24
286,132
287,162
288,-69
289,72
290,9
291,60
292,135
293,117
294,144
295,30
296,99
297,39
298,69
299,87
300,-6
301,60
302,-66
303,48
304,36
305,111
306,18
307,129
308,72
309,75
310,162
311,36
312,3
313,66
314,165
315,75
316,42
317,159
318,12
319,27
320,114
321,84
322,24
323,48
324,3
325,-57
326,-87
327,0
328,21
329,132
330,99
331,90
332,174
333,60
334,15
335,-48
336,87
337,-57
338,66
339,129
340,102
341,21
342,21
343,12
344,-66
345,30
346,45
347,147
348,156
349,24
350,102
351,102
352,9
353,129
354,-117
355,54
356,87
357,126
358,81
359,144
360,90
361,39
362,168
363,114
364,198
365,81
366,207
367,-21
368,105
369,93
370,21
371,126
372,-21
373,30
374,60
375,36
376,96
377,63
378,93
379,66
380,141
381,69
382,-30
383,15
384,-69
385,-6
386,0
387,129
388,141
389,174
390,9
391,72
392,75
393,90
394,-27
395,141
396,-3
397,99
398,120
399,72
400,75
401,9
402,123
403,111
404,144
405,66
406,-9
407,105
408,66
409,135
410,120
411,120
412,150
413,75
414,-9
415,6
416,108
417,60
418,48
419,126
420,54
421,69
422,105
423,33
424,153
425,72
426,96
427,93
428,9
429,54
430,66
431,45
432,27
433,102
434,3
435,78
436,-66
437,-27
438,57
439,27
440,183
441,147
442,105
443,93
444,66
445,-45
446,150
447,159
448,57
449,168
450,-78
451,78
452,126
453,153
454,111
455,126
456,162
457,129
458,108
459,-54
460,111
461,-15
462,165
463,51
464,57
465,-15
466,84
467,162
468,0
469,210
470,-33
471,-6
472,33
473,57
474,15
475,156
476,-15
477,123
478,78
479,27
480,-9
481,-84
482,27
483,84
484,141
485,9
486,120
487,132
488,93
489,93
490,114
491,33
492,78
493,-87
494,-51
495,78
496,-3
497,12
498,114
499,162
500,69
501,81
502,120
503,66
504,45
505,93
506,126
507,12
508,42
509,-84
510,135
511,144
512,153
513,63
514,126
515,135
516,12
517,87
518,108
519,0
520,72
521,48
522,51
523,93
524,-3
525,249
526,48
527,90
528,-33
529,21
530,120
531,75
532,12
533,87
534,153
535,72
536,-24
537,120
538,-18
539,63
540,-33
541,-51
542,75
543,42
544,12
545,-15
546,105
547,-129
548,-27
549,39
550,6
551,129
552,162
553,111
554,12
555,312
556,108
557,-21
558,30
559,171
560,69
561,51
562,-21
563,18
564,-18
565,126
566,102
567,90
568,99
569,0
570,93
571,45
572,132
573,-12
574,129
575,12
576,15
577,-36
578,63
579,120
580,75
581,18
582,66
583,30
584,6
585,135
586,195
587,129
588,-18
589,33
590,-6
591,87
592,105
593,180
594,-36
595,45
596,96
597,81
598,-51
599,123
600,66
601,165
602,-60
603,45
604,75
605,-30
606,90
607,105
608,132
609,-24
610,135
611,129
612,30
613,-39
614,66
615,27
616,-3
617,-36
618,99
619,84
620,18
621,-3
622,96
623,72
624,57
625,150
626,93
627,-3
628,42
629,54
630,57
631,57
632,69
633,33
634,30
635,72
636,117
637,6
638,117
639,135
640,60
641,-60
642,18
643,144
644,135
645,186
646,168
647,102
648,33
649,51
650,81
651,105
652,6
653,0
654,66
655,114
656,165
657,114
658,57
659,-9
660,63
661,39
662,93
663,24
664,75
665,93
666,111
667,51
668,69
669,45
670,36
671,84
672,-24
673,-45
674,132
675,138
676,75
677,117
678,126
679,3
680,9
681,-39
682,42
683,99
684,105
685,78
686,27
687,45
688,75
689,135
690,-54
691,18
692,96
693,159
694,60
695,21
696,36
697,123
698,75
699,30
700,84
701,-48
702,126
703,27
704,-63
705,213
706,99
707,75
708,-39
709,30
710,30
711,60
712,123
713,123
714,-60
715,39
716,102
717,9
718,-45
719,99
720,135
721,69
722,27
723,27
724,153
725,96
726,162
727,66
728,6
729,12
730,87
731,168
732,81
733,93
734,144
735,141
736,12
737,-30
738,114
739,153
740,102
741,69
742,93
743,42
744,78
745,66
746,78
747,12
748,156
749,-9
750,180
751,90
752,9
753,117
754,105
755,-15
756,36
757,69
758,75
759,-3
760,-27
761,0
762,81
763,21
764,-33
765,84
766,156
767,165
768,114
769,150
770,126
771,168
772,-48
773,-36
774,9
775,9
776,27
777,3
778,-9
779,51
780,69
781,63
782,78
783,39
784,42
785,18
786,174
787,159
788,63
789,75
790,108
791,-12
792,-57
793,117
794,72
795,90
796,-42
797,24
798,6
799,81
800,99
801,3
802,60
803,114
804,87
805,141
806,39
807,141
808,57
809,60
810,210
811,36
812,129
813,48
814,-24
815,135
816,138
817,93
818,105
819,243
820,39
821,99
822,-3
823,120
824,12
825,24
826,144
827,30
828,87
829,-27
830,3
831,159
832,12
833,165
834,39
835,60
836,57
837,120
838,42
839,75
840,93
841,3
842,63
843,126
844,-6
845,153
846,-9
847,90
848,9
849,-72
850,27
851,165
852,93
853,78
854,144
855,-33
856,105
857,93
858,75
859,0
860,165
861,105
862,102
863,42
864,6
865,-42
866,96
867,105
868,69
869,99
870,-24
871,33
872,24
873,114
874,33
875,-15
876,162
877,9
878,15
879,3
880,99
881,-36
882,75
883,138
884,78
885,126
886,60
887,108
888,-75
889,135
890,99
891,36
892,69
893,117
894,66
895,63
896,159
897,78
898,-27
899,99
900,-18
901,132
902,-27
903,-27
904,105
905,90
906,120
907,57
908,0
909,-18
910,120
911,63
912,9
913,-9
914,93
915,54
916,150
917,-39
918,-3
919,63
920,-30
921,102
922,51
923,90
924,51
925,84
926,111
927,24
928,102
929,111
930,120
931,102
932,183
933,141
934,108
935,45
936,87
937,162
938,72
939,45
940,15
941,-3
942,147
943,9
944,12
945,129
946,24
947,-3
948,78
949,0
950,159
951,153
952,54
953,9
954,108
955,-18
956,111
957,75
958,-39
959,225
960,60
961,138
962,72
963,99
964,66
965,165
966,6
967,18
968,48
969,102
970,87
971,-27
972,-69
973,60
974,6
975,111
976,84
977,75
978,-12
979,132
980,54
981,-45
982,105
983,75
984,162
985,-18
986,243
987,63
988,93
989,12
990,129
991,159
992,114
993,90
994,108
995,96
996,-15
997,-24
998,81
999,-84
