Episodes,Reward
0,40
200,40
400,-20
600,20
800,-40
1000,0
1200,0
1400,40
1600,40
1800,40
2000,40
2200,40
2400,20
2600,20
2800,0
3000,40
3200,20
3400,-20
3600,20
3800,112
4000,94
4200,40
4400,-40
4600,-20
4800,-80
5000,74
5200,40
5400,40
5600,40
5800,-20
6000,40
6200,76
6400,72
6600,-20
6800,88
7000,20
7200,98
7400,40
7600,20
7800,-40
8000,94
8200,40
8400,20
8600,-20
8800,116
9000,90
9200,20
9400,40
9600,40
9800,20
10000,20
10200,104
10400,20
10600,90
10800,40
11000,106
11200,20
11400,40
11600,20
11800,0
12000,40
12200,40
12400,40
12600,20
12800,0
13000,40
13200,20
13400,40
13600,40
13800,0
14000,40
14200,20
14400,-20
14600,0
14800,40
15000,40
15200,40
15400,40
15600,40
15800,40
16000,40
16200,0
16400,-20
16600,20
16800,100
17000,0
17200,20
17400,0
17600,20
17800,60
18000,40
18200,82
18400,92
18600,106
18800,118
19000,40
19200,70
19400,40
19600,74
19800,98
