,score
0,160
1,686
2,-20
3,398
4,546
5,474
6,460
7,100
8,200
9,534
10,600
11,530
12,560
13,902
14,518
15,460
16,280
17,864
18,660
19,160
20,428
21,774
22,696
23,200
24,620
25,480
26,478
27,656
28,1092
29,-20
30,-20
31,546
32,596
33,964
34,434
35,100
36,628
37,422
38,430
39,426
40,1222
41,200
42,-100
43,260
44,670
45,950
46,40
47,280
48,402
49,600
50,600
51,618
52,280
53,680
54,340
55,180
56,432
57,480
58,908
59,492
60,786
61,160
62,936
63,380
64,576
65,40
66,-20
67,444
68,60
69,544
70,614
71,240
72,744
73,0
74,516
75,60
76,536
77,562
78,40
79,570
80,686
81,574
82,452
83,200
84,488
85,362
86,160
87,534
88,592
89,826
90,874
91,-20
92,530
93,660
94,120
95,40
96,578
97,40
98,508
99,396
100,542
101,578
102,536
103,-80
104,140
105,60
106,1046
107,660
108,520
109,732
110,260
111,780
112,648
113,60
114,494
115,954
116,448
117,460
118,532
119,442
120,100
121,676
122,750
123,542
124,240
125,-80
126,300
127,708
128,642
129,506
130,870
131,702
132,-40
133,602
134,340
135,404
136,398
137,0
138,528
139,400
140,802
141,80
142,660
143,650
144,530
145,824
146,0
147,864
148,614
149,798
150,400
151,594
152,120
153,426
154,390
155,660
156,842
157,606
158,770
159,640
160,804
161,260
162,220
163,786
164,556
165,740
166,798
167,482
168,280
169,442
170,462
171,906
172,380
173,738
174,360
175,1070
176,536
177,684
178,502
179,420
180,120
181,0
182,850
183,396
184,450
185,180
186,652
187,1084
188,-80
189,946
190,420
191,536
192,760
193,240
194,546
195,552
196,498
197,220
198,888
199,510
200,742
201,460
202,514
203,560
204,664
205,100
206,682
207,636
208,424
209,544
210,406
211,484
212,484
213,532
214,802
215,862
216,746
217,522
218,140
219,554
220,466
221,460
222,684
223,380
224,534
225,-60
226,340
227,626
228,260
229,260
230,120
231,966
232,340
233,634
234,400
235,620
236,220
237,480
238,482
239,456
240,384
241,400
242,-80
243,642
244,20
245,484
246,-40
247,906
248,728
249,828
250,454
251,160
252,884
253,492
254,444
255,300
256,514
257,466
258,80
259,384
260,634
261,240
262,612
263,970
264,612
265,542
266,906
267,782
268,280
269,700
270,340
271,618
272,774
273,688
274,790
275,404
276,432
277,634
278,348
279,402
280,-60
281,760
282,280
283,490
284,444
285,-20
286,548
287,60
288,0
289,640
290,340
291,678
292,490
293,500
294,742
295,592
296,514
297,220
298,418
299,1090
300,-60
301,934
302,420
303,546
304,498
305,782
306,730
307,830
308,524
309,480
310,378
311,606
312,562
313,922
314,446
315,426
316,404
317,660
318,840
319,494
320,658
321,746
322,0
323,530
324,452
325,568
326,906
327,542
328,840
329,-20
330,828
331,832
332,446
333,764
334,-80
335,434
336,618
337,824
338,674
339,220
340,596
341,752
342,470
343,300
344,462
345,320
346,562
347,-60
348,840
349,584
350,456
351,590
352,566
353,604
354,798
355,340
356,540
357,160
358,688
359,592
360,420
361,722
362,180
363,666
364,386
365,656
366,542
367,702
368,542
369,418
370,732
371,-20
372,420
373,430
374,676
375,428
376,568
377,592
378,472
379,972
380,606
381,432
382,444
383,562
384,734
385,776
386,860
387,946
