,score
0,180
1,568
2,560
3,772
4,160
5,450
6,240
7,648
8,180
9,726
10,300
11,160
12,0
13,40
14,80
15,60
16,812
17,666
18,714
19,300
20,220
21,400
22,944
23,542
24,766
25,660
26,-80
27,320
28,546
29,620
30,120
31,578
32,300
33,436
34,500
35,534
36,662
37,-60
38,40
39,702
40,140
41,476
42,660
43,260
44,-100
45,580
46,736
47,440
48,790
49,742
50,750
51,410
52,474
53,420
54,750
55,1018
56,466
57,1308
58,140
59,924
60,538
61,-20
62,702
63,-80
64,420
65,880
66,674
67,300
68,20
69,530
70,854
71,-80
72,240
73,442
74,-80
75,576
76,806
77,600
78,838
79,480
80,380
81,60
82,878
83,802
84,300
85,714
86,490
87,780
88,-20
89,446
90,1192
91,120
92,420
93,648
94,340
95,842
96,340
97,500
98,502
99,478
100,120
101,540
102,464
103,464
104,40
105,200
106,476
107,446
108,466
109,20
110,614
111,614
112,60
113,40
114,160
115,790
116,60
117,828
118,-60
119,60
120,962
121,504
122,844
123,836
124,430
125,400
126,340
127,720
128,690
129,680
130,430
131,396
132,868
133,420
134,540
135,40
136,656
137,260
138,280
139,280
140,522
141,-40
142,442
143,484
144,484
145,526
146,534
147,546
148,160
149,680
150,854
151,642
152,940
153,470
154,822
155,492
156,1206
157,516
158,414
159,896
160,340
161,464
162,438
163,520
164,80
165,300
166,936
167,582
168,100
169,936
170,552
171,842
172,566
173,798
174,460
175,420
176,1206
177,710
178,460
179,718
180,788
181,590
182,730
183,540
184,180
185,442
186,438
187,874
188,492
189,180
190,400
191,300
192,160
193,1112
194,470
195,420
196,846
197,534
198,1070
199,384
200,554
201,160
202,964
203,400
204,474
205,1238
206,260
207,80
208,668
209,496
210,550
211,160
212,496
213,1044
214,470
215,1198
216,-100
217,802
218,220
219,120
220,484
221,380
222,798
223,994
224,854
225,520
226,632
227,240
228,486
229,520
230,626
231,572
232,392
233,676
234,814
235,100
236,-40
237,460
238,620
239,624
240,482
241,892
242,542
243,702
244,260
245,622
246,488
247,488
248,574
249,320
250,836
251,546
252,354
253,524
254,474
255,712
256,462
257,100
258,752
259,532
260,420
261,944
262,500
263,180
264,490
265,998
266,80
267,824
268,280
269,0
270,510
271,220
272,432
273,418
274,598
275,1000
276,100
277,466
278,468
279,420
280,516
281,572
282,440
283,-100
284,864
285,160
286,814
287,648
288,802
289,300
290,752
291,100
292,340
293,1098
294,760
295,-100
296,1214
297,468
298,452
299,520
300,980
301,522
302,1076
303,1212
304,260
305,792
306,914
307,472
308,220
309,424
310,432
311,906
312,240
313,404
314,-20
315,340
316,1064
317,662
318,704
319,738
320,462
321,734
322,200
323,320
324,438
325,728
326,280
327,940
328,260
329,558
330,738
331,594
332,566
333,480
334,594
335,404
336,456
337,680
338,432
339,516
340,280
341,-40
342,498
343,220
344,220
345,552
346,490
347,160
348,472
349,1184
350,740
351,548
352,340
353,502
354,514
355,240
356,476
357,280
358,736
359,502
360,0
361,594
362,664
363,160
364,514
365,422
366,504
367,-40
368,834
369,488
370,480
371,300
372,522
373,560
374,618
375,496
376,-20
377,1086
378,360
379,482
380,428
381,-40
382,1062
383,200
384,446
385,388
386,830
387,466
388,340
389,642
390,714
391,320
392,60
393,506
394,502
395,1082
396,260
397,1032
398,806
399,424
400,758
401,758
402,1106
403,-40
404,450
405,380
406,460
407,160
408,762
409,560
410,240
411,592
412,576
413,826
414,546
415,530
416,798
417,674
418,680
419,502
420,560
421,464
422,536
423,1054
424,386
425,562
426,408
427,464
428,418
429,500
430,582
431,760
432,492
433,120
434,640
435,594
436,40
437,824
438,962
439,300
440,-20
441,840
442,444
443,40
444,180
445,780
446,388
447,484
448,100
449,1016
450,0
451,466
452,-60
453,694
454,820
455,520
456,998
457,400
458,952
459,60
460,450
461,440
462,502
463,650
464,746
465,914
466,880
467,-80
468,520
469,442
470,658
471,508
472,160
473,640
474,538
475,814
476,546
477,612
478,826
479,890
480,818
481,492
482,576
483,406
484,300
485,590
486,752
487,1074
488,728
489,562
490,490
491,594
492,434
493,-40
494,734
495,60
496,452
497,810
498,498
499,-100
500,60
501,746
502,952
503,942
504,240
505,0
506,450
507,492
508,592
509,650
510,482
511,0
512,510
513,618
514,440
515,490
516,846
517,856
518,454
519,462
520,606
521,948
522,-40
523,456
524,460
525,800
526,1058
527,40
528,240
529,480
530,-40
531,240
532,566
533,732
534,1078
535,712
536,478
537,-60
538,744
539,442
540,300
541,340
542,602
543,546
544,-20
545,670
546,480
547,280
548,622
549,554
550,518
551,700
552,260
553,460
554,732
555,400
556,424
557,550
558,140
559,40
560,482
561,140
562,752
563,536
564,724
565,380
566,280
567,616
568,582
569,460
570,410
571,80
572,500
573,796
574,140
575,1008
576,60
577,662
578,320
579,426
580,662
581,902
582,522
583,524
584,512
585,100
586,588
587,650
588,462
589,616
590,496
591,480
592,444
593,562
594,662
595,460
596,728
597,760
598,740
599,772
600,640
601,-20
602,682
603,160
604,480
605,610
606,680
607,460
608,432
609,660
610,518
611,446
612,904
613,956
614,160
615,586
616,1244
617,336
618,410
619,470
620,816
621,456
622,460
623,908
624,424
625,984
626,-20
627,532
628,576
629,640
630,570
631,776
632,468
633,498
634,358
635,926
636,532
637,662
638,592
639,604
640,632
641,180
642,742
643,424
644,416
645,502
646,220
647,382
648,408
649,682
650,610
651,828
652,464
653,608
654,464
655,240
656,452
657,564
658,620
659,160
660,762
661,482
662,-20
663,1180
664,240
665,320
666,512
667,970
668,594
669,532
670,404
671,220
672,340
673,920
674,822
675,100
676,526
677,694
678,678
679,480
680,260
681,458
682,512
683,20
684,772
685,478
686,652
687,440
688,340
689,434
690,816
691,180
692,340
693,446
694,240
695,488
696,390
697,100
698,280
699,610
700,366
701,626
702,944
703,1220
704,498
705,300
706,-20
707,464
708,874
709,940
710,412
711,534
712,642
713,582
714,260
715,926
716,518
717,820
718,280
719,380
720,640
721,688
722,518
723,1106
724,978
725,1384
726,544
727,220
728,512
729,550
730,506
731,534
732,636
733,524
734,460
735,520
736,540
737,466
738,582
739,660
740,956
741,240
742,440
743,852
744,790
745,486
746,180
747,642
748,444
749,488
750,540
751,1044
752,1244
753,688
754,340
755,530
756,430
757,918
758,728
759,712
760,384
761,340
762,476
763,566
764,392
765,836
766,750
767,220
768,718
769,1044
770,568
771,458
772,780
773,456
774,504
775,460
776,458
777,742
778,448
779,380
780,516
781,406
782,602
783,550
784,380
785,606
786,1108
787,504
788,484
789,340
790,300
791,602
792,760
793,492
794,588
795,932
796,886
797,716
798,722
799,550
800,382
801,546
802,458
803,436
804,420
805,458
806,558
807,424
808,736
809,646
810,180
811,458
812,506
813,408
814,280
815,526
816,478
817,140
818,1010
819,634
820,594
821,502
822,280
823,680
824,588
825,260
826,880
827,710
828,448
829,60
830,220
831,672
832,964
833,452
834,598
835,100
836,456
837,522
838,940
839,866
840,260
841,482
842,542
843,752
844,410
845,600
846,578
847,862
848,300
849,500
850,592
851,422
852,140
853,590
854,552
855,824
856,600
857,1086
858,410
859,614
860,554
861,486
862,522
863,320
864,468
865,558
866,400
867,550
868,360
869,378
870,-20
871,974
872,260
873,730
874,494
875,340
876,1084
877,180
878,552
879,750
880,446
881,240
882,434
883,468
884,900
885,562
886,560
887,496
888,462
889,538
890,392
891,604
892,426
893,528
894,548
895,100
896,524
897,510
898,460
899,500
900,644
901,726
902,486
903,434
904,552
905,432
906,954
907,524
908,508
909,640
910,380
911,472
912,842
913,954
914,736
915,340
916,200
917,320
918,504
919,722
920,726
921,844
922,710
923,782
924,674
925,0
926,484
927,448
928,660
929,532
930,580
931,460
932,388
933,400
934,810
935,622
936,508
937,60
938,562
939,604
940,452
941,838
942,906
943,434
944,960
945,160
946,992
947,604
948,392
949,504
950,488
951,480
952,618
953,100
954,400
955,478
956,470
957,834
958,804
959,450
960,856
961,478
962,442
963,582
964,734
965,710
966,432
967,458
968,528
969,434
970,568
971,836
972,470
973,1076
974,100
975,692
976,488
977,452
978,240
979,526
980,474
981,280
982,710
983,396
984,486
985,476
986,340
987,474
988,786
989,658
990,676
991,416
992,220
993,428
994,618
995,666
996,786
997,400
998,480
999,1084
