,score
0,360
1,792
2,60
3,60
4,760
5,540
6,540
7,-20
8,400
9,160
10,520
11,460
12,1168
13,954
14,1096
15,60
16,820
17,844
18,360
19,220
20,-100
21,746
22,100
23,840
24,360
25,1130
26,240
27,580
28,620
29,784
30,400
31,460
32,400
33,400
34,720
35,120
36,1566
37,702
38,180
39,-20
40,772
41,1270
42,140
43,1338
44,692
45,60
46,708
47,902
48,300
49,220
50,964
51,100
52,-100
53,714
54,0
55,1142
56,720
57,890
58,1202
59,140
60,-60
61,670
62,904
63,860
64,40
65,480
66,798
67,868
68,586
69,814
70,160
71,846
72,60
73,1088
74,892
75,1040
76,520
77,-80
78,540
79,1048
80,360
81,200
82,40
83,140
84,200
85,1164
86,-40
87,140
88,540
89,560
90,844
91,160
92,260
93,872
94,460
95,220
96,640
97,120
98,838
99,994
100,80
101,280
102,778
103,1042
104,680
105,1146
106,260
107,520
108,838
109,718
110,1482
111,1128
112,672
113,1124
114,520
115,1126
116,1590
117,320
118,820
119,962
120,1060
121,856
122,678
123,380
124,380
125,660
126,20
127,580
128,760
129,540
130,260
131,1730
132,772
133,752
134,340
135,832
136,896
137,1220
138,340
139,640
140,540
141,340
142,700
143,758
144,640
145,340
146,1508
147,40
148,-80
149,560
150,856
151,100
152,620
153,120
154,620
155,400
156,794
157,856
158,620
159,0
160,740
161,900
162,1568
163,1000
164,1202
165,360
166,1424
167,40
168,240
169,1060
170,540
171,850
172,180
173,340
174,770
175,60
176,320
177,910
178,100
179,-20
180,40
181,260
182,900
183,744
184,260
185,300
186,1452
187,900
188,-80
189,1098
190,904
191,1578
192,702
193,760
194,1446
195,830
196,868
197,-80
198,520
199,784
200,-20
201,140
202,700
203,774
204,300
205,380
206,100
207,420
208,740
209,400
210,1606
211,758
212,1260
213,974
214,40
215,580
216,1096
217,788
218,762
219,460
220,880
221,520
222,460
223,940
224,600
225,974
226,886
227,-80
228,800
229,1242
230,60
231,280
232,660
233,1188
234,260
235,-60
236,820
237,220
238,640
239,220
240,240
241,220
242,842
243,580
244,240
245,1260
246,-20
247,1044
248,-60
249,100
250,540
251,160
252,580
253,460
254,1400
255,120
256,920
257,120
258,634
259,220
260,984
261,540
262,730
263,668
264,-60
265,220
266,888
267,1240
268,-60
269,1408
270,978
271,180
272,400
273,180
274,1200
275,20
276,560
277,260
278,1488
279,480
280,460
281,20
282,180
283,420
284,420
285,1398
286,160
287,500
288,420
289,780
290,0
291,720
292,820
293,400
294,1020
295,792
296,400
297,340
298,1284
299,860
300,-60
301,100
302,1226
303,280
304,768
305,954
306,1448
307,996
308,786
309,794
310,850
311,220
312,380
313,668
314,60
315,726
316,838
317,180
318,760
319,80
320,660
321,640
322,480
323,360
324,-80
325,1092
326,220
327,340
328,840
329,0
330,1478
331,240
332,912
333,660
334,540
335,1918
336,-20
337,100
338,-60
339,1516
340,160
341,876
342,580
343,620
344,898
345,1034
346,1248
347,888
348,1410
349,320
350,620
351,1200
352,926
353,20
354,580
355,1272
356,0
357,500
358,1300
359,940
360,914
361,220
362,0
363,380
364,698
365,672
366,836
367,856
368,1062
369,340
370,1250
371,180
372,792
373,340
374,420
375,680
376,100
377,60
378,140
379,380
380,920
381,260
382,1000
383,718
384,120
385,868
386,900
387,300
388,1914
389,880
390,870
391,140
392,260
393,820
394,866
395,960
396,300
397,520
398,702
399,932
400,852
401,360
402,640
403,680
404,836
405,760
406,760
407,440
408,644
409,-60
410,712
411,60
412,480
413,830
414,760
415,1358
416,460
417,480
418,614
419,738
420,634
421,1360
422,822
423,220
424,40
425,460
426,800
427,620
428,160
429,700
430,766
431,620
432,520
433,700
434,660
435,760
436,400
437,840
438,520
439,710
440,280
441,570
442,460
443,-60
444,880
445,140
446,766
447,440
448,260
449,580
450,160
451,340
452,-20
453,660
454,360
455,940
456,140
457,80
458,400
459,140
460,834
461,1150
462,970
463,340
464,686
465,980
466,656
467,1086
468,400
469,460
470,900
471,956
472,1284
473,620
474,400
475,940
476,1092
477,842
478,1172
479,140
480,260
481,720
482,1342
483,1180
484,848
485,380
486,718
487,1306
488,400
489,40
490,690
491,-80
492,764
493,1256
494,160
495,400
496,584
497,60
498,-60
499,60
500,360
501,380
502,300
503,340
504,480
505,668
506,940
507,480
508,60
509,100
510,-40
511,420
512,280
513,540
514,1478
515,-20
516,180
517,340
518,1062
519,240
520,60
521,600
522,200
523,540
524,800
525,100
526,1030
527,340
528,300
529,180
530,220
531,1058
532,240
533,400
534,220
535,360
536,940
537,60
538,1100
539,420
540,610
541,40
542,260
543,540
544,260
545,140
546,1362
547,0
548,640
549,340
550,40
551,260
552,220
553,1162
554,660
555,520
556,40
557,1002
558,140
559,688
560,714
561,932
562,400
563,240
564,882
565,500
566,140
567,1292
568,340
569,220
570,280
571,800
572,664
573,824
574,1060
575,-40
576,580
577,620
578,220
579,600
580,240
581,580
582,1380
583,140
584,2904
585,400
586,964
587,80
588,140
589,120
590,600
591,946
592,940
593,420
594,940
595,320
596,754
597,160
598,580
599,220
600,1926
601,-20
602,540
603,1554
604,400
605,300
606,40
607,660
608,-60
609,120
610,420
611,560
612,-40
613,852
614,948
615,-20
616,120
617,-100
618,1142
619,772
620,-100
621,160
622,1442
623,60
624,460
625,-100
626,-80
627,716
628,60
629,1224
