,score
0,180
1,180
2,280
3,460
4,240
5,-20
6,1320
7,880
8,-60
9,-100
10,1320
11,-60
12,1260
13,140
14,1836
15,960
16,120
17,960
18,220
19,1756
20,60
21,1120
22,-80
23,-60
24,720
25,520
26,1620
27,1556
28,320
29,300
30,300
31,0
32,800
33,480
34,160
35,920
36,1440
37,2320
38,540
39,340
40,-20
41,540
42,960
43,1240
44,1180
45,420
46,1240
47,0
48,240
49,-60
50,580
51,1400
52,760
53,-20
54,0
55,240
56,200
57,220
58,-20
59,420
60,380
61,1420
62,-40
63,480
64,60
65,180
66,1580
67,1440
68,180
69,120
70,520
71,960
72,220
73,440
74,420
75,160
76,-80
77,-40
78,40
79,-80
80,-20
81,-80
82,2426
83,260
84,940
85,120
86,360
87,1200
88,1344
89,200
90,580
91,40
92,140
93,720
94,1426
95,80
96,-80
97,660
98,900
99,780
100,860
101,580
102,1362
103,-100
104,1300
105,140
106,100
107,140
108,240
109,-100
110,1620
111,480
112,40
113,300
114,1180
115,800
116,940
117,220
118,260
119,160
120,-40
121,120
122,1180
123,60
124,260
125,400
126,140
127,1360
128,540
129,1360
130,600
131,400
132,160
133,500
134,120
135,1900
136,940
137,0
138,280
139,300
140,620
141,140
142,1260
143,240
144,160
145,0
146,300
147,460
148,400
149,820
150,40
151,420
152,1260
153,200
154,280
155,100
156,1920
157,60
158,-20
159,180
160,780
161,260
162,900
163,880
164,820
165,540
166,300
167,540
168,280
169,1182
170,800
171,540
172,-80
173,120
174,100
175,760
176,700
177,60
178,40
179,260
180,400
181,880
182,340
183,940
184,800
185,-100
186,700
187,760
188,880
189,440
190,1280
191,540
192,340
193,40
194,760
195,700
196,40
197,340
198,400
199,140
200,620
201,340
202,380
203,400
204,2892
205,-100
206,440
207,900
208,1020
209,60
210,180
211,160
212,40
213,980
214,860
215,60
216,340
217,-60
218,860
219,580
220,1940
221,420
222,760
223,600
224,120
225,1660
226,220
227,780
228,120
229,-80
230,240
231,640
232,1740
233,20
234,1200
235,1416
236,140
237,0
238,220
239,720
240,160
241,-80
242,400
243,340
244,700
245,-20
246,560
247,200
248,640
249,1584
250,260
251,1020
252,160
253,100
254,280
255,320
256,320
257,740
258,40
259,1360
260,180
261,-20
262,1580
263,-80
264,900
265,-20
266,180
267,340
268,580
269,300
270,300
271,120
272,820
273,180
274,1120
275,20
276,20
277,460
278,700
279,460
280,260
281,400
282,380
283,-80
284,180
285,560
286,480
287,180
288,-80
289,40
290,280
291,260
292,260
293,400
294,1580
295,2380
296,1380
297,340
298,520
299,-20
300,-20
301,140
302,1204
303,120
304,1040
305,1040
306,1344
307,420
308,1000
309,-100
310,160
311,0
312,660
313,940
314,1620
315,780
316,160
317,220
318,-80
319,1020
320,40
321,-60
322,320
323,-20
324,400
325,1000
326,580
327,380
328,760
329,1000
330,140
331,1020
332,1100
333,100
334,280
335,320
336,120
337,3038
338,500
339,360
340,20
341,1140
342,140
343,180
344,660
345,520
346,2460
347,140
348,400
349,840
350,600
351,0
352,780
353,1960
354,2342
355,420
356,60
357,220
358,460
359,540
360,240
361,140
362,140
363,1240
364,440
365,1630
366,1020
367,460
368,1340
369,2060
370,1080
371,-80
372,320
373,100
374,2720
375,1780
376,1950
377,260
378,60
379,240
380,840
381,1060
382,1320
383,240
384,1580
385,1360
386,260
387,660
388,320
389,940
390,0
391,760
392,-100
393,1280
394,120
395,60
396,300
397,280
398,640
399,1720
400,560
401,400
402,-20
403,920
404,420
405,40
406,600
407,860
408,20
409,660
410,280
411,1680
412,180
413,-20
414,80
415,1812
416,-20
417,160
418,100
419,-40
420,1100
421,180
422,940
423,200
424,480
425,-80
426,360
427,780
428,980
429,1120
430,100
431,-100
432,420
433,-20
434,1160
435,760
436,1360
437,680
438,80
439,260
440,640
441,1720
442,1860
443,740
444,120
445,480
446,1440
447,820
448,220
449,940
450,720
451,-80
452,940
453,780
454,460
455,440
456,1080
457,140
458,400
459,60
460,280
461,-20
462,540
463,520
464,120
465,60
466,480
467,1680
468,60
469,360
470,760
471,700
472,1120
473,1360
474,120
475,1200
476,200
477,1318
478,540
479,-40
480,380
481,320
482,280
483,1800
484,720
485,280
486,300
487,60
488,260
489,580
490,-60
491,-20
492,2640
493,180
494,220
495,-60
496,540
497,-20
498,780
499,80
500,120
501,500
502,1140
503,920
504,220
505,460
506,1860
507,540
508,-80
509,80
510,-80
511,40
512,760
513,740
514,-80
515,280
516,380
517,2220
518,240
519,0
520,580
521,1240
522,1120
523,580
524,220
525,460
526,520
527,100
528,1480
529,-40
530,740
531,520
532,540
533,620
534,160
535,540
536,1660
537,1020
538,280
539,2622
540,940
541,160
542,760
543,380
544,940
545,1100
546,640
547,40
548,-20
549,1560
550,60
551,140
552,1240
553,-80
554,480
555,580
556,-80
557,1000
558,1020
559,1200
560,240
561,240
562,1840
563,560
564,80
565,1140
566,900
567,60
568,520
569,580
570,300
571,640
572,-60
573,520
574,760
575,780
576,260
577,320
578,240
579,120
580,1440
581,1060
582,660
583,1906
584,-60
585,600
586,-20
587,-80
588,-100
589,660
590,-20
591,680
592,240
593,840
594,280
595,620
596,80
597,-80
598,820
599,1280
600,-20
601,940
602,1180
603,320
604,-100
605,60
606,780
607,340
608,1440
609,540
610,1020
611,160
612,240
613,580
614,2360
615,300
616,-20
617,1840
618,100
619,200
620,40
621,400
622,820
623,1568
624,440
625,540
626,280
627,500
628,0
629,1408
630,-80
631,2524
632,0
633,620
634,2200
635,340
636,700
637,1420
638,40
639,-20
640,1712
641,440
642,620
643,80
644,500
645,-40
646,-80
647,1000
648,460
649,580
650,80
651,-20
652,2020
653,700
654,480
655,520
656,540
657,1900
658,580
659,680
