,score
0,160
1,334
2,276
3,572
4,224
5,40
6,480
7,320
8,246
9,364
10,318
11,242
12,242
13,518
14,340
15,582
16,284
17,508
18,252
19,-20
20,284
21,664
22,284
23,478
24,40
25,178
26,314
27,40
28,172
29,332
30,326
31,278
32,348
33,534
34,424
35,388
36,356
37,120
38,394
39,336
40,-80
41,268
42,320
43,518
44,-20
45,326
46,362
47,420
48,100
49,-100
50,518
51,500
52,402
53,352
54,466
55,228
56,40
57,682
58,364
59,310
60,482
61,40
62,298
63,220
64,328
65,390
66,-20
67,358
68,252
69,-80
70,484
71,468
72,-20
73,470
74,316
75,278
76,326
77,256
78,488
79,306
80,476
81,266
82,252
83,422
84,340
85,276
86,262
87,430
88,506
89,484
90,348
91,274
92,160
93,288
94,344
95,344
96,218
97,518
98,528
99,480
100,512
101,220
102,344
103,316
104,328
105,496
106,426
107,294
108,368
109,518
110,40
111,280
112,246
113,292
114,252
115,446
116,520
117,242
118,688
119,318
120,312
121,408
122,390
123,290
124,310
125,380
126,346
127,488
128,524
129,328
130,526
131,242
132,-80
133,466
134,302
135,382
136,180
137,538
138,232
139,418
140,280
141,382
142,380
143,372
144,510
145,194
146,490
147,294
148,280
149,316
150,498
151,224
152,368
153,464
154,280
155,416
156,486
157,646
158,246
159,290
160,242
161,268
162,354
163,414
164,320
165,264
166,442
167,366
168,260
169,436
170,246
171,422
172,356
173,348
174,578
175,378
176,180
177,354
178,280
179,160
180,390
181,302
182,408
183,348
184,290
185,354
186,562
187,496
188,234
189,246
190,588
191,280
192,258
193,574
194,172
195,470
196,374
197,484
198,-80
199,278
200,360
201,264
202,450
203,222
204,498
205,336
206,218
207,120
208,60
209,-60
210,418
211,266
212,284
213,354
214,274
215,410
216,240
217,600
218,602
219,250
220,272
221,312
222,708
223,360
224,544
225,492
226,474
227,242
228,302
229,354
230,392
231,472
232,354
233,260
234,412
235,514
236,248
237,100
238,250
239,324
240,382
241,500
242,346
243,486
244,226
245,256
246,350
247,542
248,494
249,300
250,414
251,536
252,346
253,468
254,296
255,246
256,40
257,380
258,280
259,390
260,486
261,432
262,326
263,262
264,182
265,418
266,308
267,490
268,334
269,262
270,410
271,514
272,590
273,266
274,334
275,436
276,540
277,264
278,256
