,score
0,564
1,441
2,210
3,453
4,510
5,324
6,354
7,690
8,717
9,342
10,501
11,630
12,579
13,381
14,-30
15,345
16,354
17,180
18,354
19,351
20,327
21,408
22,390
23,537
24,-150
25,423
26,189
27,333
28,480
29,429
30,426
31,570
32,357
33,759
34,213
35,489
36,459
37,330
38,534
39,321
40,324
41,432
42,1038
43,243
44,471
45,393
46,417
47,369
48,768
49,753
50,378
51,786
52,402
53,360
54,576
55,699
56,339
57,549
58,432
59,993
60,531
61,438
62,330
63,375
64,252
65,507
66,528
67,321
68,303
69,336
70,657
71,480
72,636
73,270
74,405
75,351
76,399
77,744
78,519
79,555
80,612
81,387
82,789
83,381
84,402
85,516
86,480
87,1125
88,360
89,513
90,381
91,609
92,342
93,408
94,120
95,888
96,237
97,882
98,-60
99,348
100,432
101,393
102,324
103,444
104,1236
105,630
106,411
107,441
108,510
109,1005
110,339
111,669
112,390
113,573
114,765
115,327
116,423
117,333
118,621
119,528
120,378
121,513
122,375
123,255
124,375
125,306
126,306
127,270
128,417
129,519
130,369
131,348
132,345
133,432
134,414
135,282
136,1017
137,531
138,471
139,756
140,528
141,483
142,513
143,570
144,390
145,270
146,315
147,564
148,1011
149,375
150,399
151,579
152,573
153,357
154,3180
155,417
156,492
157,522
158,405
159,300
160,624
161,291
162,723
163,426
164,405
165,492
166,342
167,351
168,243
169,795
170,369
171,258
172,573
173,384
174,426
175,444
176,297
177,441
178,465
179,612
180,495
181,429
182,519
183,495
184,567
185,207
186,591
187,447
188,738
189,333
190,306
191,357
192,660
193,309
194,351
195,369
196,246
197,489
198,348
199,378
200,540
201,408
202,576
203,294
204,354
205,396
206,456
207,483
208,474
209,414
210,528
211,345
212,567
213,564
214,474
215,300
216,414
217,411
218,516
219,489
220,561
221,744
222,357
223,471
224,342
225,423
226,516
227,819
228,507
229,294
230,573
231,354
232,438
233,729
234,426
235,267
236,432
237,393
238,630
239,378
240,486
241,375
242,744
243,759
244,348
245,507
246,522
247,711
248,261
249,417
250,774
251,333
252,810
253,372
254,315
255,423
256,390
257,402
258,426
259,426
260,450
261,645
262,468
263,714
264,273
265,516
266,567
267,468
268,507
269,534
270,702
271,279
272,555
273,513
274,1461
275,315
276,486
277,984
278,471
279,333
280,327
281,534
282,279
283,474
284,384
285,423
286,279
287,483
288,537
289,1038
290,717
291,492
292,546
293,570
294,348
295,453
296,357
297,588
298,360
299,333
300,549
301,585
302,696
303,441
304,687
305,621
306,582
307,273
308,483
309,363
310,372
311,357
312,360
313,525
314,873
315,0
316,522
317,405
318,405
319,426
320,396
321,576
322,606
323,243
324,480
325,591
326,366
327,1080
328,273
329,342
330,429
331,249
332,414
333,384
334,723
335,1617
336,888
337,336
338,339
339,378
340,519
341,345
342,363
343,339
344,432
345,306
346,531
347,318
348,342
349,1020
350,885
351,345
352,381
353,390
354,519
355,606
356,369
357,834
358,636
359,60
360,402
361,630
362,294
363,354
364,315
365,642
366,369
367,495
368,765
369,366
370,378
371,405
372,525
373,522
374,534
375,480
376,387
377,477
378,603
379,855
380,429
381,348
382,333
383,612
384,705
385,375
386,465
387,936
388,501
389,462
390,555
391,465
392,489
393,516
394,306
395,516
396,459
397,765
398,420
399,597
400,489
401,369
402,0
403,636
404,435
405,357
406,423
407,531
408,351
409,483
410,453
411,312
412,315
413,348
414,576
415,366
416,402
417,261
418,627
419,255
420,726
421,312
422,267
423,411
424,315
425,714
426,339
427,522
428,465
429,528
430,900
431,306
432,429
433,438
434,603
435,471
436,483
437,1053
438,285
439,708
440,381
441,285
442,549
443,513
444,558
445,306
446,393
447,807
448,708
449,471
450,531
451,285
452,630
453,378
454,414
455,321
456,597
457,423
458,558
459,540
460,342
461,426
462,411
463,516
464,561
465,507
466,507
467,627
468,378
469,348
470,537
471,441
472,459
473,483
474,486
475,810
476,351
477,741
478,942
479,522
480,456
481,399
482,1050
483,321
484,765
485,282
486,363
487,447
488,342
489,675
490,465
491,288
492,396
493,402
494,357
495,642
496,387
497,603
498,225
499,399
500,258
501,489
502,720
503,291
504,606
505,417
506,486
507,684
508,468
509,60
510,243
511,279
512,909
513,303
514,360
515,459
516,435
517,315
518,240
519,333
520,291
521,831
522,681
523,312
524,429
525,729
526,447
527,834
528,498
529,564
530,429
531,267
532,342
533,306
534,429
535,351
536,378
537,498
