,score
0,-60
1,-80
2,-20
3,-80
4,-20
5,-40
6,0
7,20
8,0
9,-80
10,-20
11,0
12,-100
13,-40
14,-60
15,-40
16,-40
17,-20
18,-20
19,-20
20,-80
21,-80
22,-20
23,0
24,0
25,-20
26,-40
27,-100
28,-60
29,-40
30,-40
31,0
32,-40
33,-40
34,-20
35,-60
36,40
37,-20
38,-20
39,-80
40,-20
41,-60
42,-40
43,-60
44,-60
45,-60
46,20
47,0
48,-60
49,-20
50,20
51,78
52,40
53,-60
54,-20
55,-60
56,-80
57,0
58,-20
59,-60
60,0
61,-40
62,-20
63,-60
64,0
65,0
66,-40
67,-60
68,20
69,-20
70,-20
71,-40
72,-20
73,-20
74,0
75,-20
76,-20
77,-20
78,-20
79,-20
80,-80
81,0
82,-40
83,-60
84,-20
85,-60
86,-80
87,-100
88,-20
89,-40
90,-20
91,-60
92,0
93,-20
94,-40
95,-60
96,0
97,-60
98,-60
99,40
100,-40
101,0
102,-40
103,-20
104,-40
105,0
106,-40
107,-20
108,-80
109,-40
110,-20
111,20
112,-40
113,0
114,-20
115,0
116,-60
117,-60
118,-60
119,40
120,-20
121,-40
122,-40
123,-40
124,-20
125,-60
126,-60
127,-60
128,-40
129,-20
130,-20
131,40
132,-40
133,-20
134,-60
135,0
136,-20
137,-80
138,0
139,-60
140,-40
141,-20
142,-20
143,0
144,-20
145,0
146,-20
147,-80
148,-60
149,0
150,0
151,0
152,-20
153,-20
154,-60
155,-40
156,-40
157,-80
158,-40
159,-40
160,-40
161,-20
162,-20
163,-60
164,-40
165,-20
166,0
167,-60
168,-20
169,-40
170,-100
171,0
172,-20
173,-40
174,-80
175,-40
176,0
177,-60
178,20
179,-20
180,-20
181,-40
182,-80
183,-60
184,-20
185,-20
186,-40
187,0
188,-40
189,-20
190,-40
191,-60
192,20
193,0
194,-60
195,-20
196,-60
197,20
198,20
199,-20
200,-40
201,-60
202,-60
203,0
204,-40
205,-20
206,-60
207,-20
208,20
209,0
210,-40
211,-60
212,-20
213,-80
214,-40
215,-20
216,0
217,0
218,0
219,-20
220,-60
221,0
222,-40
223,-60
224,-60
225,-60
226,-60
227,-60
228,0
229,-40
230,-40
231,-60
232,-20
233,-40
234,-60
235,-40
236,-60
237,0
238,-20
239,0
240,-20
241,-40
242,-60
243,-20
244,40
245,-60
246,0
247,-20
248,-40
249,0
250,-20
251,-40
252,-60
253,-40
254,0
255,-40
256,-20
257,-80
258,-20
259,-60
260,-40
261,-80
262,-80
263,-60
264,-80
265,-80
266,-20
267,-80
268,20
269,0
270,0
271,-40
272,-60
273,-40
274,-40
275,-60
276,-20
277,-40
278,0
279,-100
280,-60
281,-80
282,-40
283,-40
284,0
285,-20
286,-60
287,-20
288,-80
289,-40
290,-20
291,-40
292,-60
293,-20
294,-80
295,0
296,0
297,-20
298,0
299,-20
300,-40
301,20
302,-20
303,-40
304,-40
305,0
306,-60
307,40
308,-60
309,-20
310,0
311,-20
312,-40
313,-40
314,-100
315,0
316,-40
317,20
318,-20
319,-40
320,-40
321,-60
322,-20
323,0
324,-40
325,-80
326,-20
327,-80
328,-40
329,-40
330,-20
331,-60
332,-20
333,-20
334,-40
335,0
336,40
337,-40
338,20
339,-40
340,-40
341,-20
342,-20
343,-40
344,-20
345,-60
346,-40
347,-40
348,-80
349,0
350,-20
351,-60
352,-40
353,0
354,-80
355,-40
356,-20
357,-60
358,-40
359,-20
360,-20
361,-80
362,0
363,-40
364,-40
365,-60
366,20
367,20
368,0
369,-40
370,-20
371,0
372,-40
373,-60
374,0
375,-20
376,-20
377,-60
378,-20
379,-40
380,-40
381,-40
382,-40
383,-20
384,-40
385,-20
386,0
387,20
388,-40
389,-40
390,-40
391,-40
392,-40
393,-40
394,20
395,-40
396,-100
397,40
398,-20
399,-20
400,-20
401,-20
402,-20
403,-60
404,-80
405,-60
406,-60
407,0
408,0
409,-40
410,0
411,-20
412,20
413,0
414,-20
415,-60
416,-60
417,-20
418,-40
419,-40
420,0
421,-40
422,-80
423,0
424,-60
425,-20
426,-20
427,-80
428,-60
429,-80
430,20
431,-40
432,-40
433,-40
434,-60
435,-60
436,-40
437,-60
438,-80
439,-20
440,40
441,0
442,20
443,40
444,-60
445,-60
446,0
447,-20
448,-40
449,20
450,-20
451,-60
452,0
453,-60
454,0
455,-40
456,20
457,-80
458,20
459,-60
460,-20
461,20
462,-40
463,-40
464,-40
465,-80
466,-60
467,0
468,-60
469,-80
470,-20
471,-40
472,0
473,20
474,-60
475,-20
476,-20
477,-40
478,-40
479,-40
480,-20
481,-20
482,-40
483,-60
484,-60
485,-40
486,0
487,-40
488,-40
489,-60
490,-40
491,0
492,0
493,0
494,0
495,-20
496,-20
497,-60
498,-40
499,-60
500,-20
501,-40
502,-80
503,0
504,-40
505,40
506,-40
507,0
508,-60
509,-40
510,-40
511,0
512,-80
513,-80
514,-60
515,0
516,-40
517,-20
518,20
519,-40
520,0
521,-80
522,-80
523,0
524,-40
525,0
526,-40
527,-60
528,-40
529,-40
530,-40
531,0
532,0
533,20
534,0
535,-60
536,-40
537,-20
538,-60
539,-20
540,-60
541,-60
542,-80
543,40
544,-20
545,-60
546,-20
547,20
548,0
549,-20
550,-20
551,-60
552,-20
553,-20
554,-40
555,0
556,-20
557,-60
558,-40
559,-80
560,-40
561,-20
562,-80
563,-20
564,-20
565,-80
566,-20
567,40
568,-80
569,-40
570,-80
571,-100
572,-60
573,-60
574,-60
575,-40
576,-20
577,20
578,-100
579,-60
580,-40
581,-40
582,0
583,-20
584,-40
585,0
586,0
587,-80
588,0
589,-60
590,-60
591,-20
592,-20
593,-40
594,0
595,-40
596,-40
597,-40
598,-40
599,-20
600,-20
601,-80
602,-100
603,-80
604,40
605,-20
606,-40
607,-40
608,0
609,0
610,-40
611,-20
612,-80
613,-40
614,-40
615,40
616,-20
617,-40
618,-20
619,-20
620,-20
621,-100
622,-40
623,-20
624,-60
625,-40
626,-40
627,-40
628,0
629,-40
630,-20
631,-20
632,0
633,-60
634,0
635,0
636,-20
637,-80
638,-20
639,-80
640,-20
