,score
0,-20
1,-40
2,0
3,-60
4,0
5,-60
6,-20
7,-40
8,-40
9,-20
10,0
11,20
12,0
13,0
14,20
15,-80
16,-40
17,0
18,-60
19,-40
20,-20
21,0
22,-40
23,-40
24,-40
25,-40
26,-20
27,-60
28,40
29,-60
30,0
31,-20
32,-80
33,-60
34,-40
35,-60
36,-60
37,-40
38,60
39,-40
40,-60
41,0
42,-60
43,-80
44,-20
45,-80
46,20
47,-20
48,0
49,-40
50,-60
51,0
52,-20
53,-40
54,0
55,0
56,-20
57,-40
58,-100
59,0
60,-40
61,-40
62,20
63,-60
64,-40
65,-40
66,0
67,-20
68,-60
69,-60
70,-80
71,-20
72,-20
73,-40
74,-20
75,-60
76,-40
77,-60
78,-40
79,-40
80,20
81,-60
82,-80
83,20
84,40
85,-80
86,-80
87,-20
88,-60
89,-20
90,-20
91,-40
92,20
93,-80
94,-80
95,-20
96,-60
97,-60
98,-20
99,-80
100,-20
101,-20
102,-40
103,-40
104,-60
105,-40
106,-20
107,-60
108,-40
109,-20
110,-20
111,-40
112,-20
113,-40
114,-40
115,-60
116,-40
117,-20
118,-100
119,40
120,-40
121,-60
122,0
123,20
124,-60
125,-20
126,-60
127,-60
128,-80
129,0
130,-40
131,-20
132,0
133,-40
134,-60
135,-20
136,-40
137,-40
138,-40
139,-20
140,0
141,0
142,-20
143,-40
144,-60
145,-40
146,-20
147,-40
148,-40
149,-40
150,-40
151,-20
152,-20
153,0
154,0
155,-40
156,-80
157,-40
158,-40
159,-100
160,-20
161,-20
162,-40
163,-40
164,-20
165,-40
166,-40
167,-40
168,0
169,-60
170,-20
171,-60
172,-80
173,-40
174,-80
175,-60
176,0
177,-80
178,-40
179,-60
180,-40
181,-60
182,-40
183,-20
184,0
185,-60
186,-20
187,-20
188,-20
189,-60
190,-40
191,-40
192,-60
193,0
194,-40
195,-80
196,-20
197,-40
198,-40
199,0
200,-60
201,-20
202,-80
203,-40
204,-80
205,-40
206,-40
207,-20
208,20
209,-40
210,-80
211,-60
212,-40
213,0
214,-20
215,-20
216,-60
217,-20
218,-20
219,20
220,0
221,-40
222,-40
223,0
224,0
225,-60
226,-60
227,20
228,-60
229,-20
230,0
231,-60
232,-40
233,-40
234,-60
235,-20
236,-40
237,0
238,-100
239,-60
240,-40
241,-80
242,-40
243,-40
244,-20
245,-60
246,-60
247,-40
248,-20
249,-60
250,-20
251,-20
252,-40
253,-40
254,-40
255,-40
256,-20
257,-60
258,-40
259,-40
260,-20
261,0
262,0
263,-40
264,-20
265,60
266,-40
267,-20
268,-20
269,-60
270,-80
271,-20
272,0
273,-20
274,-80
275,0
276,-40
277,-60
278,-40
279,20
280,20
281,0
282,20
283,20
284,-40
285,-40
286,0
287,0
288,-40
289,0
290,-40
291,-20
292,-40
293,0
294,-20
295,-20
296,-20
297,-40
298,-20
299,0
300,0
301,-40
302,-40
303,-60
304,-20
305,-80
306,-60
307,-40
308,-20
309,0
310,-20
311,-20
312,-60
313,0
314,-80
315,-40
316,0
317,-60
318,0
319,-40
320,-20
321,-40
322,-20
323,-40
324,0
325,-80
326,-80
327,-20
328,0
329,0
330,20
331,-60
332,-20
333,20
334,20
335,-80
336,0
337,-20
338,-40
339,-60
340,-20
341,-60
342,-40
343,0
344,-40
345,0
346,-40
347,-60
348,-40
349,-20
350,-20
351,0
352,20
353,0
354,0
355,0
356,-20
357,-20
358,-40
359,-60
360,-80
361,-20
362,-20
363,20
364,-20
365,-60
366,0
367,40
368,-40
369,-40
370,-40
371,-40
372,-20
373,-60
374,20
375,-80
376,-60
377,20
378,-20
379,-20
380,-60
381,0
382,-40
383,-40
384,0
385,20
386,-80
387,60
388,-40
389,-20
390,-20
391,20
392,-60
393,-60
394,-40
395,-20
396,-20
397,-40
398,0
399,-40
400,-80
401,-80
402,20
403,-60
404,-60
405,-20
406,-60
407,-60
408,-60
409,-20
410,20
411,-20
412,-20
413,-20
414,-60
415,-40
416,-60
417,40
418,-20
419,0
420,-20
421,-20
422,-20
423,-40
424,-40
425,0
426,20
427,-60
428,-20
429,-80
430,-40
431,40
432,-60
433,-60
434,-20
435,0
