,score
0,-200
1,-120
2,-120
3,-120
4,-40
5,-160
6,-80
7,-120
8,-160
9,-160
10,-80
11,-120
12,-160
13,-80
14,-120
15,-40
16,-80
17,-80
18,-200
19,-120
20,-120
21,-120
22,-120
23,-160
24,-160
25,-80
26,-120
27,-120
28,-160
29,-160
30,-80
31,-120
32,-160
33,-200
34,0
35,-80
36,-120
37,-40
38,-80
39,-80
40,-120
41,-200
42,-160
43,-80
44,-120
45,-80
46,-40
47,-40
48,-160
49,-120
50,-120
51,0
52,-80
53,-80
54,-120
55,-120
56,-160
57,-120
58,-120
59,-80
60,-120
61,-120
62,-80
63,-120
64,0
65,-80
66,-120
67,-160
68,-80
69,-80
70,-160
71,-200
72,-160
73,-80
74,-80
75,-120
76,-160
77,-120
78,-120
79,-40
80,-80
81,-80
82,-40
83,-120
84,-40
85,-80
86,-120
87,-120
88,-160
89,-80
90,-200
91,-80
92,-40
93,-80
94,0
95,-200
96,-40
97,-40
98,-200
99,-40
100,-200
101,-200
102,-160
103,-160
104,-40
105,-80
106,-80
107,-120
108,-120
109,-40
110,-80
111,-120
112,-40
113,-120
114,-120
115,-120
116,-40
117,-80
118,-160
119,-80
120,-120
121,-40
122,-120
123,-80
124,-40
125,-120
126,-120
127,-120
128,-160
129,-120
130,-120
131,-40
132,-80
133,-40
134,0
135,-120
136,-120
137,-120
138,-160
139,-80
140,-120
141,-120
142,-120
143,-40
144,-120
145,-80
146,-200
147,-80
148,-200
149,-120
150,-40
151,-40
152,-80
153,-80
154,-120
155,-40
156,-120
157,-120
158,-120
159,0
160,-80
161,-120
162,-160
163,-160
164,-120
165,-120
166,-120
167,-80
168,-160
169,-160
170,-160
171,-120
172,-80
173,-120
174,-120
175,-80
176,-200
177,-120
178,-160
179,-120
180,-200
181,-80
182,-80
183,-80
184,-80
185,-120
186,-160
187,-80
188,-120
189,-160
190,-200
191,-200
192,-120
193,-120
194,-120
195,-160
196,-120
197,-80
198,0
199,-120
200,-160
201,-120
202,-40
203,-40
204,-40
205,-80
206,-160
207,-80
208,-160
209,-160
210,-80
211,-160
212,-80
213,-160
214,-120
215,-120
216,-160
217,-40
218,-40
219,-120
220,-120
221,-40
222,-160
223,-40
224,-160
225,-160
226,-120
227,-40
228,-120
229,-120
230,-120
231,-120
232,-80
233,-120
234,-80
235,-40
236,-80
237,-160
238,-160
239,-160
240,-120
241,-80
242,0
243,-80
244,-80
245,-120
246,-120
247,-80
248,-160
249,-120
250,-80
251,-80
252,-40
253,-120
254,-120
255,-120
256,-120
257,-120
258,-40
259,-200
260,-40
261,-80
262,-120
263,-160
264,-160
265,-40
266,-80
267,-40
268,-40
269,-160
270,-160
271,-120
272,-160
273,-80
274,-160
275,-120
276,-200
277,-40
278,-40
279,-80
280,-40
281,-80
282,-80
283,-80
284,-120
285,-40
286,-80
287,-160
288,-40
289,-80
290,-160
291,0
292,-120
293,-160
294,-120
295,-80
296,-80
297,-40
298,-120
299,-120
300,-160
301,-120
302,-120
303,-80
304,-80
305,-120
306,-80
307,-160
308,-200
309,-120
310,-40
311,-120
312,-160
313,-80
314,-200
315,-160
316,-120
317,-120
318,-120
319,-80
320,-120
321,-160
322,-160
323,-120
324,-80
325,-120
326,-160
327,-80
328,-160
329,-80
330,-80
331,-200
332,-120
333,-160
334,-160
335,-40
336,-40
337,-120
338,-80
339,-160
340,-40
341,-40
342,-80
343,-80
344,-160
345,-80
346,-160
347,-160
348,-120
349,-120
350,-80
351,-120
352,-160
353,-160
354,-160
355,-120
356,-120
357,-40
358,-40
359,-160
360,-80
361,-80
362,-120
363,-160
364,-80
365,-120
366,-80
367,-40
368,-80
369,-200
370,-80
371,-120
372,-80
373,-120
374,-120
375,-160
376,-120
377,-80
378,-120
379,-120
380,-160
381,-120
382,-120
383,-160
384,-40
385,-160
386,-200
387,-80
388,-160
389,-40
390,-80
391,-120
392,60
393,-160
394,-80
395,-120
396,-120
397,-80
398,-120
399,-80
400,-80
401,0
402,-120
403,-120
404,-160
405,-120
406,-120
407,-80
408,-120
409,-40
410,0
411,-160
412,-80
413,-200
414,-80
415,-120
416,-80
417,-160
418,-80
419,-80
420,-120
421,-40
422,-200
423,0
424,-160
425,-160
426,-80
427,-200
428,-160
429,-200
430,-80
431,-80
432,-120
433,-120
434,-80
435,-40
436,-80
437,-160
438,-160
439,-40
440,-120
441,-160
442,-120
443,0
444,-80
445,-120
446,-40
447,-120
448,-80
449,-160
450,-80
451,-160
452,-160
453,-160
454,-120
455,-120
456,156
457,-200
458,-200
459,-120
460,-160
461,-80
462,-120
463,-160
464,-40
465,-120
466,-120
467,-120
468,-120
469,-80
470,-80
471,-40
472,-40
473,-80
474,-80
475,-120
476,-200
477,-80
478,-120
479,-80
480,-80
481,-120
482,-120
483,-80
484,-80
485,-120
486,-80
487,-120
488,-120
489,-200
490,-80
491,-160
492,-120
493,0
494,-120
495,-80
496,-160
497,-120
498,-80
499,-160
500,-200
501,-120
502,-40
503,-120
504,-40
505,-80
506,-200
507,-160
508,-40
509,-160
510,0
511,-160
512,-160
513,-80
514,0
515,-80
516,-160
517,-40
518,-120
519,-80
520,-80
521,-200
522,-120
523,-40
524,-120
525,-160
526,-120
527,-80
528,-80
529,-120
530,-160
531,-80
532,-80
533,-40
534,-120
535,-160
536,-80
537,-40
538,-160
539,-40
540,-160
541,-120
542,-80
543,-160
544,-120
545,-160
546,-80
547,-160
548,-120
549,-120
550,-120
551,-80
552,-120
553,-80
554,-80
555,-80
556,-40
557,-200
558,-160
559,-40
560,-80
561,-120
562,-120
563,-120
564,-40
565,-120
566,-40
567,-80
568,-160
569,-120
570,-120
571,-40
572,-80
573,-160
574,-40
575,-160
576,-160
577,-80
578,-160
579,-200
580,-80
581,-160
582,-40
583,-120
584,-160
585,-80
586,-80
587,-40
588,-160
589,-160
590,-40
591,-120
592,-80
593,-40
594,-200
595,-80
596,-120
597,-120
598,-120
599,-120
600,-160
601,-80
602,-160
603,-120
604,-80
605,-120
606,-120
607,-120
608,-80
609,-160
610,-160
611,-160
612,-80
613,-160
614,-120
615,-160
616,-80
617,-80
618,-120
619,-160
620,-80
621,-160
622,-80
623,-80
624,-80
625,-120
626,-160
627,-80
628,-80
629,-120
630,-120
631,-80
632,-80
633,-80
634,-40
635,-80
636,-120
637,-120
638,-160
639,-120
640,-120
641,-160
642,-120
643,-120
644,-120
645,-120
646,-120
647,-120
648,0
649,-80
650,-160
651,-40
652,-120
653,-80
654,-160
655,-160
656,-40
657,-160
658,-120
659,-40
660,-120
661,-120
662,-160
663,-200
664,-80
665,-80
666,-160
667,-120
668,-120
669,-160
670,-120
671,-40
672,-120
673,-120
674,-160
675,-160
676,-80
677,-80
678,-160
679,-120
680,-120
681,-120
682,-160
683,-120
684,-160
685,-120
686,-120
687,-120
688,-80
689,-80
690,-120
691,-120
692,0
693,-160
694,-160
695,-40
696,-200
697,-120
698,-40
699,-160
700,-120
701,-160
702,-160
703,-80
704,-80
705,-80
706,-40
707,-40
708,-120
709,-40
710,-80
711,-200
712,-160
713,-120
714,-160
715,-120
716,-160
717,-120
718,-80
719,-160
720,-160
721,-200
722,-40
723,-120
724,-200
725,-200
726,-120
727,-160
728,-160
729,-80
730,-160
731,-160
732,-40
733,-120
734,-40
735,-120
736,-120
737,-80
738,-120
739,-120
740,-160
741,-40
742,-80
743,-120
744,-200
745,-160
746,-160
747,-120
748,-120
749,-80
750,-120
751,-120
752,-40
753,-40
754,-160
755,-160
756,-40
757,-80
758,-160
759,-40
760,-80
761,-160
762,-160
763,-80
764,-80
765,-160
766,-40
767,-40
768,-80
769,-80
770,-120
771,-80
772,-40
773,-80
774,-80
775,-200
776,-80
777,-200
778,-200
779,-80
780,-40
781,-80
782,-160
783,-160
784,-120
785,-40
786,-200
787,-160
788,-80
789,-120
790,-160
791,-120
792,-80
793,-160
794,0
795,-120
796,-80
797,-160
798,-160
799,-40
800,-120
801,-40
802,-80
803,0
804,-120
805,-80
806,-80
807,-120
808,-40
809,-80
810,-160
811,-80
812,-120
813,-160
814,-200
815,-80
816,-80
817,-120
818,-80
819,-200
820,-80
821,-80
822,-120
823,-120
824,-120
825,-40
826,-80
827,-80
828,-80
829,-80
830,-160
831,0
832,-80
833,-120
834,-160
835,-200
836,-120
837,-40
838,-120
839,-40
840,-80
841,-40
842,-200
843,-160
844,-120
845,-200
846,-40
847,-120
848,-120
849,-120
850,-40
851,-120
852,-160
853,-120
854,-120
855,-120
856,-120
857,-80
858,-80
859,-120
860,-120
861,-160
862,-120
863,-160
864,-80
865,-80
866,-80
867,-80
868,-80
869,-80
870,-120
871,-200
872,-120
873,-80
874,-120
875,-120
876,-120
877,-120
878,-80
879,-160
880,-120
881,-160
882,-120
883,-160
884,-80
885,-160
886,-80
887,-120
888,-40
889,-120
890,-80
891,-160
892,-80
893,-80
894,-80
895,-40
896,-120
897,-80
898,-40
899,-80
900,-120
901,-120
902,0
903,-120
904,-40
905,-40
906,-120
907,-120
908,-40
909,-160
910,-120
911,-80
912,-200
913,-160
914,-160
915,-80
916,-80
917,-80
918,-160
919,-40
920,-120
921,-40
922,-40
923,-80
924,-80
925,-160
926,-160
927,-120
928,-120
929,-160
930,-160
931,-40
932,-80
933,-120
934,-80
935,-200
