,score
0,70
1,20
2,60
3,104
4,0
5,126
6,-20
7,40
8,62
9,0
10,0
11,20
12,20
13,20
14,-40
15,-60
16,72
17,-40
18,70
19,82
20,-80
21,124
22,40
23,40
24,40
25,-60
26,116
27,130
28,0
29,-20
30,-20
31,78
32,0
33,-60
34,100
35,118
36,40
37,70
38,66
39,-20
40,128
41,40
42,40
43,128
44,106
45,60
46,20
47,88
48,104
49,40
50,118
51,40
52,0
53,-20
54,82
55,40
56,20
57,20
58,64
59,0
60,40
61,120
62,94
63,-60
64,112
65,102
66,-40
67,62
68,110
69,-40
70,20
71,68
72,68
73,20
74,-80
75,70
76,88
77,-40
78,128
79,128
80,-40
81,138
82,124
83,40
84,-40
85,82
86,-20
87,40
88,110
89,20
90,20
91,-60
92,0
93,40
94,84
95,66
96,40
97,40
98,78
99,66
100,0
101,86
102,88
103,0
104,70
105,116
106,-20
107,20
108,20
109,124
110,92
111,-20
112,102
113,-20
114,40
115,102
116,60
117,132
118,70
119,0
120,20
121,0
122,-20
123,-20
124,40
125,-100
126,0
127,40
128,190
129,82
130,86
131,-20
132,0
133,0
134,88
135,88
136,0
137,-80
138,78
139,114
140,116
141,78
142,68
143,20
144,40
145,20
146,98
147,96
148,-40
149,20
150,74
151,64
152,84
153,40
154,0
155,116
156,40
157,72
158,100
159,112
160,-100
161,-20
162,0
163,0
164,40
165,0
166,78
167,-100
168,20
169,78
170,20
171,40
172,60
173,-100
174,-100
175,92
176,116
177,102
178,74
179,98
180,20
181,20
182,76
183,0
184,90
185,98
186,102
187,104
188,86
189,68
190,68
191,-40
192,0
193,72
194,96
195,-80
196,0
197,104
198,114
199,102
200,0
201,100
202,20
203,-20
204,0
205,82
206,0
207,-60
208,-20
209,-20
210,20
211,0
212,40
213,-20
214,108
215,112
216,100
217,60
218,114
219,40
220,76
221,20
222,74
223,20
224,20
225,20
226,118
227,40
228,96
229,20
230,40
231,-40
232,0
233,102
234,60
235,40
236,64
237,-40
238,84
239,114
240,40
241,20
242,0
243,128
244,80
245,112
246,64
247,40
248,20
249,128
250,40
251,-60
252,-40
253,140
254,108
255,82
256,98
257,40
258,124
259,-40
260,98
261,-20
262,20
263,0
264,136
265,20
266,74
267,0
268,134
269,40
270,118
271,76
272,0
273,-20
274,136
275,106
276,106
277,-20
278,20
279,-40
280,106
281,124
282,-20
283,94
284,168
285,76
286,102
287,60
288,92
289,86
290,40
291,40
292,-20
293,40
294,80
295,20
296,134
297,0
298,70
299,126
300,114
301,94
302,40
303,20
304,20
305,92
306,0
307,-20
308,92
309,-20
310,-60
311,92
312,0
313,86
314,-60
315,20
316,92
317,40
318,94
319,64
320,104
321,40
322,124
323,104
324,98
325,-20
326,40
327,80
328,40
329,118
330,-20
331,72
332,78
333,122
334,0
335,-40
336,-20
337,20
338,40
339,138
340,40
341,0
342,120
343,-40
344,64
345,80
346,-60
347,80
348,136
349,0
350,70
351,40
352,96
353,40
354,76
355,0
356,84
357,20
358,-40
359,40
360,40
361,-20
362,20
363,110
364,128
365,40
366,40
367,94
368,74
369,70
370,144
371,80
372,70
373,72
374,110
375,40
376,-80
377,-40
378,126
379,90
380,40
381,40
382,-20
383,40
384,40
385,40
386,0
387,122
388,98
389,66
390,90
391,-60
392,98
393,130
394,-40
395,-20
396,64
397,114
398,112
399,0
400,92
401,-80
402,40
403,40
404,20
405,-40
406,64
407,20
408,88
409,40
410,-80
411,40
412,92
413,40
414,86
415,114
416,-40
417,68
418,-20
419,112
420,0
421,-40
422,62
423,20
424,104
425,20
426,82
427,80
428,92
429,106
430,96
431,134
432,70
433,134
434,126
435,88
436,-20
437,78
438,138
439,80
440,62
441,40
442,126
443,74
444,122
445,74
446,-20
447,82
448,0
449,96
450,0
451,104
452,40
453,128
454,66
455,86
456,40
457,80
458,0
459,0
460,40
461,92
462,94
463,76
464,40
465,124
466,68
467,-40
468,20
469,96
470,20
471,114
472,84
473,40
474,20
475,106
476,20
477,-40
478,40
479,20
480,-20
481,92
482,106
483,20
484,106
485,84
486,70
487,80
488,40
489,116
490,110
491,98
492,64
493,110
494,0
495,64
496,0
497,130
498,120
499,40
500,116
501,0
502,20
503,40
504,78
505,-20
506,118
507,130
508,112
509,100
510,60
511,40
512,88
513,-20
514,92
515,0
516,102
517,136
518,40
519,40
520,-40
521,40
522,104
523,0
524,-20
525,0
526,132
527,40
528,60
529,116
530,20
531,40
532,132
533,40
534,-80
535,96
536,134
537,20
538,108
539,110
540,-20
541,74
542,132
543,20
544,104
545,192
546,108
547,124
548,216
549,112
550,40
551,40
552,138
553,90
554,76
555,90
556,132
557,40
558,0
559,40
560,64
561,40
562,114
563,108
564,140
565,92
566,104
567,76
568,128
569,-20
570,78
571,40
572,102
573,40
574,0
575,106
576,118
577,110
578,40
579,220
580,40
581,76
582,132
583,86
584,78
585,60
586,130
587,120
588,98
589,0
590,40
591,110
592,126
593,118
594,122
595,82
596,106
597,104
598,216
599,100
600,100
601,40
602,20
603,62
604,0
605,140
606,40
607,84
608,0
609,74
610,126
611,98
612,40
613,128
614,76
615,40
616,40
617,20
618,80
619,40
620,100
621,110
622,74
623,96
624,140
625,0
626,94
627,40
628,86
629,0
630,0
631,216
632,20
633,40
634,76
635,40
636,84
637,90
638,88
639,130
640,72
641,130
642,152
643,76
644,0
645,110
646,114
647,104
648,118
649,76
650,20
651,20
652,120
653,40
654,118
655,86
656,40
657,130
658,40
659,40
660,116
661,130
662,114
663,-80
664,20
665,40
666,88
667,40
668,76
669,78
670,126
671,124
672,146
673,40
674,72
675,40
676,92
677,124
678,90
679,84
680,40
681,100
682,130
683,104
684,98
685,128
686,114
687,124
688,40
689,90
690,40
691,110
