,score
0,40
1,-60
2,0
3,0
4,90
5,-100
6,84
7,40
8,40
9,40
10,20
11,60
12,96
13,-60
14,40
15,96
16,-60
17,102
18,62
19,40
20,110
21,96
22,114
23,126
24,-20
25,72
26,40
27,122
28,-40
29,106
30,96
31,-100
32,76
33,40
34,70
35,-20
36,40
37,82
38,124
39,82
40,20
41,110
42,20
43,82
44,-20
45,-40
46,90
47,40
48,72
49,-80
50,20
51,-20
52,74
53,114
54,20
55,-20
56,40
57,-60
58,108
59,-40
60,106
61,40
62,-40
63,0
64,0
65,112
66,88
67,-40
68,118
69,20
70,104
71,72
72,0
73,-80
74,-20
75,20
76,268
77,-20
78,-20
79,92
80,120
81,40
82,-40
83,64
84,0
85,-60
86,106
87,80
88,-80
89,72
90,100
91,-60
92,-80
93,128
94,108
95,20
96,-80
97,-20
98,20
99,100
100,112
101,0
102,-80
103,94
104,40
105,104
106,104
107,40
108,40
109,20
110,100
111,82
112,20
113,0
114,-40
115,20
116,114
117,0
118,80
119,-40
120,40
121,-80
122,92
123,106
124,-100
125,82
126,-40
127,-40
128,76
129,110
130,-20
131,20
132,148
133,100
134,102
135,-100
136,40
137,40
138,60
139,-20
140,20
141,76
142,0
143,112
144,60
145,-40
146,82
147,70
148,-60
149,62
150,94
151,-40
152,0
153,120
154,-40
155,106
156,40
157,80
158,110
159,122
160,108
161,66
162,98
163,72
164,-80
165,-20
166,82
167,62
168,20
169,20
170,-80
171,40
172,-40
173,74
174,-60
175,20
176,112
177,20
178,-100
179,92
180,40
181,108
182,-80
183,-60
184,-20
185,116
186,40
187,-60
188,-20
189,64
190,100
191,-20
192,40
193,20
194,94
195,124
196,-80
197,20
198,94
199,-60
200,96
201,60
202,40
203,-80
204,84
205,20
206,84
207,-40
208,40
209,108
210,120
211,20
212,114
213,40
214,-20
215,20
216,-80
217,104
218,128
219,98
220,138
221,0
222,102
223,94
224,-20
225,20
226,40
227,64
228,110
229,40
230,80
231,20
232,80
233,-60
234,92
235,0
236,0
237,20
238,40
239,94
240,-20
241,20
242,0
243,40
244,84
245,86
246,0
247,-20
248,110
249,20
250,70
251,-80
252,0
253,-60
254,78
255,40
256,20
257,-20
258,-40
259,76
260,20
261,72
262,-40
263,72
264,78
265,-20
266,40
267,70
268,92
269,0
270,-20
271,90
272,-20
273,-20
274,40
275,-20
276,108
277,68
278,0
279,92
280,128
281,92
282,90
283,40
284,64
285,86
286,20
287,88
288,0
289,130
290,102
291,76
292,40
293,112
294,0
295,20
296,142
297,114
298,20
299,68
300,78
301,0
302,40
303,-60
304,112
305,-20
306,98
307,40
308,90
309,174
310,-40
311,60
312,82
313,118
314,20
315,68
316,118
317,108
318,40
319,132
320,0
321,40
322,20
323,66
324,134
325,132
326,72
327,118
328,132
329,-40
330,112
331,96
332,64
333,218
334,40
335,-60
336,106
337,142
338,118
339,60
340,72
341,20
342,122
343,108
344,60
345,0
346,120
347,20
348,116
349,120
350,82
351,124
352,112
353,100
354,20
355,82
356,20
357,0
358,-20
359,20
360,86
361,84
362,136
363,66
364,110
365,114
366,-40
367,110
368,112
369,40
370,40
371,0
372,88
373,20
374,20
375,108
376,102
377,72
378,74
379,86
380,84
381,106
382,114
383,96
384,-20
385,62
386,70
387,88
388,0
389,-40
390,106
391,112
392,116
393,108
394,124
395,20
396,100
397,0
398,112
399,-40
400,122
401,96
402,40
403,0
404,68
405,40
406,156
407,70
408,-20
409,86
410,90
411,40
412,-20
413,80
414,0
415,80
416,40
417,66
418,116
419,92
420,100
421,20
422,86
423,108
424,118
425,40
426,-60
427,82
428,66
429,62
430,74
431,102
432,184
433,74
434,-80
435,108
436,20
437,0
438,128
439,120
440,20
441,20
442,84
443,-20
444,40
445,72
446,122
447,60
448,40
449,96
450,20
451,88
452,40
453,-60
454,112
455,20
456,84
457,40
458,40
459,20
460,98
461,92
462,0
463,94
464,84
465,-20
466,40
467,114
468,118
469,104
470,40
471,40
472,20
473,0
474,40
475,20
476,116
477,40
478,40
479,68
480,92
481,40
482,116
483,40
484,70
485,128
486,64
487,98
488,110
489,142
490,110
491,-40
492,112
493,40
494,106
495,110
496,88
497,64
498,98
499,62
500,114
501,20
502,0
503,0
504,40
505,82
506,-40
507,144
508,98
509,-40
510,124
511,110
512,88
513,20
514,0
515,40
516,-20
517,20
518,120
519,132
520,108
521,142
522,20
523,108
524,94
525,98
526,96
527,40
528,68
529,78
530,116
531,112
532,112
533,76
534,74
535,0
536,100
537,102
538,82
539,120
540,104
541,118
542,60
543,98
544,40
545,82
546,128
547,110
548,102
549,-20
550,70
551,40
552,98
553,138
554,112
555,92
556,-80
557,104
558,20
559,130
560,40
561,110
562,0
563,40
564,92
565,40
566,40
567,0
568,96
569,120
570,66
