,score
0,-80
1,40
2,-40
3,80
4,140
5,-100
6,100
7,100
8,100
9,198
10,-80
11,0
12,80
13,-40
14,-60
15,-100
16,-60
17,80
18,80
19,120
20,-20
21,-80
22,80
23,-40
24,0
25,20
26,-20
27,0
28,120
29,80
30,210
31,-80
32,60
33,-20
34,-20
35,0
36,80
37,0
38,60
39,-100
40,80
41,60
42,-80
43,-80
44,100
45,120
46,0
47,100
48,-60
49,-100
50,20
51,20
52,0
53,-40
54,-40
55,20
56,-60
57,100
58,40
59,206
60,-20
61,-60
62,20
63,-100
64,0
65,20
66,20
67,-40
68,100
69,20
70,-60
71,20
72,120
73,-20
74,-20
75,-40
76,40
77,40
78,-80
79,40
80,100
81,140
82,100
83,0
84,20
85,-20
86,0
87,0
88,-40
89,-80
90,-80
91,100
92,-20
93,0
94,-80
95,100
96,-60
97,222
98,120
99,40
100,20
101,-40
102,-60
103,100
104,20
105,80
106,-80
107,-20
108,-100
109,-60
110,80
111,-20
112,-40
113,20
114,194
115,0
116,0
117,40
118,-20
119,80
120,80
121,-40
122,-60
123,20
124,20
125,-40
126,0
127,0
128,-80
129,-80
130,184
131,-40
132,60
133,-80
134,-80
135,80
136,40
137,-80
138,60
139,60
140,100
141,60
142,212
143,60
144,-80
145,-80
146,-80
147,120
148,-20
149,80
150,-60
151,20
152,-20
153,160
154,-80
155,0
156,0
157,0
158,80
159,80
160,-100
161,60
162,-40
163,-80
164,20
165,140
166,60
167,-60
168,120
169,60
170,20
171,-60
172,120
173,120
174,140
175,80
176,100
177,120
178,80
179,-100
180,-20
181,60
182,20
183,-40
184,40
185,140
186,120
187,20
188,-20
189,-100
190,-100
191,20
192,60
193,-60
194,0
195,-20
196,-40
197,-40
198,-40
199,160
200,-60
201,-60
202,-40
203,0
204,-60
205,0
206,100
207,100
208,0
209,120
210,80
211,60
212,40
213,80
214,-60
215,-80
216,140
217,-80
218,20
219,20
220,-40
221,20
222,-40
223,-20
224,40
225,-40
226,40
227,-40
228,140
229,100
230,40
231,20
232,-20
233,20
234,140
235,40
236,40
237,-80
238,40
239,60
240,140
241,-20
