,score
0,80
1,0
2,80
3,112
4,-60
5,0
6,40
7,40
8,-80
9,40
10,-80
11,0
12,0
13,40
14,-40
15,80
16,20
17,114
18,108
19,-40
20,-60
21,60
22,126
23,122
24,112
25,142
26,40
27,60
28,-20
29,-60
30,106
31,0
32,40
33,40
34,122
35,20
36,-100
37,102
38,60
39,20
40,60
41,118
42,-100
43,40
44,-60
45,20
46,40
47,20
48,-20
49,144
50,20
51,-100
52,-40
53,-60
54,138
55,-40
56,-60
57,-40
58,80
59,80
60,0
61,-20
62,80
63,-40
64,40
65,-40
66,80
67,80
68,-40
69,20
70,-100
71,-40
72,-40
73,-40
74,122
75,20
76,0
77,-20
78,-40
79,-40
80,0
81,-60
82,0
83,116
84,40
85,-60
86,-40
87,-40
88,-60
89,60
90,80
91,-80
92,60
93,-20
94,80
95,-80
96,20
97,150
98,134
99,-60
100,-20
101,-60
102,0
103,-100
104,-40
105,-40
106,-20
107,-80
108,0
109,80
110,-80
111,0
112,20
113,-40
114,20
115,-20
116,-40
117,-80
118,20
119,-60
120,-80
121,60
122,-80
123,0
124,128
125,60
126,0
127,-100
128,-40
129,112
130,-60
131,60
132,-20
133,80
134,-80
135,-80
136,-60
137,20
138,0
139,20
140,80
141,134
142,-60
143,160
144,60
145,60
146,138
147,20
148,-100
149,-40
150,-60
151,60
152,80
153,60
154,40
155,40
156,118
157,144
158,-40
159,-20
160,20
161,80
162,80
163,-60
164,-60
165,40
166,40
167,136
168,80
169,-20
170,108
171,-80
172,40
173,80
174,-40
175,-20
176,40
177,20
178,20
179,-60
180,-20
181,-40
182,-40
183,80
184,-60
185,-60
186,-80
187,0
188,80
189,-60
190,-60
191,40
192,80
193,-40
194,0
195,80
196,40
197,60
198,0
199,40
200,20
201,80
202,20
203,0
204,-40
205,120
206,-20
207,-20
208,0
209,-20
210,-60
211,20
212,40
213,40
214,112
215,20
216,0
217,0
218,-20
219,102
220,126
221,40
222,-40
223,120
224,0
225,-60
226,20
227,-60
228,-80
229,-20
230,118
231,40
232,148
233,80
234,112
235,-60
236,40
237,-80
238,40
239,60
240,-80
241,0
242,40
243,80
244,130
245,-40
246,20
247,-20
248,0
249,60
250,0
251,60
252,0
253,-80
254,0
255,-20
256,40
257,40
258,-60
259,-20
260,20
261,-40
262,-60
263,80
264,60
265,80
266,-80
267,-40
268,-60
269,60
270,-80
271,-60
272,0
273,-20
274,134
275,40
276,40
277,20
278,60
279,40
280,40
281,108
282,122
283,170
284,104
285,-20
286,-60
287,-40
288,60
289,80
290,60
291,-100
292,0
293,148
294,20
295,-20
296,114
297,136
298,-60
299,40
300,60
301,80
302,60
303,20
304,-60
305,-80
306,106
307,0
308,20
309,100
310,40
311,20
312,-60
313,112
314,-60
315,40
316,20
317,40
318,-40
319,150
320,80
321,20
322,124
323,166
324,-60
325,168
326,60
327,108
328,60
329,114
330,-40
331,40
332,40
333,40
334,0
335,-40
336,-80
337,20
338,40
339,40
340,40
341,20
342,-20
343,-100
344,-20
345,-80
346,0
347,80
348,-100
349,110
350,80
351,0
352,40
353,120
354,40
355,60
356,-20
357,-100
358,164
359,0
360,-40
361,80
362,80
363,-60
364,-20
365,0
366,40
367,80
368,-20
369,60
370,60
371,60
372,-100
373,100
374,20
375,40
376,20
377,-20
378,-40
379,126
380,-60
381,0
382,80
383,132
384,-100
385,40
386,-80
387,60
388,20
389,-40
390,80
391,148
392,40
393,142
394,20
395,0
396,134
397,-40
398,40
399,80
400,80
401,112
402,0
403,112
404,100
405,-100
406,20
407,-40
408,-40
409,-20
410,-100
411,80
412,-20
413,20
414,-40
415,-20
416,134
417,118
418,128
419,40
420,60
421,20
422,20
423,-20
424,0
425,-20
426,-40
427,-100
428,100
429,40
430,-60
431,80
432,80
433,20
434,40
435,100
436,40
437,-60
438,60
439,40
440,-40
441,-100
442,0
443,40
444,60
445,80
446,132
447,-60
448,-100
449,0
450,80
451,40
452,-60
453,110
454,20
455,60
456,-40
457,-20
458,0
459,116
460,0
461,120
462,-40
463,-40
464,40
465,102
466,130
467,0
468,132
469,60
470,20
471,142
472,20
473,100
474,60
475,-60
476,118
477,-60
478,80
479,104
480,0
481,112
482,40
483,-40
484,-80
485,114
486,0
487,140
488,-80
489,144
490,0
491,-80
492,20
493,60
494,-80
495,148
496,80
497,20
498,40
499,-60
500,40
501,-100
502,20
503,0
504,60
505,-40
506,-60
507,60
508,60
509,60
510,-80
511,20
512,106
513,60
514,20
515,80
516,162
517,-40
518,60
519,20
520,-40
521,0
522,122
523,-60
524,-60
525,40
526,40
527,40
528,-40
529,-20
530,40
531,-40
532,60
533,140
534,-80
535,40
536,-60
537,106
538,116
539,-40
540,-20
541,0
542,-40
543,110
544,80
545,-60
546,20
547,40
548,106
549,-60
550,182
551,80
552,20
553,-40
554,0
555,-80
556,120
557,60
558,80
559,106
560,-20
561,20
562,-60
563,60
564,-40
565,-20
566,0
567,128
568,-60
569,-20
570,20
571,132
572,40
573,136
574,40
575,20
576,80
577,80
578,80
579,60
580,80
581,0
582,108
583,20
584,106
585,0
586,118
587,80
588,20
589,122
590,-100
591,106
592,20
593,40
594,0
595,100
596,-40
597,128
598,20
599,-20
600,-40
601,-40
602,80
603,-60
604,-20
605,40
606,60
607,-40
608,-40
609,40
610,144
611,80
612,-40
613,132
614,20
615,102
616,-60
617,-80
618,20
619,-60
620,60
621,-40
622,-40
623,60
624,0
625,40
626,-40
627,80
628,0
629,20
630,60
631,20
632,-40
633,-40
634,106
635,142
636,40
637,80
638,-20
639,60
640,60
641,80
642,118
643,40
644,124
645,-100
646,60
647,-60
648,-40
649,-40
650,60
651,134
652,-20
653,130
654,148
655,112
656,80
657,-80
658,-80
659,40
660,40
661,40
662,0
663,60
664,80
665,60
666,60
667,40
668,118
669,40
670,60
671,134
672,142
673,0
674,20
675,-80
676,0
677,-80
678,-20
679,102
680,-60
681,80
682,0
683,142
684,-60
685,80
686,40
687,170
688,40
689,0
690,40
691,104
692,40
693,-60
694,20
695,-60
696,148
697,80
698,0
699,112
700,138
701,134
702,106
703,142
704,148
705,-20
706,-20
707,-20
708,40
709,40
710,124
711,0
712,-40
713,20
714,80
715,124
716,60
717,0
718,40
719,0
720,-60
721,100
722,102
723,80
724,-80
725,0
726,-100
727,-20
728,60
729,118
730,0
731,146
732,100
733,-60
734,80
735,-40
736,80
737,-20
738,60
739,80
740,20
741,142
742,114
743,-60
744,40
745,0
746,102
747,-20
748,80
749,-80
750,40
751,136
752,60
753,-80
754,60
755,60
756,60
757,120
758,0
759,20
760,60
761,0
762,40
763,-20
764,118
765,130
766,146
767,130
768,40
769,40
770,-20
771,0
772,20
773,102
774,-60
775,100
776,130
777,20
778,146
779,116
780,112
781,60
782,120
783,0
784,20
785,-60
786,40
787,20
788,20
789,-20
790,-40
791,40
792,-20
793,80
794,152
795,60
796,60
797,60
798,168
799,-20
800,-20
801,-40
802,-100
803,0
804,20
805,-20
806,80
807,0
808,-80
809,40
810,20
811,0
812,-40
813,-20
814,110
815,80
816,20
817,20
818,-80
819,-60
820,124
821,40
822,60
823,40
824,-40
825,120
826,118
827,130
828,40
829,80
830,-60
831,0
832,-100
833,80
834,80
835,-60
836,106
837,-80
838,20
839,20
840,-40
841,-40
842,0
843,40
844,118
845,-20
846,80
847,80
848,130
849,20
850,20
851,-20
852,-40
853,-20
854,116
855,-80
856,128
857,162
858,80
859,134
860,146
861,128
862,128
863,130
864,80
865,0
866,124
867,106
868,80
869,60
870,170
871,-60
872,20
873,0
874,60
875,80
876,238
877,-80
878,-40
879,80
880,60
881,60
882,136
883,120
884,128
885,114
886,80
887,-20
888,-60
889,-80
890,146
891,-20
892,-40
893,80
894,80
895,118
896,-20
897,40
898,-20
899,60
900,116
901,60
902,150
903,148
904,-40
905,20
906,126
907,20
908,-60
909,108
910,20
911,60
912,-20
913,40
914,20
915,20
916,20
917,-20
918,80
919,60
920,60
921,60
922,-20
923,-20
924,40
925,40
926,80
927,60
928,-40
929,80
930,0
931,-20
932,0
933,20
934,40
935,-80
936,80
937,40
938,-80
939,126
940,80
941,-60
942,80
943,140
944,104
945,60
946,0
947,128
948,20
949,40
950,80
951,-20
952,132
953,-40
954,60
955,-20
956,-60
957,130
958,20
959,20
960,80
961,-20
962,60
963,-20
964,122
965,60
966,-20
967,40
968,60
969,40
970,-60
971,-20
972,80
973,60
974,40
975,104
976,60
977,0
978,80
979,80
980,40
981,114
982,20
983,120
984,126
985,108
986,-60
987,0
988,-60
989,100
990,80
991,0
992,142
993,-40
994,0
995,40
996,-40
997,40
998,-40
999,0
1000,40
1001,20
1002,114
1003,130
1004,124
1005,128
1006,124
1007,120
1008,60
1009,106
1010,100
1011,40
1012,142
1013,-40
1014,60
1015,80
1016,80
1017,-20
1018,-20
1019,60
1020,110
1021,80
1022,-60
1023,102
1024,130
1025,40
1026,148
1027,-40
1028,112
1029,80
1030,20
1031,40
1032,80
1033,60
1034,-100
1035,80
1036,102
1037,102
1038,-60
1039,140
1040,138
1041,-40
1042,40
1043,60
1044,20
1045,150
1046,138
1047,80
1048,20
1049,80
1050,0
1051,164
1052,40
1053,112
1054,-60
1055,60
1056,20
1057,-40
1058,20
1059,40
1060,148
1061,0
1062,-20
1063,100
1064,80
1065,80
1066,140
1067,-60
1068,108
1069,20
1070,0
1071,-20
1072,170
1073,148
1074,60
1075,124
1076,0
1077,40
1078,-100
1079,-20
1080,154
1081,40
1082,156
1083,110
1084,198
1085,130
1086,60
1087,80
1088,20
1089,120
1090,60
1091,80
1092,-60
1093,80
1094,106
1095,20
1096,60
1097,20
1098,20
1099,-100
1100,60
1101,60
1102,40
1103,-40
1104,134
1105,166
1106,-60
1107,112
1108,136
1109,106
1110,0
1111,104
1112,20
1113,102
1114,80
1115,162
1116,80
1117,60
1118,-20
1119,116
1120,-20
1121,114
1122,-100
1123,-80
1124,0
1125,20
1126,170
1127,80
1128,20
1129,40
1130,110
1131,148
1132,80
1133,0
1134,80
1135,20
1136,154
1137,60
1138,134
1139,116
1140,140
1141,110
1142,120
1143,60
1144,-100
1145,-40
1146,0
1147,40
1148,154
1149,60
1150,60
1151,114
1152,60
1153,60
1154,-60
1155,40
1156,20
1157,80
1158,80
1159,0
1160,80
1161,120
1162,120
1163,126
1164,-60
1165,60
1166,148
1167,128
1168,132
1169,172
1170,116
1171,0
1172,40
1173,104
1174,80
1175,20
1176,-80
1177,20
1178,-60
1179,-40
1180,0
1181,-60
1182,40
1183,20
1184,80
1185,114
1186,80
1187,60
1188,108
1189,124
1190,80
1191,104
1192,60
1193,40
1194,110
1195,20
1196,110
1197,60
1198,40
1199,194
1200,40
1201,60
1202,40
1203,80
1204,106
1205,40
1206,102
1207,102
1208,60
1209,110
1210,108
1211,0
1212,0
1213,40
1214,40
1215,20
1216,120
1217,20
1218,104
1219,-20
1220,-60
1221,0
1222,60
1223,80
1224,106
1225,0
1226,-20
1227,80
1228,102
1229,136
1230,40
1231,20
1232,20
1233,114
1234,0
1235,20
1236,0
1237,148
1238,0
1239,80
1240,20
1241,108
1242,158
1243,0
1244,112
1245,20
1246,0
1247,122
1248,20
1249,-40
1250,130
1251,80
1252,80
1253,60
1254,108
1255,152
1256,156
1257,112
1258,40
1259,60
1260,156
1261,124
1262,80
1263,60
1264,0
1265,106
1266,40
1267,-60
1268,0
1269,148
1270,0
1271,40
1272,156
1273,122
1274,-100
1275,114
1276,40
1277,-40
1278,40
1279,80
1280,20
1281,122
1282,-80
1283,126
1284,122
1285,160
1286,134
1287,126
1288,80
1289,40
1290,154
1291,136
1292,20
