,score
0,184
1,252
2,304
3,220
4,164
5,72
6,180
7,60
8,144
9,172
10,256
11,192
12,192
13,60
14,188
15,216
16,200
17,208
18,188
19,96
20,88
21,140
22,172
23,212
24,196
25,72
26,136
27,204
28,180
29,172
30,248
31,144
32,40
33,240
34,88
35,68
36,208
37,96
38,204
39,176
40,184
41,180
42,48
43,176
44,208
45,172
46,224
47,172
48,196
49,204
50,156
51,156
52,204
53,216
54,200
55,172
56,144
57,296
58,208
59,124
60,152
61,184
62,80
63,196
64,216
65,160
66,312
67,260
68,224
69,172
70,200
71,208
72,200
73,276
74,212
75,256
76,212
77,220
78,220
79,188
80,312
81,200
82,192
83,176
84,104
85,232
86,192
87,148
88,204
89,104
90,212
91,260
92,112
93,224
94,192
95,296
96,204
97,120
98,160
99,132
100,168
101,380
102,212
103,104
104,132
105,192
106,200
107,212
108,192
109,252
110,192
111,180
112,172
113,196
114,216
115,228
116,180
117,164
118,176
119,168
120,216
121,-120
122,224
123,212
124,208
125,220
126,184
127,212
128,212
129,100
130,200
131,228
132,192
133,148
134,164
135,0
136,232
137,204
138,168
139,208
140,220
141,92
142,76
143,124
144,196
145,160
146,220
147,164
148,216
149,-40
150,156
151,236
152,180
153,188
154,200
155,268
156,84
157,156
158,160
159,204
160,396
161,140
162,184
163,168
164,204
165,176
166,212
167,296
168,224
169,208
170,152
171,196
172,172
173,192
174,172
175,220
176,212
177,164
178,204
179,236
180,160
181,188
182,192
183,148
184,220
185,212
186,204
187,172
188,200
189,204
190,188
191,172
192,200
193,136
194,184
195,328
196,176
197,252
198,0
199,204
200,188
201,184
202,216
203,136
204,188
205,88
206,140
207,188
208,204
209,256
210,216
211,216
212,192
213,268
214,192
215,188
216,208
217,188
218,196
219,220
220,208
221,184
222,220
223,216
224,120
225,288
226,264
227,192
228,116
229,232
230,216
231,284
232,192
233,164
234,140
235,208
236,164
237,448
238,184
239,188
240,180
241,132
242,176
243,256
244,128
245,188
246,168
247,144
248,228
