,score
0,60
1,102
2,98
3,30
4,30
5,86
6,78
7,-60
8,28
9,20
10,48
11,0
12,-20
13,80
14,76
15,76
16,98
17,0
18,90
19,74
20,92
21,32
22,0
23,46
24,-40
25,58
26,0
27,62
28,20
29,-40
30,74
31,-60
32,-20
33,104
34,106
35,0
36,106
37,96
38,94
39,64
40,90
41,0
42,36
43,102
44,58
45,60
46,98
47,60
48,-40
49,56
50,40
51,74
52,92
53,80
54,32
55,52
56,84
57,90
58,54
59,90
60,42
61,50
62,68
63,64
64,98
65,0
66,80
67,78
68,40
69,-60
70,102
71,86
72,46
73,76
74,96
75,90
76,94
77,0
78,90
79,46
80,74
81,70
82,-20
83,80
84,82
85,34
86,92
87,84
88,96
89,72
90,48
91,58
92,28
93,86
94,-40
95,0
96,86
97,70
98,86
99,70
100,58
101,28
102,40
103,-20
104,-20
105,198
106,92
107,78
108,84
109,-40
110,60
111,56
112,-20
113,76
114,68
115,-60
116,36
117,44
118,106
119,-20
120,84
121,122
122,84
123,-60
124,74
125,62
126,28
127,26
128,100
129,32
130,0
131,34
132,68
133,70
134,54
135,58
136,0
137,-60
138,60
139,98
140,94
141,58
142,48
143,100
144,56
145,42
146,86
147,24
148,-40
149,-40
150,54
151,54
152,-40
153,24
154,78
155,20
156,92
157,28
158,86
159,82
160,-60
161,86
162,74
163,64
164,46
165,82
166,-20
167,64
168,-20
169,68
170,126
171,80
172,80
173,48
174,34
175,-20
176,94
177,88
178,44
179,50
180,80
181,110
182,102
183,82
184,102
185,24
186,82
187,44
188,22
189,40
190,90
191,68
192,-60
193,80
194,52
195,-20
196,0
197,52
198,68
199,86
200,94
201,100
202,58
203,72
204,72
205,62
206,-20
207,-60
208,36
209,52
210,64
211,52
212,80
213,64
214,0
215,84
216,100
217,60
218,84
219,-20
220,60
221,74
222,-100
223,0
224,78
225,66
226,104
227,110
228,-20
229,84
230,-20
231,20
232,82
233,84
234,70
235,70
236,64
237,172
238,96
239,74
240,46
241,62
242,84
243,84
244,50
245,98
246,102
247,92
248,0
249,96
250,106
251,22
252,-80
253,0
254,72
255,44
256,88
257,122
258,76
259,72
260,-60
261,70
262,82
263,42
264,32
265,38
266,90
267,70
268,74
269,24
270,72
271,146
272,0
273,-40
274,78
275,92
276,116
277,92
278,92
279,52
280,0
281,74
282,-20
283,90
284,40
285,0
286,86
287,88
288,86
289,104
290,92
291,82
292,92
293,68
294,68
295,52
296,-20
297,100
298,0
299,86
300,48
301,0
302,28
303,98
304,86
305,0
306,102
307,20
308,40
309,98
310,-40
311,66
312,22
313,92
314,88
315,56
316,34
317,92
318,42
319,44
320,38
321,142
322,-60
323,38
324,30
325,42
326,88
327,72
328,78
329,54
330,92
331,74
332,74
333,108
334,22
335,0
336,34
337,86
338,86
339,82
