,score
0,96
1,138
2,69
3,147
4,141
5,63
6,153
7,144
8,111
9,147
10,87
11,114
12,63
13,141
14,162
15,138
16,105
17,30
18,117
19,84
20,135
21,102
22,156
23,120
24,165
25,204
26,87
27,-90
28,81
29,147
30,72
31,153
32,159
33,39
34,-30
35,150
36,129
37,123
38,99
39,141
40,135
41,117
42,102
43,48
44,153
45,132
46,150
47,141
48,150
49,147
50,-90
51,96
52,-120
53,147
54,108
55,129
56,132
57,99
58,99
59,159
60,150
61,150
62,93
63,60
64,129
65,78
66,114
67,90
68,96
69,51
70,90
71,120
72,126
73,75
74,129
75,111
76,102
77,-30
78,138
79,99
80,159
81,129
82,69
83,129
84,87
85,99
86,240
87,72
88,99
89,120
90,0
91,102
92,141
93,120
94,174
95,0
96,126
97,144
98,144
99,54
100,144
101,141
102,114
103,126
104,144
105,129
106,138
107,120
108,-30
109,-30
110,165
111,138
112,96
113,138
114,51
115,126
116,120
117,126
118,111
119,99
120,156
121,147
122,135
123,162
124,153
125,99
126,138
127,99
128,39
129,135
130,135
131,147
132,54
133,39
134,120
135,-30
136,0
137,132
138,129
139,162
140,126
141,123
142,90
143,132
144,156
145,150
146,99
147,135
148,147
149,174
150,129
151,147
152,117
153,123
154,105
155,162
156,0
157,117
158,186
159,0
160,126
161,150
162,84
163,153
164,117
165,45
166,99
167,135
168,33
169,159
170,162
171,138
172,141
173,0
174,90
175,0
176,51
177,117
178,87
179,72
180,132
181,96
182,159
183,144
184,144
185,165
186,99
187,153
188,102
189,135
190,165
191,135
192,117
193,135
194,240
195,135
196,156
197,69
198,156
199,138
200,147
201,123
202,117
203,99
204,87
205,132
206,135
207,99
208,132
209,54
210,135
211,78
212,141
213,132
214,156
215,153
216,90
217,72
218,129
219,174
220,147
221,168
222,117
223,87
224,96
225,120
226,30
227,147
228,132
229,138
230,159
231,120
232,153
233,150
234,129
235,150
236,120
237,102
238,48
239,114
240,144
241,156
242,159
243,30
244,138
245,135
246,105
247,159
248,159
249,99
250,141
251,126
252,150
253,138
254,69
255,162
256,90
257,162
258,138
259,147
260,102
261,147
262,138
263,111
264,159
265,-30
266,-30
267,120
268,0
269,141
270,129
271,135
272,147
273,66
274,162
275,102
276,162
277,63
278,36
279,132
280,0
281,105
282,108
283,120
284,165
285,108
286,162
287,66
288,138
289,135
290,132
291,144
292,96
293,162
294,84
295,96
296,93
297,129
298,261
299,174
300,150
301,222
302,120
303,51
304,141
305,132
306,165
307,156
308,141
309,138
310,138
311,138
312,75
313,96
314,63
315,105
316,99
317,159
318,90
319,156
320,147
321,129
322,246
323,132
324,117
325,159
326,99
327,120
328,117
329,102
330,108
331,144
332,81
333,126
334,105
335,144
336,135
337,0
338,39
339,30
340,111
341,-90
342,93
343,-30
344,99
345,108
346,147
347,165
348,141
349,114
350,87
351,72
352,168
353,96
354,36
355,114
356,111
357,-90
358,-120
359,138
360,135
361,114
362,132
363,117
364,129
365,159
366,135
367,135
368,150
369,165
370,114
371,126
372,162
373,0
374,108
375,186
376,108
377,93
378,138
379,150
380,108
381,156
382,159
383,120
384,159
385,114
386,117
387,141
388,141
389,144
390,129
391,150
392,114
393,120
394,123
395,141
396,186
397,141
398,135
399,117
400,129
401,150
402,168
403,141
404,108
405,165
406,108
407,156
408,120
409,162
410,108
411,114
412,126
413,198
414,105
415,144
416,150
417,126
418,123
419,159
420,135
421,138
422,57
423,105
424,111
425,117
426,90
427,213
428,48
429,93
430,144
431,144
432,120
433,144
434,147
435,120
436,84
437,108
438,105
439,90
440,117
441,159
442,174
443,108
444,126
445,120
446,-90
447,147
448,144
449,45
450,93
451,0
452,0
453,141
454,141
455,264
456,147
457,153
458,33
459,147
460,162
461,75
462,63
463,87
464,96
465,150
466,102
467,132
468,156
469,150
470,129
471,144
472,135
473,150
474,114
475,108
476,123
477,132
478,66
479,147
480,123
481,144
482,159
483,138
484,156
485,120
486,102
487,-60
488,0
489,0
490,138
491,108
492,138
493,138
494,144
495,141
496,138
497,42
498,132
499,129
500,129
501,87
502,144
503,132
504,141
505,153
506,102
507,135
508,0
509,126
510,153
511,213
512,138
513,129
514,150
515,138
516,159
517,147
518,162
519,153
520,159
521,150
522,162
523,183
524,99
525,132
526,135
527,138
528,129
529,87
530,156
531,132
532,36
533,120
534,159
535,129
536,156
537,144
538,-30
539,159
540,141
541,117
542,87
543,180
544,126
545,129
546,123
547,117
548,147
549,126
550,66
551,105
552,120
