,score
0,-30
1,-60
2,-90
3,-60
4,-90
5,-90
6,-60
7,-30
8,-120
9,-30
10,-90
11,-90
12,-120
13,-90
14,0
15,-90
16,-60
17,-90
18,-90
19,-60
20,-90
21,-90
22,-90
23,-120
24,-90
25,0
26,-30
27,-30
28,-60
29,-30
30,-90
31,-150
32,-90
33,-90
34,-60
35,-120
36,-120
37,-30
38,-60
39,-90
40,-60
41,-90
42,-90
43,-60
44,-90
45,-60
46,-150
47,-120
48,-30
49,-150
50,-120
51,-90
52,-60
53,-60
54,-90
55,-60
56,-60
57,-90
58,-150
59,-60
60,-90
61,-90
62,-90
63,-90
64,-60
65,-60
66,-30
67,-30
68,-60
69,-60
70,-90
71,-30
72,-90
73,0
74,-120
75,-90
76,-60
77,-90
78,-90
79,-90
80,-60
81,-60
82,-60
83,-90
84,-60
85,-90
86,-90
87,-60
88,-60
89,-90
90,-120
91,-150
92,-150
93,-60
94,0
95,-60
96,-60
97,-150
98,-90
99,-90
100,-60
101,-120
102,-60
103,-90
104,-120
105,-120
106,-30
107,-60
108,-120
109,-30
110,0
111,-30
112,-60
113,-30
114,-60
115,-60
116,-60
117,-60
118,-120
119,-60
120,-60
121,-90
122,-90
123,-60
124,-90
125,-60
126,-90
127,-90
128,-90
129,-60
130,0
131,-60
132,-60
133,-90
134,-30
135,-90
136,-90
137,-60
138,-90
139,-60
140,-90
141,-120
142,-90
143,-60
144,-90
145,-90
146,-60
147,-60
148,-120
149,-150
150,-30
151,-90
152,-90
153,-60
154,-90
155,-60
156,-90
157,-90
158,-60
159,-30
160,-60
161,-90
162,-90
163,-120
164,-120
165,-120
166,-60
167,-60
168,-60
169,-90
170,-120
171,-90
172,-60
173,-90
174,0
175,-60
176,-60
177,-60
178,-150
179,-120
180,-90
181,-60
182,-60
183,-60
184,-60
185,-90
186,-90
187,-30
188,-90
189,-30
190,-120
191,-60
192,-60
193,-90
194,-90
195,-60
196,-30
197,-60
198,-90
199,-120
200,-90
201,-30
202,-60
203,-60
204,-60
205,-90
206,-90
207,-60
208,-90
209,-90
210,-60
211,-120
212,-150
213,-60
214,-60
215,-60
216,-60
217,-120
218,-120
219,-120
220,-30
221,-150
222,-120
223,-60
224,-90
225,-30
226,-60
227,-90
228,-60
229,-90
230,-60
231,-60
232,60
233,-150
234,-90
235,-90
236,0
237,-30
238,-90
239,-90
240,-90
241,-90
242,-120
243,-30
244,0
245,-90
246,-60
247,-90
248,-60
249,-90
250,-60
251,-120
252,-90
253,-90
254,-90
255,-90
256,-120
257,-120
258,-120
259,-120
260,-120
261,-60
262,-60
263,-90
264,-30
265,-30
266,-120
267,-60
268,-60
269,-60
270,-30
271,-60
272,-30
273,0
274,-120
275,-90
276,-90
277,0
278,-30
279,-90
280,-30
281,0
282,-30
283,-30
284,-60
285,-90
286,-90
287,-60
288,-90
289,-60
290,-120
291,-30
292,-90
293,0
294,-30
295,-30
296,0
297,-30
298,-120
299,-90
300,-90
301,-60
302,0
303,-90
304,-60
305,0
306,-90
307,-60
308,-30
309,-60
310,-30
311,-120
312,-60
313,-120
314,-30
315,-90
316,-90
317,-30
318,0
319,-30
320,-30
321,-90
322,-30
323,-60
324,-90
325,-120
326,-90
327,0
328,-60
329,-60
330,0
331,-60
332,-90
333,-150
334,-60
335,-60
336,-90
337,144
338,-30
339,-120
340,-30
341,-150
342,-120
343,-120
344,-60
345,-60
346,-60
347,-90
348,-90
349,-120
350,-60
351,-120
352,-30
353,-90
354,-120
355,-60
356,-60
357,-60
358,-90
359,-150
360,-90
361,-90
362,-90
363,-90
364,-90
365,-90
366,-120
367,-60
368,-120
369,-90
370,-60
371,-120
372,-120
373,-90
374,-90
375,-30
376,-90
377,-90
378,-90
379,-60
380,-30
381,-90
382,-120
383,-90
384,-90
385,-90
386,-90
387,-60
388,-120
389,-60
390,-60
391,-60
392,-60
393,-60
394,0
395,0
396,-150
397,-60
398,-60
399,-120
400,-30
401,0
402,-90
403,-90
404,-60
405,-90
406,-60
407,-60
408,-90
409,-30
410,-90
411,-150
412,-90
413,-60
414,-30
415,-90
416,-90
417,-150
418,-90
419,-90
420,0
421,-90
422,-60
423,-60
424,-90
425,-120
426,0
427,-90
428,-90
429,-60
430,-120
431,-150
432,-60
433,-30
434,-120
435,-60
436,-90
437,-60
438,-60
439,-90
440,-60
441,-60
442,-60
443,-60
444,-60
445,-120
446,-120
447,-60
448,0
449,-60
450,-90
451,-60
452,-120
453,0
454,33
455,-90
456,-30
457,0
458,0
459,-60
460,-30
461,-120
462,-90
463,-90
464,-90
465,-60
466,-60
467,-90
468,-30
469,-60
470,-120
471,-60
472,-90
473,-90
474,-60
475,-60
476,-60
477,-120
478,-90
479,-30
480,-120
481,-60
482,-60
483,-90
484,-60
485,0
486,-60
487,-90
488,-30
489,-90
490,-60
491,-60
492,0
493,-60
494,-90
495,-120
496,-60
497,-30
498,-120
499,-120
