,score
0,-100
1,-60
2,-40
3,-40
4,-40
5,-20
6,-20
7,-80
8,-20
9,-40
10,-40
11,-20
12,-60
13,0
14,20
15,20
16,-80
17,-20
18,-20
19,20
20,-20
21,-60
22,-20
23,0
24,0
25,-20
26,-60
27,-40
28,-20
29,-20
30,-80
31,-20
32,-80
33,-40
34,-80
35,-20
36,-60
37,-80
38,-40
39,-40
40,-80
41,0
42,-40
43,-20
44,-20
45,-40
46,-40
47,-40
48,0
49,20
50,0
51,0
52,-80
53,-40
54,-40
55,-40
56,20
57,-40
58,-60
59,-40
60,20
61,0
62,-40
63,0
64,72
65,-80
66,-40
67,-20
68,-40
69,-60
70,-80
71,0
72,-80
73,-60
74,40
75,-40
76,-60
77,-60
78,-20
79,-20
80,-60
81,-80
82,0
83,-40
84,-40
85,-20
86,-40
87,-60
88,20
89,-20
90,0
91,0
92,0
93,0
94,-60
95,-60
96,0
97,-80
98,-20
99,-40
100,-40
101,0
102,0
103,-40
104,-40
105,-40
106,-60
107,-40
108,-40
109,-20
110,-80
111,-40
112,-60
113,-60
114,-60
115,-60
116,-20
117,20
118,-40
119,0
120,-60
121,0
122,-40
123,-40
124,20
125,0
126,-80
127,-40
128,-20
129,-20
130,-20
131,-20
132,-60
133,-80
134,-20
135,-40
136,-20
137,-20
138,40
139,20
140,-40
141,0
142,-20
143,-20
144,0
145,-80
146,-40
147,-40
148,-60
149,-20
150,-20
151,-20
152,-40
153,-20
154,0
155,-20
156,-60
157,-20
158,0
159,-40
160,-20
161,-60
162,-40
163,0
164,-40
165,-60
166,20
167,-60
168,-60
169,-20
170,20
171,-40
172,-60
173,-40
174,-20
175,-40
176,-40
177,-20
178,-80
179,-20
180,-80
181,-100
182,-60
183,-40
184,-60
185,-60
186,-20
187,-60
188,-60
189,-20
190,-40
191,-40
192,0
193,-80
194,-40
195,-20
196,-40
197,-20
198,-40
199,-40
200,-60
201,-60
202,-40
203,-40
204,-80
205,-20
206,-40
207,-20
208,-20
209,0
210,-60
211,-40
212,-20
213,-60
214,20
215,0
216,-60
217,-100
218,-20
219,0
220,-20
221,-20
222,40
223,-60
224,-60
225,-80
226,-80
227,-40
228,-20
229,-20
230,-20
231,0
232,-60
233,40
234,-40
235,-20
236,-40
237,20
238,-80
239,-40
240,-20
241,-20
242,-20
243,0
244,-40
245,-20
246,0
247,20
248,-60
249,-40
250,40
251,20
252,-20
253,0
254,-60
255,-40
256,-60
257,-40
258,0
259,-80
260,0
261,0
262,-40
263,0
264,0
265,-60
266,-60
267,-60
268,-20
269,-20
270,-60
271,-40
272,20
273,-40
274,-40
275,-40
276,20
277,-40
278,-20
279,-60
280,-100
281,20
282,-40
283,-20
284,-20
285,-40
286,20
287,20
288,-20
289,-60
290,-20
291,-60
292,-20
293,-40
294,-40
295,0
296,20
297,-40
298,-60
299,-20
300,-20
301,0
302,-20
303,20
304,-20
305,-60
306,-60
307,-20
308,-20
309,-40
310,-20
311,-20
312,-40
313,0
314,-20
315,-40
316,-60
317,-60
318,-20
319,0
320,-40
321,-40
322,-20
323,-20
324,-40
325,-20
326,-60
327,0
328,20
329,-60
330,-40
331,-20
332,-40
333,-60
334,0
335,0
336,0
337,20
338,0
339,-20
340,-40
341,0
342,-40
343,-60
344,-40
345,0
346,0
347,20
348,-40
349,-40
350,-20
351,-20
352,-20
353,-80
354,-20
355,-80
356,-20
357,0
358,-20
359,-20
360,-40
361,-20
362,0
363,-40
364,-60
365,-20
366,-60
367,0
368,-80
369,0
370,0
371,0
372,-40
373,-40
374,-60
375,0
376,20
377,-60
378,-40
379,-40
380,-60
381,-40
382,-40
383,-40
384,-20
385,-40
386,-60
387,-20
388,-60
389,-20
390,-40
391,20
392,-20
393,-20
394,-20
395,-40
396,-20
397,0
398,-80
399,-20
400,-40
401,-20
402,-40
403,-40
404,-20
405,-40
406,20
407,20
408,-20
409,20
410,-80
411,0
412,-20
413,-60
414,0
415,-60
416,-40
417,-80
418,-20
419,-40
420,-20
421,-40
422,-60
423,-40
424,-40
425,-40
426,-80
427,-20
428,-40
429,-40
430,0
431,-40
432,-40
433,-20
434,20
435,-20
436,-80
437,-40
438,-40
439,-40
440,0
441,-40
442,124
443,-40
444,-60
445,-20
446,-80
447,-20
448,-40
449,40
450,-40
451,-60
452,-60
453,-20
454,-20
455,-40
456,-20
457,-20
458,-80
459,0
460,-40
461,0
462,-40
463,-40
464,-20
465,-20
466,-40
467,-60
468,20
469,20
470,-20
471,-40
472,20
473,-40
474,20
475,-60
476,-100
477,-40
478,0
479,0
480,20
481,-20
482,20
483,-80
484,20
485,-60
486,-40
487,-60
488,0
489,-80
490,0
491,-60
492,-60
493,-60
494,-20
495,0
496,0
497,0
498,-40
499,-60
500,-20
501,0
502,-40
503,-40
504,-60
505,-20
506,-20
507,-40
508,0
509,0
510,-20
511,-40
512,-80
513,20
514,-60
515,-40
516,-60
517,-60
518,-20
519,-20
520,-20
521,-20
522,-40
523,20
524,-40
525,0
526,-20
527,-80
528,-80
529,40
530,-20
531,-40
532,-60
533,-60
534,20
535,-40
536,0
537,20
538,0
539,-40
540,20
541,0
542,-20
543,-40
544,0
545,-40
546,-40
547,-60
548,20
549,-20
550,20
551,-40
552,-20
553,20
554,-40
555,-40
556,-20
557,0
558,-80
559,-40
560,-40
561,-20
562,-60
563,20
564,-40
565,-40
566,0
567,0
568,-20
569,-20
570,-20
571,0
572,0
573,0
574,20
575,-40
576,20
577,-60
578,-20
579,-60
580,-20
581,-60
582,-60
583,-20
584,-20
585,-80
586,-40
587,-40
588,-60
589,-40
590,0
591,-60
592,-20
593,-60
594,0
595,-40
596,0
597,0
598,20
599,0
600,-80
601,-60
602,-20
603,-80
604,0
605,-20
606,0
607,-20
608,0
609,-40
610,-20
611,-60
612,-20
613,-60
614,-20
615,-20
616,-60
617,-20
618,-20
