,score
0,-60
1,0
2,-100
3,0
4,-60
5,-60
6,-40
7,-20
8,-20
9,-80
10,0
11,-40
12,-20
13,-80
14,-20
15,-40
16,-60
17,-20
18,-60
19,-20
20,0
21,-80
22,-20
23,-60
24,-40
25,-20
26,-20
27,-20
28,-40
29,-60
30,-40
31,-60
32,-40
33,-20
34,-40
35,-60
36,-40
37,-20
38,-20
39,-60
40,-60
41,0
42,26
43,-40
44,0
45,-40
46,-40
47,-20
48,-20
49,-40
50,-80
51,-40
52,-80
53,-40
54,-20
55,-60
56,-20
57,-60
58,0
59,0
60,-40
61,-40
62,-40
63,-60
64,-40
65,-60
66,-40
67,-60
68,-20
69,0
70,-40
71,-20
72,0
73,-40
74,0
75,-40
76,-20
77,-40
78,-20
79,-40
80,-40
81,-40
82,-80
83,-20
84,-100
85,-20
86,-40
87,0
88,-60
89,-80
90,-40
91,-80
92,-20
93,-60
94,-60
95,-40
96,-60
97,0
98,-60
99,-40
100,0
101,-20
102,-20
103,-20
104,-60
105,0
106,-20
107,-60
108,-40
109,-40
110,-20
111,-40
112,-20
113,-20
114,-40
115,0
116,-80
117,-60
118,0
119,-80
120,0
121,-40
122,0
123,-80
124,-20
125,0
126,-80
127,-40
128,-40
129,-80
130,-20
131,-40
132,44
133,-100
134,-40
135,-80
136,-60
137,-60
138,-20
139,-40
140,0
141,-80
142,-60
143,-40
144,-60
145,-40
146,-40
147,-20
148,-20
149,-40
150,-60
151,-60
152,-20
153,0
154,-20
155,-20
156,-40
157,-40
158,-60
159,-40
160,-60
161,-20
162,-20
163,-60
164,-20
165,-40
166,-60
167,-20
168,-20
169,0
170,-60
171,-20
172,0
173,-20
174,-40
175,-40
176,32
177,-60
178,-80
179,-60
180,-40
181,-60
182,-60
183,0
184,-60
185,-40
186,-60
187,-60
188,0
189,-80
190,-40
191,0
192,-20
193,-40
194,0
195,0
196,0
197,-40
198,0
199,-20
200,0
201,0
202,-40
203,86
204,-40
205,-40
206,44
207,-20
208,-40
209,-80
210,-20
211,-20
212,-60
213,-20
214,-60
215,-60
216,-40
217,-40
218,-20
219,-60
220,-60
221,-20
222,-60
223,-60
224,0
225,-60
226,0
227,-40
228,-20
229,-40
230,-40
231,-40
232,-60
233,-40
234,-40
235,-60
236,-20
237,-20
238,-60
239,-80
240,0
241,-20
242,-40
243,-60
244,-20
245,-40
246,-40
247,-20
248,-20
249,-80
250,-20
251,-100
252,-40
253,-20
254,-40
255,-20
256,-20
257,-60
258,-60
259,-40
260,-40
261,0
262,-40
263,-20
264,-20
265,-40
266,-80
267,-40
268,-20
269,-40
270,-60
271,-80
272,-60
273,-100
274,-40
275,62
276,0
277,0
278,-60
279,-20
280,0
281,-60
282,0
283,-40
284,-60
285,-20
286,-60
287,-40
288,-20
289,-40
290,0
291,-20
292,-40
293,-20
294,-20
295,-40
296,-20
297,-40
298,-60
299,-60
300,-40
301,-20
302,-60
303,-20
304,-80
305,-20
306,-20
307,-80
308,-60
309,-60
310,0
311,-60
312,-40
313,0
314,-60
315,-20
316,-40
317,-80
318,0
319,-80
320,-40
321,-40
322,0
323,-60
324,-40
325,-100
326,-20
327,0
328,-60
329,-80
330,72
331,-20
332,-20
333,-40
334,-20
335,-60
336,-40
337,-60
338,-40
339,-20
340,-60
341,-40
342,-20
343,-40
344,-20
345,-40
346,0
347,-60
348,-60
349,-40
350,-60
351,-60
352,-60
353,0
354,-60
355,-80
356,-40
357,-40
358,-20
359,0
360,-40
361,0
362,-60
363,-20
364,-80
365,0
366,-60
367,-40
368,-40
369,-20
370,-20
371,-60
372,-40
373,-80
374,-40
375,-40
376,-80
377,-20
378,0
379,-40
380,0
381,-40
382,-20
383,-40
384,-60
385,0
386,-20
387,-40
388,-40
389,-40
390,-40
391,0
392,-60
393,0
394,-40
395,-40
396,-40
397,-40
398,-60
399,-40
400,0
401,-20
402,-40
403,0
404,-20
405,-20
406,-20
407,-20
408,0
409,-60
410,-40
411,-80
412,-40
413,-60
414,0
415,-80
416,-20
417,0
418,-40
419,-40
420,-40
421,-60
422,0
423,-60
424,0
425,-60
426,-80
427,-60
428,-40
429,-20
430,0
431,-20
432,-60
433,-40
434,-40
435,-40
436,0
437,-40
438,-40
439,0
440,-40
441,-60
442,-20
443,-60
444,-40
445,0
446,-80
447,-20
448,-20
449,-20
450,-40
451,-40
452,-20
453,-20
454,-20
455,-20
456,-60
457,0
458,-40
459,-40
460,0
461,-40
462,-80
463,-40
464,-80
465,-20
466,-60
467,-40
468,-40
469,-60
470,-40
471,-20
472,-20
473,0
474,-20
475,-40
476,-20
477,-20
478,0
479,-60
480,0
481,-20
482,-60
483,-20
484,-40
485,-20
486,-40
487,-40
488,-40
489,-60
490,-60
491,-20
492,-40
493,-60
494,-40
495,-40
496,-60
497,-20
498,-40
499,-20
500,46
501,-40
502,-20
503,-40
504,-40
505,88
506,-40
507,-60
508,0
509,-60
510,-20
511,-60
512,-80
513,-20
514,-40
515,-20
516,-40
517,0
518,-80
519,-40
520,-20
521,-20
522,-80
523,-40
524,-40
525,-20
526,-40
527,-20
528,-40
529,-40
530,-60
531,-20
532,-80
533,-20
534,-80
535,-60
536,-40
537,-80
538,0
539,-20
540,-40
541,-60
542,-20
543,-40
544,-20
545,-20
546,-60
547,-80
548,-60
549,-40
550,0
551,-20
552,-20
553,-40
554,-20
555,-40
556,-40
557,0
558,-40
559,-20
560,-40
561,-60
562,-80
563,-60
564,-40
565,-20
566,-40
567,-40
568,-40
569,-40
570,-40
571,-40
572,-20
573,-40
574,-40
575,0
576,-60
577,-40
578,-40
579,-40
580,-80
581,-40
582,-40
583,-60
584,-60
585,-60
586,0
587,-40
588,-20
589,-60
590,0
591,-80
592,-40
593,-20
594,0
595,-20
596,-20
597,-40
598,-20
599,-40
600,-60
601,-80
602,-40
603,-60
604,-40
605,-60
606,-40
607,-40
608,-60
609,-40
610,-60
611,-60
612,-80
613,0
614,0
615,-40
616,0
617,-20
618,0
619,-60
620,-20
621,0
622,-60
623,-40
624,-80
625,-60
626,-40
627,-40
628,0
629,-40
630,-40
631,-60
632,-20
633,-60
634,-40
635,0
636,-40
