,score
0,-40
1,0
2,-40
3,-60
4,-40
5,0
6,-60
7,-60
8,-20
9,-20
10,60
11,-20
12,-40
13,-60
14,-20
15,-40
16,-60
17,0
18,-40
19,-60
20,-80
21,-80
22,-20
23,0
24,0
25,-40
26,-20
27,-40
28,-20
29,-40
30,-40
31,-60
32,0
33,0
34,-40
35,-60
36,-20
37,-40
38,0
39,-40
40,-20
41,-20
42,28
43,-60
44,-40
45,-40
46,-20
47,-60
48,-20
49,-40
50,-20
51,-40
52,-40
53,-20
54,-60
55,-20
56,-60
57,-60
58,-40
59,0
60,-40
61,-60
62,-20
63,-100
64,-40
65,-60
66,-100
67,-40
68,-20
69,-40
70,-60
71,-40
72,0
73,-40
74,-20
75,-80
76,0
77,-100
78,-60
79,-40
80,-60
81,-60
82,-20
83,-40
84,-20
85,-20
86,-40
87,-20
88,-40
89,0
90,-20
91,-100
92,0
93,-40
94,-20
95,-80
96,-80
97,-80
98,-20
99,-80
100,-80
101,-60
102,-80
103,-40
104,-60
105,-20
106,-100
107,-80
108,-40
109,-20
110,-60
111,-60
112,-20
113,-60
114,0
115,-40
116,-40
117,-40
118,-60
119,-60
120,-60
121,-40
122,-80
123,-60
124,-20
125,-60
126,-80
127,-20
128,-60
129,-60
130,-40
131,-60
132,72
133,-60
134,-20
135,-40
136,-60
137,-40
138,-40
139,-20
140,-20
141,-60
142,-20
143,-60
144,-60
145,-40
146,-20
147,-80
148,28
149,-60
150,-60
151,-40
152,-40
153,-60
154,-100
155,-60
156,-60
157,-40
158,-20
159,-60
160,-60
161,-40
162,-80
163,-40
164,-40
165,-80
166,-40
167,-80
168,0
169,-40
170,0
171,-40
172,0
173,-40
174,-20
175,-60
176,-80
177,-80
178,-60
179,-60
180,-40
181,-20
182,-60
183,-20
184,-20
185,-40
186,-60
187,-20
188,0
189,-40
190,-40
191,-40
192,-60
193,34
194,-60
195,-20
196,-40
197,0
198,-40
199,-40
200,-20
201,-20
202,0
203,-20
204,-20
205,-60
206,-40
207,-60
208,-60
209,-20
210,-60
211,-20
212,-20
213,-20
214,-20
215,-20
216,-40
217,-80
218,-20
219,-20
220,-40
221,-60
222,-40
223,-40
224,-20
225,-20
226,-60
227,0
228,-20
229,0
230,-40
231,-60
232,-60
233,-80
234,-40
235,-40
236,-80
237,-60
238,0
239,-40
240,-20
241,-40
242,0
243,0
244,-80
245,-40
246,-20
247,-40
248,-40
249,0
250,-40
251,-40
252,0
253,-80
254,-40
255,-60
256,-40
257,34
258,-40
259,-20
260,-40
261,-20
262,-60
263,-20
264,-40
265,-40
266,-60
267,-40
268,-40
269,-20
270,-80
271,-20
272,-60
273,-40
274,-20
275,0
276,-20
277,-60
278,-20
279,24
280,-40
281,-40
282,-40
283,-60
284,-80
285,-60
286,-20
287,-40
288,-60
289,-20
290,-20
291,-60
292,-60
293,-60
294,-60
295,-40
296,-40
297,-20
298,-60
299,-60
300,-40
301,-60
302,-20
303,-80
304,-20
305,-40
306,-40
307,0
308,-40
309,-40
310,0
311,-20
312,-40
313,-60
314,0
315,-20
316,-40
317,-40
318,-40
319,-40
320,-60
321,-20
322,-20
323,-40
324,-40
325,0
326,-60
327,0
328,-20
329,-20
330,-100
331,-20
332,0
333,-20
334,-60
335,-60
336,-60
337,-40
338,-60
339,-20
340,-40
341,-60
342,-20
343,-60
344,-40
345,48
346,-40
347,-40
348,-60
349,0
350,-80
351,-40
352,-20
353,-80
354,-80
355,-40
356,-40
357,0
358,-40
359,-80
360,-40
361,-40
362,-60
363,-80
364,-40
365,-40
366,-20
367,-60
368,-20
369,-40
370,-40
371,-60
372,-40
373,-60
374,-60
375,-20
376,-40
377,-20
378,-60
379,0
380,0
381,0
382,-40
383,-60
384,-60
385,-40
386,-60
387,-20
388,-80
389,-80
390,-40
391,0
392,-60
393,-40
394,-60
395,0
396,-80
397,-40
398,-60
399,-40
400,-60
401,-20
402,0
403,-40
404,-60
405,-60
406,-60
407,-40
408,-60
409,46
410,-20
411,-40
412,-20
413,-40
414,-40
415,-20
416,-40
417,-20
418,-40
419,-20
420,-20
421,-60
422,0
423,-60
424,-20
425,-60
426,-60
427,-40
428,-60
429,-20
430,-40
431,-40
432,-40
433,-60
434,-20
435,-60
436,-60
437,28
438,-60
439,-40
440,0
441,0
442,-40
443,-20
444,0
445,-60
446,-40
447,-40
448,-40
449,-40
450,-80
451,-60
452,0
453,0
454,-80
455,-80
456,-40
457,-60
458,-20
459,-80
460,-40
461,-60
462,-100
463,-20
464,-20
465,-40
466,-40
467,-40
468,0
469,-60
470,-20
471,-60
472,0
473,-20
474,-80
475,-20
476,-20
477,-60
478,-40
479,-60
480,40
481,-40
482,-60
483,-40
484,0
485,-40
486,-40
487,-40
488,-40
489,-20
490,-60
491,0
492,-20
493,-40
494,-20
495,-20
496,-40
497,0
498,-40
499,-40
500,-60
501,-20
502,-60
503,-60
504,-60
505,-20
506,-40
507,0
508,-60
509,-40
510,-60
511,-40
512,-20
513,-40
514,0
515,-60
516,-60
517,-20
518,-60
519,0
520,-40
521,-40
522,-20
523,-40
524,-20
525,-20
526,-20
527,-40
528,-60
529,-60
530,-40
531,-60
532,-60
533,-40
534,-20
535,-60
536,-40
537,-40
538,-40
539,98
540,-80
541,72
542,-80
543,-40
544,-40
545,-40
546,-40
547,-60
548,-40
549,0
550,-40
551,0
552,-40
553,-60
554,-40
555,-60
556,-60
557,-60
558,0
559,-40
560,-60
561,-80
562,-40
563,0
564,-20
565,0
566,-20
567,-20
568,-40
569,-60
570,-40
571,-60
572,-60
573,-80
574,0
575,-40
576,-60
577,-40
578,-40
579,-40
580,-60
581,-40
582,-20
583,-60
584,-60
585,-40
586,-40
587,-60
588,-20
589,-60
590,-60
591,-40
592,-40
593,38
594,-20
595,-40
596,-80
597,-20
598,-20
599,-80
600,-40
601,-40
602,-100
603,-40
604,-60
605,-80
606,0
607,-60
608,-80
609,-60
610,-20
611,-20
612,-40
613,-20
614,-80
615,-60
616,-20
617,-40
618,-20
619,0
620,-60
621,-40
622,0
623,-40
624,-20
625,-40
626,0
627,-40
628,-20
629,0
630,-60
631,0
632,-20
633,-40
634,-40
635,-60
636,-40
637,-20
638,-40
639,0
640,0
641,-20
642,0
643,-20
644,-40
645,-60
646,-40
647,-40
648,-40
649,-20
650,32
651,-40
652,68
653,-40
654,-60
655,28
656,-60
657,-20
658,-20
659,-20
660,0
661,-60
662,0
663,0
664,-60
665,82
666,-40
667,-40
668,-60
669,-40
670,-20
671,0
672,-60
673,-80
674,-40
675,34
676,-40
677,0
678,0
679,-60
680,-60
681,-60
682,-60
683,-20
684,-40
685,-20
686,-60
687,-40
688,-60
689,-40
690,-20
691,0
692,-20
693,-20
694,0
695,-20
696,-60
697,-40
698,-40
699,-20
700,-40
701,-60
702,-20
703,-40
704,0
705,-40
706,-20
707,-20
708,-40
709,-20
710,-40
711,-20
712,-40
713,0
714,-40
715,-40
716,-40
717,-40
718,-60
719,-40
720,-40
721,-20
722,-20
723,-40
724,-40
725,-60
726,-40
727,0
728,-40
729,-20
730,-60
731,-60
732,-60
733,-60
734,-20
735,-20
736,-20
737,-60
738,-20
739,-20
740,-80
741,0
742,-80
743,-60
744,-60
745,-60
746,-40
747,-40
748,-60
749,-40
750,-40
751,-60
752,-60
753,-40
754,-20
755,-20
756,-80
757,-40
758,-60
759,-40
760,-20
761,-60
762,-40
763,-40
764,-40
765,-40
766,-60
767,-40
768,-20
769,-20
770,-80
771,-40
772,-20
773,-80
774,-60
775,-20
776,-60
777,-40
778,-20
779,-20
780,0
781,-40
782,50
783,-20
784,-40
785,-20
786,-20
787,-20
788,-20
789,-20
790,-40
791,-40
792,-20
793,-40
794,-60
795,0
796,-80
797,0
798,0
799,-40
800,-20
801,-20
802,-20
803,-80
804,-20
805,26
806,-60
807,-60
808,-20
809,-40
810,-60
811,-60
812,0
813,-20
814,-20
815,0
816,-20
817,-20
818,-80
819,-20
820,-60
821,-40
822,-60
823,-40
824,-40
825,0
826,-40
827,-20
828,-20
829,-20
830,-40
831,-20
832,-40
833,-20
834,0
835,-40
836,-20
837,-40
838,-20
839,-60
840,-20
841,0
842,-60
843,-40
844,-20
845,-100
846,-60
847,0
848,-40
849,-40
850,-40
851,-20
852,-40
853,-40
854,-20
855,-40
856,0
857,-40
858,-40
859,-60
860,0
861,-20
862,-20
863,0
864,-20
865,-20
866,-20
867,-40
868,-40
869,-20
870,-40
871,-20
872,-40
873,-40
874,0
875,0
876,-40
877,-40
878,-60
879,-100
880,-60
881,-20
882,-40
883,32
884,-20
885,-20
886,-60
887,-20
888,0
889,-60
890,-40
891,-60
892,-60
893,-40
894,-20
895,-60
896,-40
897,-40
898,-60
899,-20
900,-20
901,84
902,-40
903,-60
904,0
905,-60
906,-20
907,-20
908,-40
909,-60
910,-40
911,-20
912,-20
913,-80
914,-20
915,-80
916,-20
917,-20
918,-20
919,-40
920,-20
921,0
922,-100
923,-40
924,0
925,-60
926,-60
927,-40
928,-40
929,0
930,0
931,-20
932,-20
933,-60
934,-60
935,-60
936,-20
937,-40
938,0
939,-20
940,-40
941,0
942,-40
943,-20
944,-20
945,-20
946,-40
947,-60
948,-80
949,-40
950,-40
951,-40
952,-80
953,-60
954,-60
955,-20
956,-40
957,-20
958,-20
959,-100
960,-60
961,-40
962,0
963,-40
964,-60
965,-40
966,-80
967,0
968,-20
969,-40
970,-20
971,-40
972,0
973,-40
974,-60
975,-40
976,-40
977,-60
978,-40
979,-40
980,-40
981,0
982,-20
983,-40
984,0
985,-20
986,0
987,-60
988,-40
989,-20
990,-40
991,-40
992,0
993,58
994,-60
995,-80
996,-20
997,0
998,-40
999,-20
1000,-20
1001,-40
1002,-20
1003,-40
1004,-20
1005,-60
1006,-80
1007,0
1008,-20
1009,-60
1010,74
1011,0
1012,-20
1013,-20
1014,-20
1015,-20
1016,-20
1017,-60
1018,0
1019,96
1020,-20
1021,-40
1022,-40
1023,-20
1024,-20
1025,-60
1026,-40
1027,-60
1028,0
1029,-20
1030,-40
1031,-40
1032,-20
1033,0
1034,-40
1035,-20
1036,0
1037,-80
1038,-40
1039,-20
1040,-40
1041,-60
1042,-80
1043,-60
1044,-60
1045,-20
1046,-40
1047,-80
1048,-60
1049,-20
1050,-60
1051,-20
1052,-40
1053,0
1054,-60
1055,-40
1056,-20
1057,0
1058,-40
1059,66
1060,0
1061,-60
1062,-40
1063,-40
1064,-60
1065,-40
1066,-40
1067,-40
1068,-20
1069,-60
1070,-40
1071,-40
1072,-60
1073,-60
1074,-60
1075,-20
1076,-20
1077,-40
1078,0
1079,0
1080,-40
1081,-20
1082,0
1083,0
1084,-20
1085,-40
1086,-40
1087,0
1088,-60
1089,-40
1090,-40
1091,62
1092,-60
1093,-40
1094,-20
1095,0
1096,-40
1097,60
1098,-40
1099,-60
1100,-20
1101,-20
1102,-60
1103,-20
1104,-60
1105,-40
1106,-60
1107,0
1108,-80
1109,-20
1110,-20
1111,0
1112,-40
1113,-40
1114,-20
1115,0
1116,-40
1117,-40
1118,0
1119,-40
1120,-40
1121,-20
1122,-80
1123,0
1124,-20
1125,-40
1126,-60
1127,62
1128,-20
1129,-20
1130,-40
1131,-80
1132,-20
1133,-20
1134,-40
1135,0
1136,-80
1137,-40
1138,-60
1139,0
1140,-20
1141,78
1142,-40
1143,-80
1144,0
1145,-20
1146,90
1147,-20
1148,-60
1149,-20
1150,-60
1151,-40
1152,0
1153,-40
1154,-40
1155,-20
1156,-20
1157,-40
1158,-20
1159,-20
1160,-20
1161,0
1162,-20
1163,-40
1164,-20
1165,-60
1166,-40
1167,-20
1168,0
1169,-40
1170,0
1171,-40
1172,0
1173,-40
1174,-40
1175,-20
1176,-20
1177,-20
1178,0
1179,-20
1180,-60
1181,0
1182,-40
1183,-60
1184,0
1185,0
1186,-40
1187,0
1188,-20
1189,-20
1190,-40
1191,-60
1192,-60
1193,-20
1194,66
1195,0
1196,0
1197,-60
1198,-60
1199,-60
1200,-20
1201,0
1202,-40
1203,-20
1204,-60
1205,-40
1206,-40
1207,-40
1208,-20
1209,-40
1210,-40
1211,-80
1212,-40
1213,38
1214,-20
1215,-40
1216,-40
1217,-40
1218,-20
1219,-60
1220,0
1221,-40
1222,-40
1223,0
1224,-20
1225,-20
1226,0
1227,-40
1228,-60
1229,-20
1230,0
1231,-40
1232,0
1233,-40
1234,22
1235,-60
1236,-20
1237,-60
1238,-40
1239,0
1240,0
1241,-40
1242,-20
1243,-40
1244,-80
1245,0
1246,-20
1247,-40
1248,-20
1249,-20
1250,-20
1251,-20
1252,-20
1253,0
1254,-40
1255,-60
1256,-80
1257,-40
1258,-20
1259,-20
1260,-20
1261,-60
1262,0
1263,-20
1264,-60
1265,-60
1266,-20
1267,0
1268,-20
1269,-20
1270,-20
1271,-40
1272,-20
1273,-20
1274,-40
1275,-60
1276,-60
1277,-80
1278,-60
1279,0
1280,-60
1281,-40
1282,-40
1283,-60
1284,-40
1285,-20
1286,-60
1287,0
1288,-60
1289,-20
1290,-20
1291,-20
1292,0
1293,-20
1294,-20
1295,0
1296,-80
1297,-40
1298,-60
1299,-40
1300,-20
1301,0
1302,-20
1303,-60
1304,-40
1305,-40
1306,0
1307,-40
1308,-60
1309,22
1310,72
1311,-40
1312,-60
1313,-40
1314,42
1315,100
1316,-60
1317,-40
1318,-40
1319,-20
1320,-40
1321,-40
1322,-20
1323,0
1324,-20
1325,-40
1326,-40
1327,78
1328,-40
1329,-60
1330,-40
1331,0
1332,-40
1333,-20
1334,0
1335,0
1336,-60
1337,0
1338,0
1339,-60
1340,-40
1341,-60
1342,-40
1343,-60
1344,-40
1345,-20
1346,-20
1347,-20
1348,-40
1349,-20
1350,-60
1351,72
1352,0
1353,0
1354,-20
1355,-60
1356,0
1357,-20
1358,-20
1359,0
1360,-40
1361,-20
1362,-20
1363,0
1364,-20
1365,-20
1366,0
1367,-20
1368,0
1369,-20
1370,-20
1371,-40
1372,-20
1373,-60
1374,0
1375,-60
1376,0
1377,-60
1378,-60
1379,-80
1380,-40
1381,-40
1382,-20
1383,-20
1384,-60
1385,-40
1386,-20
1387,0
1388,-20
1389,-20
1390,-20
1391,-40
1392,0
1393,-80
1394,-20
1395,-20
1396,-40
1397,-40
1398,-20
1399,0
1400,-20
1401,-40
1402,-100
1403,-40
1404,-20
1405,0
1406,0
1407,0
1408,0
1409,-60
1410,-60
1411,0
1412,-40
1413,0
1414,70
1415,0
1416,-20
1417,0
1418,-20
1419,0
1420,0
1421,-60
1422,-20
1423,0
1424,-20
1425,-20
1426,0
1427,70
1428,-20
1429,-60
1430,-20
1431,-20
1432,-40
1433,-20
1434,-60
1435,-60
1436,0
1437,-20
1438,-40
1439,-20
1440,-20
1441,0
1442,-40
1443,48
1444,-20
1445,0
1446,-80
1447,0
1448,-40
1449,-20
1450,-60
1451,-40
1452,40
1453,-60
1454,34
1455,-20
1456,26
1457,0
1458,-40
1459,38
1460,-20
1461,0
1462,-20
1463,-20
1464,-40
1465,-20
1466,-20
1467,-60
1468,0
1469,-40
1470,-20
1471,0
1472,-40
1473,-40
1474,-20
1475,-20
1476,-20
1477,-40
1478,-20
1479,-20
1480,94
1481,-20
1482,-20
1483,0
1484,-20
1485,-40
1486,64
1487,-40
1488,-60
1489,-40
1490,-20
1491,-60
1492,0
1493,-20
1494,-20
1495,54
1496,-80
1497,-20
1498,-20
1499,-40
1500,0
1501,0
1502,-60
1503,-20
1504,0
1505,-40
1506,0
1507,-20
1508,40
1509,-60
1510,-20
1511,-20
1512,0
1513,-20
1514,0
1515,0
1516,-60
1517,-20
1518,-20
1519,-60
1520,-20
1521,0
1522,-20
1523,-40
1524,68
1525,-60
1526,90
1527,-60
1528,-20
1529,0
1530,-60
1531,-40
1532,-20
1533,-20
1534,-80
1535,0
1536,0
1537,-20
1538,0
1539,-20
1540,-40
1541,-40
1542,-40
1543,-20
1544,-40
1545,-40
1546,-20
1547,-20
1548,0
1549,-40
1550,-20
1551,0
1552,-20
1553,-40
1554,-40
1555,-20
1556,-60
1557,-60
1558,-20
1559,0
1560,-40
1561,-40
1562,88
1563,-40
1564,-40
1565,-20
1566,-20
1567,66
1568,-20
1569,-20
1570,-20
1571,-20
1572,-20
1573,56
1574,0
1575,-40
1576,-60
1577,0
1578,0
1579,-20
1580,0
1581,-40
1582,-20
1583,-40
1584,-20
1585,-40
1586,-20
1587,62
1588,-40
1589,-20
1590,0
1591,0
1592,-40
1593,0
1594,-20
1595,38
1596,0
1597,-40
1598,-60
1599,-20
1600,0
1601,-60
1602,0
1603,-40
1604,-20
1605,-20
1606,-20
1607,-20
1608,0
1609,0
1610,0
1611,-40
1612,-20
1613,-60
1614,-40
1615,0
1616,0
1617,-40
1618,0
1619,38
1620,0
1621,-60
1622,0
1623,-20
1624,0
1625,0
1626,-40
1627,26
1628,-40
1629,0
1630,-20
1631,-40
1632,0
1633,0
1634,-20
1635,-20
1636,-20
1637,-80
1638,-40
1639,-20
1640,0
1641,-20
1642,-60
1643,-20
1644,-20
1645,0
1646,0
1647,-40
1648,-40
1649,-40
1650,-40
1651,-60
1652,-40
1653,-80
1654,-20
1655,-20
1656,0
1657,-40
1658,-20
1659,0
1660,-60
1661,-60
1662,-20
1663,-20
1664,-40
1665,-20
1666,-40
1667,-40
1668,0
1669,-40
1670,0
1671,0
1672,-40
1673,-20
1674,0
1675,-20
1676,-40
1677,-20
1678,-60
1679,0
1680,0
1681,-20
1682,-20
1683,-60
1684,0
1685,-60
1686,-20
1687,-60
1688,0
1689,-40
1690,-80
1691,-40
1692,-20
1693,-60
1694,98
1695,0
1696,-20
1697,56
1698,-20
1699,-40
1700,-20
1701,-60
1702,-40
1703,-20
1704,0
1705,-40
1706,-20
1707,0
1708,-40
1709,-20
1710,-100
1711,-100
1712,22
1713,0
1714,0
1715,-20
1716,-20
1717,0
1718,-40
1719,-20
1720,0
1721,0
1722,0
1723,-40
1724,-40
1725,-40
1726,-40
1727,-80
1728,0
1729,-40
1730,-20
1731,0
1732,-40
1733,36
1734,-60
1735,-40
1736,-20
1737,0
1738,-60
1739,-20
1740,-40
1741,-20
1742,-80
1743,-60
1744,50
1745,-40
1746,-20
1747,-60
1748,-40
1749,-60
1750,-20
1751,0
1752,0
1753,-40
1754,0
1755,-80
1756,96
1757,-40
1758,-40
1759,80
1760,-40
1761,-20
1762,-60
1763,-20
1764,-40
1765,-60
1766,-20
1767,-40
1768,0
1769,-40
1770,0
1771,-40
1772,-40
1773,0
1774,-20
1775,-40
1776,0
1777,-60
1778,-60
1779,0
1780,0
1781,38
1782,-20
1783,-60
1784,-20
1785,0
1786,-20
1787,-60
1788,82
1789,-20
1790,-40
1791,0
1792,-40
1793,-40
