,score
0,-80
1,-200
2,-120
3,0
4,-80
5,-200
6,-160
7,-160
8,-160
9,-80
10,-40
11,-160
12,-160
13,-120
14,-120
15,-120
16,-160
17,0
18,-80
19,-200
20,-80
21,-80
22,-80
23,-120
24,-160
25,-80
26,-200
27,-120
28,-120
29,-160
30,-200
31,-80
32,-160
33,-160
34,-160
35,-120
36,-40
37,-160
38,-120
39,-200
40,-120
41,-40
42,-80
43,-80
44,-160
45,-40
46,-80
47,-160
48,-160
49,-80
50,-160
51,-120
52,-80
53,-120
54,-160
55,-80
56,-200
57,-120
58,-120
59,-80
60,-80
61,-80
62,-80
63,-80
64,-80
65,-120
66,-80
67,-40
68,-40
69,-160
70,-120
71,-40
72,-40
73,-120
74,-120
75,-120
76,-80
77,-120
78,-80
79,-160
80,-120
81,-120
82,-200
83,-40
84,-80
85,-160
86,-120
87,-80
88,-80
89,-40
90,-120
91,-160
92,-120
93,-160
94,-80
95,-160
96,-200
97,-80
98,-80
99,-160
100,-40
101,-120
102,-80
103,-40
104,-120
105,-120
106,-160
107,-120
108,-120
109,-40
110,-40
111,-80
112,-120
113,-80
114,-80
115,-120
116,-120
117,-120
118,-200
119,-120
120,-80
121,-120
122,-80
123,-120
124,-120
125,-160
126,-120
127,-160
128,-80
129,-40
130,-120
131,-80
132,-80
133,-200
134,-120
135,-80
136,-80
137,-160
138,-120
139,-160
140,-40
141,-80
142,-80
143,-160
144,-160
145,-120
146,-160
147,-160
148,0
149,-120
150,-80
151,-80
152,-40
153,-120
154,-120
155,-80
156,-120
157,-40
158,-120
159,-40
160,-120
161,0
162,-80
163,-200
164,-80
165,-120
166,-200
167,-120
168,-40
169,-160
170,-80
171,-160
172,-40
173,-120
174,-120
175,-160
176,-80
177,-200
178,-80
179,-80
180,-40
181,-40
182,-200
183,-160
184,-160
185,-40
186,-120
187,-80
188,-80
189,-40
190,-80
191,-160
192,-120
193,-160
194,-120
195,-160
196,-120
197,-160
198,-120
199,-160
200,-80
201,-160
202,-80
203,-120
204,-120
205,-160
206,-80
207,-80
208,-160
209,-120
210,-80
211,-160
212,-40
213,-120
214,-80
215,-120
216,-40
217,-200
218,-160
219,-80
220,-160
221,-120
222,-120
223,-120
224,-120
225,-80
226,-80
227,-80
228,-80
229,-80
230,-120
231,-80
232,-120
233,-160
234,-80
235,-120
236,-80
237,-120
238,-80
239,-120
240,-160
241,-80
242,-80
243,-80
244,-120
245,-80
246,-120
247,-80
248,-160
249,-160
250,-40
251,-120
252,-120
253,-40
254,-80
255,-160
256,-160
257,0
258,-80
259,-80
260,-120
261,-120
262,-80
263,-80
264,-120
265,-40
266,-80
267,-40
268,-80
269,-80
270,-80
271,-160
272,-120
273,-160
274,-40
275,-120
276,-80
277,0
278,-80
279,-120
280,-80
281,-80
282,0
283,-120
284,-120
285,-40
286,-80
287,-40
288,-80
289,-160
290,-200
291,-40
292,-80
293,-120
294,-120
295,-80
296,-200
297,-160
298,-160
299,-80
300,0
301,-160
302,-40
303,-120
304,-80
305,-120
306,-160
307,-80
308,-40
309,-120
310,-120
311,-40
312,-40
313,-80
314,-120
315,-80
316,-120
317,-120
318,-200
319,-120
320,-160
321,-80
322,-120
323,-40
324,-200
325,-80
326,-120
327,-120
328,-120
329,-40
330,-80
331,-80
332,-40
333,-40
334,-40
335,-200
336,-160
337,-160
338,-120
339,-80
340,-160
341,-120
342,-80
343,-160
344,-80
345,-40
346,-80
347,-120
348,-80
349,-160
350,-40
351,-200
352,-120
353,-80
354,-120
355,-80
356,-160
357,-160
358,-120
359,-80
360,-160
361,-40
362,-120
363,-80
364,-160
365,-80
366,-160
367,-120
368,-120
369,-80
370,-160
371,-120
372,-120
373,-80
374,-160
375,-80
376,-120
377,-160
378,-120
379,-200
380,-80
381,-80
382,-160
383,-80
384,-120
385,-120
386,-120
387,-40
388,-160
389,-120
390,-120
391,-40
392,-120
393,-200
394,-120
395,-120
396,-40
397,-120
398,-80
399,-160
400,-80
401,-120
402,-120
403,0
404,-160
405,-40
406,-160
407,-160
408,0
409,-40
410,-40
411,0
412,-40
413,-160
414,-120
415,-120
416,-120
417,-120
418,-200
419,-40
420,-80
421,-80
422,-160
423,-120
424,-160
425,-200
426,-80
427,-80
428,-200
429,-120
430,-80
431,-40
432,-120
433,-160
434,-80
435,-120
436,-160
437,-120
438,-80
439,-80
440,-160
441,-120
442,-40
443,-120
444,-40
445,-40
446,-80
447,-120
448,-40
449,-120
450,-200
451,-80
452,-120
453,-40
454,-80
455,-120
456,-80
457,-40
458,-160
459,-80
460,-80
461,-40
462,-200
463,-120
464,-200
465,-80
466,-80
467,-80
468,-120
469,-120
470,-160
471,-80
472,-160
473,-80
474,-120
475,-120
476,-80
477,-160
478,-160
479,-40
480,-40
481,-120
482,-40
483,-80
484,-40
485,-120
486,-120
487,-120
488,-40
489,-80
490,0
491,-160
492,-80
493,-160
494,-40
495,-160
496,-80
497,-120
498,-120
499,-80
500,-160
501,-200
502,-80
503,-160
504,-160
505,-160
506,-120
507,-80
508,-200
509,-120
510,-120
511,-160
512,-120
513,-160
514,-160
515,-80
516,-160
517,-200
518,-120
519,-80
520,-80
521,-120
522,-80
523,-200
524,-120
525,-80
526,-40
527,-120
528,-120
529,-80
530,-80
531,-80
532,-80
533,-120
534,-200
535,-80
536,-120
537,-120
538,-80
539,-80
540,-80
541,-80
542,-160
543,-40
544,-160
545,-120
546,-160
547,-80
548,-80
549,-40
550,-80
551,-120
552,-40
553,-120
554,-120
555,-80
556,-80
557,-80
558,-40
559,-80
560,-80
561,-80
562,-40
563,-160
564,-120
565,-80
566,-40
567,-160
568,-80
569,-80
570,-160
571,-80
572,-40
573,-120
574,-40
575,-160
576,-120
577,-40
578,-120
579,-40
580,-120
581,-80
582,-80
583,-200
584,-120
585,-120
586,-200
587,-80
588,-120
589,-80
590,-160
591,-120
592,-80
593,-120
594,-80
595,-160
596,0
597,-160
598,-120
599,-120
600,-160
601,-40
602,-160
603,-40
604,-80
605,-120
606,-80
607,-40
608,-160
609,-160
610,-160
611,-120
612,-80
613,-160
614,-160
615,-160
616,-40
617,-160
618,-160
619,-120
620,-200
621,-160
622,-80
623,-120
624,-40
625,-40
626,-120
627,-80
628,-120
629,-120
630,-80
631,-200
632,-120
633,-120
634,-80
635,-80
636,-160
637,-80
638,-120
639,0
640,-80
641,-80
642,-120
643,-120
644,-120
645,-80
646,-120
647,-160
648,-120
649,-160
650,-120
651,-80
652,-120
653,-120
654,-160
655,-80
656,-200
657,-40
658,-120
659,-80
660,-160
661,-120
662,-80
663,-40
664,-80
665,-40
666,-40
667,-40
668,-120
669,-80
670,-80
671,-160
672,-160
673,-80
674,-120
675,-120
676,-160
677,-80
678,-80
679,-120
680,-120
681,-160
682,-80
683,-200
684,-80
685,-160
686,-120
687,-120
688,0
689,-120
690,-120
691,-40
692,-80
693,-120
694,-160
695,-80
696,-80
697,-80
698,-80
699,-80
700,-200
701,-120
702,-80
703,-120
704,-80
705,-120
706,-200
707,-40
708,-160
709,-160
710,0
711,-40
712,-80
713,-80
714,-120
715,-120
716,-80
717,-80
718,-80
719,-160
720,-80
721,-120
722,-160
723,-120
724,-160
725,-80
726,-160
727,-160
728,-200
729,-80
730,-160
731,-160
732,-80
733,-120
734,-80
735,-120
736,-200
737,-120
738,-80
739,-120
740,-120
741,-80
742,-120
743,-40
744,-120
745,-80
746,-120
747,-200
748,-40
749,-120
750,-200
751,-40
752,-120
753,-120
754,-120
755,-160
756,-40
757,-80
758,-120
759,-120
760,-80
761,-120
762,-120
763,-120
764,-120
765,-40
766,0
767,-40
768,-80
769,-40
770,-80
771,-80
772,-200
773,-80
774,-120
775,-120
776,-120
777,-120
778,-80
779,-160
780,-120
781,-160
782,-160
783,-80
784,-80
785,-120
786,0
787,-120
788,-160
789,-40
790,-80
791,-160
792,-120
793,-80
794,-120
795,-40
796,-80
797,-120
798,-80
799,-80
800,-160
801,-120
802,-120
803,-160
804,-160
805,-80
806,-120
807,-200
808,-160
809,-40
810,-40
811,-80
812,-120
813,-160
814,-120
815,-160
816,-120
817,-120
818,-120
819,-120
820,-120
821,-80
822,-120
823,-40
824,-40
825,-160
826,-160
827,-80
828,-160
829,0
830,-80
831,-120
832,-40
833,-80
834,-80
835,-120
836,-160
837,-120
838,-80
839,-160
840,-120
841,-160
842,-40
843,-120
844,-120
845,-80
846,-160
847,-160
848,-80
849,-80
850,-160
851,-160
852,-80
853,-40
854,-160
855,-120
856,-40
857,-160
858,-80
859,-80
860,-80
861,-120
862,-160
863,0
864,-40
865,-160
866,-120
867,-120
868,-80
869,-120
870,0
871,-120
872,-120
873,-120
874,-200
875,-80
876,-40
877,-160
878,-160
879,-120
880,-120
881,-160
882,-80
883,-200
884,-120
885,-80
886,-80
887,-200
888,-160
889,-120
890,-80
891,-160
892,-80
893,-120
894,-120
895,-80
896,-40
897,-40
898,-40
899,-120
900,-80
901,-80
902,-120
903,-120
904,-120
905,-120
906,-120
907,-200
908,-160
909,-120
910,-120
911,-80
912,-120
913,-120
914,-120
915,-120
916,-120
917,-160
918,-40
919,-80
920,-160
921,0
922,-80
923,-160
924,-160
925,-120
926,-120
927,-80
928,-120
929,-160
930,-160
931,-120
932,-120
933,-40
934,-200
935,-120
936,-160
937,-160
938,-80
939,-120
940,-200
941,-160
942,-80
943,-120
944,-160
945,-120
946,-120
947,-160
948,-80
949,-160
950,-80
951,-80
952,-160
953,-120
954,-40
955,-80
956,-80
957,-120
958,-200
959,0
960,-80
961,-160
962,-160
963,-80
964,-120
965,-160
966,-160
967,-160
968,-120
969,-80
970,-120
971,-160
972,-40
973,-80
974,-120
975,-120
976,-160
977,-80
978,0
979,-80
980,-160
981,-40
982,-160
983,-80
984,-40
985,0
986,-80
987,-80
988,-160
989,-80
990,-120
991,-40
992,-40
993,-80
994,-160
995,-120
996,-120
997,-40
998,-120
999,-40
1000,-80
1001,-200
1002,-40
1003,-120
1004,-80
1005,-160
1006,0
1007,-120
1008,-120
1009,-120
1010,-80
1011,-80
1012,-160
1013,-120
1014,-160
1015,-200
1016,-40
1017,-120
1018,-80
1019,-120
1020,-120
1021,-160
1022,-160
1023,-120
1024,-40
1025,-160
1026,-80
1027,-80
1028,-160
1029,-160
