,score
0,-120
1,-90
2,-30
3,-60
4,-120
5,-60
6,-60
7,-60
8,-90
9,-30
10,84
11,-90
12,-120
13,-60
14,-30
15,0
16,-120
17,-30
18,-60
19,-120
20,-90
21,-90
22,-60
23,-150
24,-30
25,-60
26,-30
27,-120
28,-90
29,-120
30,-120
31,-120
32,-60
33,-30
34,-90
35,-120
36,-30
37,-60
38,-90
39,-60
40,-60
41,-90
42,-120
43,-60
44,-120
45,-30
46,-120
47,-120
48,-90
49,0
50,-30
51,-60
52,-90
53,-120
54,-30
55,-60
56,0
57,-90
58,-90
59,-30
60,-120
61,-120
62,-60
63,-60
64,-90
65,0
66,-90
67,-90
68,-90
69,-90
70,-120
71,0
72,-60
73,-90
74,-90
75,-60
76,-60
77,-90
78,-30
79,-90
80,-60
81,-60
82,-30
83,-90
84,-120
85,-60
86,-60
87,-30
88,-60
89,-120
90,-60
91,-120
92,-60
93,-120
94,-30
95,-30
96,-90
97,-120
98,-30
99,-120
100,-30
101,-90
102,-120
103,-60
104,-120
105,-90
106,-120
107,0
108,-60
109,-90
110,-120
111,-30
112,-90
113,-30
114,-90
115,-30
116,-60
117,-90
118,-90
119,0
120,-60
121,-60
122,-60
123,0
124,-60
125,-60
126,-90
127,-120
128,-90
129,-120
130,-120
131,-90
132,-60
133,-30
134,-60
135,-60
136,-60
137,-120
138,-30
139,-60
140,-90
141,-120
142,-60
143,-60
144,-120
145,-90
146,-120
147,-90
148,-60
149,-90
150,-60
151,-30
152,-60
153,-60
154,-90
155,-90
156,-150
157,-90
158,-60
159,-120
160,-90
161,-30
162,-120
163,-60
164,-30
165,-30
166,-60
167,-60
168,-90
169,0
170,-60
171,-150
172,-30
173,-30
174,-120
175,-30
176,-90
177,0
178,-30
179,-90
180,-90
181,-60
182,-90
183,-120
184,-60
185,-60
186,-30
187,-60
188,-120
189,-90
190,-120
191,-60
192,-60
193,-30
194,-120
195,-30
196,-120
197,-60
198,-60
199,-30
200,-60
201,-60
202,-30
203,-90
204,-60
205,-30
206,-120
207,-120
208,-120
209,-60
210,-30
211,-120
212,-60
213,-90
214,-60
215,-60
216,-90
217,-90
218,-30
219,-150
220,-60
221,-150
222,-120
223,-90
224,-90
225,-60
226,-150
227,-90
228,-60
229,-30
230,-90
231,-60
232,-120
233,-120
234,-60
235,-60
236,-90
237,-90
238,-60
239,-30
240,-120
241,-90
242,-60
243,-150
244,-60
245,-60
246,-90
247,-120
248,-60
249,-60
250,-60
251,-120
252,-30
253,-90
254,-120
255,-120
256,-30
257,-90
258,-30
259,-30
260,-30
261,-90
262,-90
263,-90
264,-60
265,-90
266,-60
267,-60
268,-60
269,-30
270,-120
271,-90
272,-90
273,-90
274,-60
275,-60
276,-60
277,-120
278,-120
279,-120
280,-90
281,-90
282,-60
283,-30
284,-150
285,-90
286,-150
287,-30
288,-60
289,-30
290,-30
291,-120
292,-30
293,-30
294,-60
295,-90
296,-90
297,-120
298,-120
299,-90
300,-30
301,-30
302,-60
303,-30
304,-90
305,-120
306,-60
307,-120
308,-90
309,-90
310,0
311,-120
312,-60
313,-30
314,-120
315,-60
316,-30
317,-150
318,-90
319,0
320,-90
321,-60
322,-120
323,-90
324,-150
325,-120
326,-120
327,-90
328,-90
329,-90
330,-60
331,-90
332,-60
333,-90
334,-30
335,-120
336,-30
337,-120
338,-60
339,-30
340,-120
341,-30
342,-90
343,-90
344,-60
345,-90
346,-60
347,-60
348,-120
349,-150
350,-60
351,-30
352,-60
353,-90
354,-90
355,-90
356,0
357,0
358,0
359,-90
360,-90
361,-60
362,-90
363,-90
364,-120
365,-120
366,-60
367,-90
368,117
369,-30
370,-60
371,-120
372,-120
373,-120
374,-30
375,-60
376,-150
377,-120
378,-60
379,-90
380,-30
381,-90
382,-90
383,-90
384,-60
385,-120
386,-120
387,-60
388,-90
389,-60
390,-90
391,-60
392,-60
393,-120
394,-120
395,-60
396,0
397,-30
398,-150
399,-120
400,-30
401,-60
402,0
403,-150
404,-60
405,-60
406,-90
407,-90
408,-60
409,-30
410,0
411,-90
412,0
413,-30
414,-30
415,-30
416,0
417,-30
418,-60
419,-120
420,-30
421,-90
422,-60
423,-120
424,-90
425,-90
426,-60
427,-30
428,-90
429,135
430,-60
431,-90
432,-30
433,-60
434,-60
435,-120
436,-120
437,-30
438,-90
439,-90
440,-60
441,-90
442,-90
443,-60
444,-60
445,-90
446,-30
447,-90
448,-30
449,-120
450,-60
451,-90
452,-90
453,-90
454,0
455,-90
456,-30
457,-30
458,-90
459,-30
460,-120
461,-90
462,-30
463,-90
464,-60
465,-30
466,-30
467,-60
468,0
469,-90
470,-120
471,-60
472,-30
473,-120
474,-90
475,-90
476,-60
477,-60
478,-120
479,-30
480,-30
481,0
482,42
483,-30
