,score
0,-60
1,-60
2,-20
3,-40
4,-40
5,-20
6,-20
7,-60
8,-40
9,-20
10,-20
11,-60
12,-20
13,0
14,0
15,-40
16,0
17,-100
18,-40
19,-40
20,-60
21,-20
22,-60
23,0
24,-40
25,-80
26,-20
27,-20
28,-20
29,-20
30,-60
31,-60
32,-60
33,-20
34,-20
35,-40
36,-40
37,-20
38,-60
39,0
40,-40
41,-40
42,-40
43,-60
44,-40
45,-20
46,0
47,-40
48,-20
49,-60
50,-20
51,-60
52,0
53,0
54,-40
55,-20
56,-20
57,-40
58,-60
59,-20
60,-40
61,-20
62,-40
63,-20
64,-20
65,-40
66,-20
67,0
68,-20
69,-60
70,-40
71,-80
72,-20
73,-40
74,-60
75,-40
76,-40
77,-40
78,-80
79,-60
80,0
81,-20
82,-20
83,0
84,-60
85,0
86,-20
87,-20
88,-80
89,-40
90,-40
91,-20
92,-40
93,-60
94,-80
95,-40
96,-60
97,-60
98,0
99,-20
100,-20
101,-60
102,-80
103,-20
104,-20
105,-40
106,0
107,-40
108,-40
109,-40
110,-80
111,-40
112,-20
113,-40
114,-40
115,-40
116,-40
117,-60
118,-60
119,-20
120,-60
121,-20
122,-20
123,-20
124,-40
125,-20
126,-20
127,-20
128,-40
129,-60
130,-60
131,-100
132,-40
133,-60
134,-20
135,-100
136,-60
137,-40
138,-80
139,-20
140,-20
141,-60
142,-60
143,-80
144,-80
145,-40
146,-20
147,-60
148,-40
149,-60
150,100
151,-20
152,-60
153,-40
154,-40
155,-100
156,-20
157,-40
158,-40
159,-20
160,-40
161,-40
162,0
163,-80
164,-40
165,-40
166,-60
167,0
168,-20
169,-20
170,-40
171,-20
172,-40
173,0
174,-20
175,-20
176,-60
177,-60
178,-40
179,-80
180,-40
181,0
182,0
183,-40
184,-40
185,-40
186,-60
187,-20
188,-20
189,0
190,-40
191,-20
192,-40
193,-80
194,-20
195,-40
196,-60
197,-40
198,-60
199,-40
200,-40
201,-40
202,0
203,-20
204,78
205,-60
206,-40
207,-40
208,-40
209,-20
210,-40
211,-20
212,-80
213,0
214,-40
215,-20
216,-20
217,-20
218,-20
219,0
220,-40
221,-20
222,-100
223,-40
224,-40
225,-40
226,-60
227,-40
228,-40
229,-60
230,-80
231,70
232,-20
233,-60
234,-60
235,0
236,-60
237,-100
238,-20
239,-20
240,-20
241,0
242,-40
243,-40
244,-40
245,-40
246,-20
247,-40
248,-20
249,-20
250,-20
251,-60
252,-40
253,0
254,-40
255,-60
256,-20
257,-40
258,-20
259,-20
260,-40
261,-20
262,-20
263,38
264,-20
265,-20
266,-40
267,-40
268,-20
269,-20
270,-20
271,-20
272,-40
273,30
274,-80
275,-20
276,0
277,-60
278,-20
279,-20
280,-20
281,-20
282,24
283,0
284,-80
285,-20
286,-40
287,0
288,0
289,-60
290,0
291,-40
292,-60
293,-40
294,-40
295,-20
296,-40
297,-60
298,-20
299,-20
300,-60
301,-80
302,0
303,-40
304,-40
305,0
306,-20
307,0
308,84
309,-40
310,-20
311,-40
312,-40
313,-100
314,-60
315,0
316,-20
317,-60
318,-40
319,-20
320,-60
321,38
322,-20
323,-60
324,-20
325,-20
326,-40
327,-20
328,-20
329,0
330,-40
331,0
332,-80
333,-60
334,0
335,-40
336,-40
337,-60
338,0
339,-60
340,-40
341,0
342,-40
343,-20
344,-20
345,-20
346,-60
347,-20
348,-20
349,-20
350,0
351,-40
352,-20
353,-60
354,-20
355,-20
356,-60
357,-40
358,-80
359,0
360,-40
361,-40
362,-20
363,-60
364,-40
365,-40
366,-20
367,-40
368,-40
369,-40
370,-20
371,-40
372,-40
373,-20
374,0
375,0
376,0
377,-40
378,-60
379,-60
380,-40
381,-80
382,-40
383,-60
384,58
385,-40
386,-40
387,-20
388,-40
389,-60
390,-80
391,-20
392,-20
393,-80
394,-40
395,-20
396,-80
397,-60
398,-20
399,-40
400,-40
401,-40
402,-20
403,-20
404,-60
405,-40
406,-60
407,-80
408,-60
409,-60
410,-60
411,-40
412,0
413,-60
414,-20
415,-60
416,-100
417,-60
418,-20
419,-40
420,-60
421,-80
422,0
423,-60
424,-80
425,-20
426,0
427,-20
428,-60
429,-60
430,-40
431,-60
432,-60
433,-40
434,-60
435,-40
436,-40
437,-60
438,-20
439,-40
440,-60
441,-60
442,-20
443,-40
444,-40
445,-80
446,-20
447,0
448,-60
449,0
450,-40
451,-40
452,-40
453,-40
454,0
455,-100
456,-40
457,-80
458,-40
459,-40
460,40
461,-80
462,-60
463,-20
464,-80
465,-60
466,-20
467,-40
468,-80
469,0
470,0
471,-60
472,-20
473,-20
474,-60
475,-40
476,-80
477,-60
478,-40
479,-80
480,-40
481,-40
482,-40
483,0
484,-60
485,-40
486,0
487,-40
488,-40
489,-40
490,-60
491,-60
492,-20
493,-40
494,-20
495,-60
496,-20
497,-20
498,-40
499,-60
500,-40
501,-60
502,-60
503,-20
504,-100
505,-100
506,-80
507,-40
508,34
509,-40
510,-60
511,-20
512,-20
513,-60
514,-40
515,-60
516,-40
517,-80
518,-40
519,-60
520,-40
521,-40
522,-40
523,-40
524,-40
525,-60
526,-20
527,-20
528,-20
529,-20
530,-20
531,-40
532,-60
533,-100
534,-80
535,-20
536,-20
537,-60
538,-40
539,-40
540,-20
541,80
542,-20
543,-60
544,-60
545,-60
546,-80
547,-20
548,-20
549,-40
550,-40
551,-60
552,-40
553,-40
554,78
555,-40
556,-100
557,0
558,-60
559,-60
560,-60
561,-60
562,-20
563,-40
564,0
565,-100
566,-60
567,-40
568,-40
569,-20
570,-60
571,-20
572,-20
573,-80
574,-60
575,-40
576,-40
577,92
578,-40
579,-40
580,-60
581,-60
582,-80
583,-40
584,-80
585,-80
586,-40
587,-20
588,-60
589,-80
590,-60
591,-60
592,0
593,0
594,-40
595,-20
596,-20
597,-40
598,-40
599,-60
600,-80
601,-40
602,0
603,-100
604,-40
605,-20
606,-20
607,-40
608,-60
609,-20
610,-40
611,-40
612,-40
613,-20
614,-20
615,0
616,-20
617,0
618,-40
619,-40
620,-20
621,-60
622,-20
623,-20
624,-40
625,-20
626,0
627,-40
628,-60
629,-20
630,-60
631,-80
632,-40
633,-80
634,-40
635,-60
636,0
637,-40
638,-40
639,0
640,-20
641,-60
642,-60
643,-20
644,-60
645,-20
646,-60
647,0
648,-80
649,-40
650,-20
651,-80
652,0
653,-60
654,-20
655,-60
656,0
657,-40
658,-40
659,-40
