Episodes,Reward
0,-92.0
5000,-60.0
10000,-12.0
15000,-44.0
20000,-52.0
25000,-92.0
30000,-84.0
35000,-76.0
40000,-44.0
45000,-76.0
50000,-28.0
55000,-52.0
60000,-44.0
65000,-28.0
70000,-68.0
75000,-76.0
80000,-52.0
85000,-44.0
90000,-20.0
95000,-44.0
100000,-4.0
105000,-68.0
110000,-4.0
115000,-4.0
120000,-52.0
125000,-4.0
130000,-52.0
135000,-20.0
140000,20.0
145000,-20.0
150000,-36.0
155000,-36.0
160000,-20.0
165000,52.0
170000,-12.0
175000,-28.0
180000,-12.0
185000,-52.0
190000,-52.0
195000,92.0
200000,-20.0
205000,12.0
210000,12.0
215000,4.0
220000,-28.0
225000,36.0
230000,52.0
235000,44.0
240000,28.0
245000,-12.0
250000,28.0
255000,36.0
260000,-20.0
265000,-28.0
270000,-4.0
275000,-28.0
280000,12.0
285000,20.0
290000,-12.0
295000,-60.0
300000,-12.0
305000,-12.0
310000,36.0
315000,-60.0
320000,52.0
325000,44.0
330000,-4.0
335000,12.0
340000,12.0
345000,-4.0
350000,-4.0
355000,52.0
360000,-12.0
365000,-12.0
370000,-12.0
375000,20.0
380000,20.0
385000,-12.0
390000,20.0
395000,12.0
400000,92.0
405000,4.0
410000,84.0
415000,4.0
420000,36.0
425000,-12.0
430000,-12.0
435000,4.0
440000,36.0
445000,-12.0
450000,28.0
455000,-4.0
460000,-20.0
465000,52.0
470000,-12.0
475000,52.0
480000,36.0
485000,28.0
490000,-52.0
495000,-4.0
500000,-44.0
505000,-12.0
510000,-20.0
515000,28.0
520000,28.0
525000,4.0
530000,52.0
535000,-12.0
540000,28.0
545000,52.0
550000,44.0
555000,44.0
560000,20.0
565000,-20.0
570000,52.0
575000,44.0
580000,20.0
585000,-12.0
590000,52.0
595000,-12.0
600000,-36.0
605000,20.0
610000,36.0
615000,44.0
620000,-12.0
625000,12.0
630000,68.0
635000,36.0
640000,12.0
645000,-36.0
650000,20.0
655000,44.0
660000,28.0
665000,12.0
670000,52.0
675000,20.0
680000,44.0
685000,-12.0
690000,12.0
695000,-20.0
700000,84.0
705000,76.0
710000,4.0
715000,44.0
720000,36.0
725000,108.0
730000,100.0
735000,4.0
740000,36.0
745000,-12.0
750000,44.0
755000,12.0
760000,-20.0
765000,116.0
770000,36.0
775000,36.0
780000,-28.0
785000,44.0
790000,84.0
795000,20.0
800000,12.0
805000,68.0
810000,44.0
815000,-20.0
820000,44.0
825000,28.0
830000,84.0
835000,4.0
840000,-28.0
845000,36.0
850000,28.0
855000,12.0
860000,68.0
865000,12.0
870000,28.0
875000,4.0
880000,12.0
885000,116.0
890000,28.0
895000,60.0
900000,20.0
905000,28.0
910000,44.0
915000,28.0
920000,12.0
925000,60.0
930000,44.0
935000,20.0
940000,52.0
945000,20.0
950000,12.0
955000,12.0
960000,68.0
965000,44.0
970000,52.0
975000,4.0
980000,28.0
985000,4.0
990000,140.0
995000,108.0
1000000,44.0
